	TCGA	miRNA	5shift	3shift	5frac	3frac
1365	TCGA-ACC	hsa-let-7a-5p	0	0	0.9973164610873686	0.7358277785294431
1375	TCGA-ACC	hsa-let-7b-5p	0	0	1.0	0.6000988140529333
1346	TCGA-ACC	hsa-let-7c-5p	0	0	0.9893661525287174	0.7654433480864125
1396	TCGA-ACC	hsa-let-7d-3p	0	0	0.9616853442720765	0.7883196626251983
1389	TCGA-ACC	hsa-let-7e-5p	0	0	1.0	0.7165430203922123
1358	TCGA-ACC	hsa-let-7f-5p	0	0	0.9995574284181733	0.7863149235170155
1366	TCGA-ACC	hsa-let-7g-5p	0	0	0.9771317419404478	0.821982518401682
1373	TCGA-ACC	hsa-miR-100-5p	0	-1	1.0	0.8827766388634206
1361	TCGA-ACC	hsa-miR-101-3p	0	-1	0.6109723108711674	0.7792763237142075
1402	TCGA-ACC	hsa-miR-103a-3p	0	0	0.9820296913509182	0.9402141356564531
1378	TCGA-ACC	hsa-miR-10a-5p	0	-1	0.8193776396878472	0.8865480935269479
1393	TCGA-ACC	hsa-miR-10b-5p	0	-1	0.9076212072875545	0.7807747614045899
1372	TCGA-ACC	hsa-miR-125a-5p	0	-2	1.0	0.6004736544513898
1359	TCGA-ACC	hsa-miR-125b-5p	0	0	1.0	0.8951741267281131
1404	TCGA-ACC	hsa-miR-126-3p	0	0	0.8823077527640731	0.9525317243368518
1380	TCGA-ACC	hsa-miR-127-3p	0	0	1.0	0.6983026621404326
1368	TCGA-ACC	hsa-miR-127-5p	0	-1	1.0	0.5064458727822413
1414	TCGA-ACC	hsa-miR-1307-3p	0	+1	0.7669480926136276	0.8704471718329695
1370	TCGA-ACC	hsa-miR-1307-5p	0	0	1.0	0.6841725292617735
1351	TCGA-ACC	hsa-miR-134-5p	0	0	1.0	0.6721175897867642
1390	TCGA-ACC	hsa-miR-136-5p	0	-2	1.0	0.4918869134128438
1385	TCGA-ACC	hsa-miR-139-5p	0	-1	1.0	0.6712652396684317
1410	TCGA-ACC	hsa-miR-140-3p	+1	+3	0.5402280879202113	0.5455643488295203
1369	TCGA-ACC	hsa-miR-143-3p	0	-1	0.9889592183419512	0.5493649718969646
1363	TCGA-ACC	hsa-miR-145-5p	0	0	1.0	0.6020556681495363
1348	TCGA-ACC	hsa-miR-148a-3p	0	0	0.9998358881354192	0.7072812958178524
1357	TCGA-ACC	hsa-miR-151a-3p	0	0	0.7222980861541832	0.43507286787859534
1371	TCGA-ACC	hsa-miR-16-5p	0	0	1.0	0.9102702254641908
1388	TCGA-ACC	hsa-miR-181a-2-3p	0	-1	0.9434977173165466	0.4638912371634075
1413	TCGA-ACC	hsa-miR-181a-5p	0	-1	0.9958947323264358	0.47301764834999993
1391	TCGA-ACC	hsa-miR-182-5p	0	-2	1.0	0.3994511730448139
1412	TCGA-ACC	hsa-miR-183-5p	0	+1	0.6283586531375771	0.5133706216083855
1352	TCGA-ACC	hsa-miR-191-5p	0	-1	1.0	0.44203682633171953
1409	TCGA-ACC	hsa-miR-202-5p	0	-1	0.9487534407449179	0.7618553193300119
1349	TCGA-ACC	hsa-miR-21-5p	0	0	0.9990426221879165	0.7408870256498628
1408	TCGA-ACC	hsa-miR-210-3p	0	0	0.9883335960806165	0.8396898228114453
1345	TCGA-ACC	hsa-miR-22-3p	0	0	0.9943366374318714	0.9870480700306713
1405	TCGA-ACC	hsa-miR-23a-3p	0	+1	0.9876963447478524	0.38841377080502726
1403	TCGA-ACC	hsa-miR-24-3p	0	0	1.0	0.7553490620139256
1356	TCGA-ACC	hsa-miR-25-3p	0	0	0.9993350725510948	0.9367626862912215
1386	TCGA-ACC	hsa-miR-26a-5p	0	0	0.9984055102970086	0.4936650401903181
1406	TCGA-ACC	hsa-miR-26b-5p	0	+1	1.0	0.7722778617921991
1353	TCGA-ACC	hsa-miR-27a-3p	0	-1	1.0	0.5066280350092438
1374	TCGA-ACC	hsa-miR-28-3p	0	0	0.953301256578495	0.7317449291607365
1381	TCGA-ACC	hsa-miR-29a-3p	0	-1	0.8000989489060402	0.5804272564122472
1350	TCGA-ACC	hsa-miR-29b-3p	0	0	0.95178968330725	0.802436532414271
1398	TCGA-ACC	hsa-miR-29c-3p	0	-1	0.9961584833755601	0.42646394690713885
1354	TCGA-ACC	hsa-miR-30a-3p	0	-1	0.7978491876649251	0.46450742532618705
1392	TCGA-ACC	hsa-miR-30a-5p	0	0	0.9957665577678728	0.7542921486276448
1347	TCGA-ACC	hsa-miR-30b-5p	0	0	1.0	0.8246199762549153
1401	TCGA-ACC	hsa-miR-30c-5p	0	0	1.0	0.4555341737769143
1343	TCGA-ACC	hsa-miR-30d-5p	0	0	1.0	0.8193359300421876
1415	TCGA-ACC	hsa-miR-30e-3p	0	-1	0.9877239433789758	0.5521637211598924
1416	TCGA-ACC	hsa-miR-30e-5p	0	+2	0.7456806360919601	0.3171042997953534
1397	TCGA-ACC	hsa-miR-320a	0	0	0.9257171569470118	0.5476428485145651
1360	TCGA-ACC	hsa-miR-374a-3p	0	0	1.0	0.8138165747836162
1364	TCGA-ACC	hsa-miR-379-5p	0	0	1.0	0.6775370430069009
1382	TCGA-ACC	hsa-miR-381-3p	0	-1	1.0	0.6397674418604649
1367	TCGA-ACC	hsa-miR-424-5p	0	0	1.0	0.5755621138356124
1383	TCGA-ACC	hsa-miR-483-3p	+1	+2	0.6240375292708273	0.5441954167715942
1399	TCGA-ACC	hsa-miR-483-5p	0	0	0.9386787012620166	0.5698457223001396
1394	TCGA-ACC	hsa-miR-500a-3p	0	+1	0.9849759390528423	0.7905278234650488
1395	TCGA-ACC	hsa-miR-503-5p	0	0	1.0	0.87840030562974
1400	TCGA-ACC	hsa-miR-508-3p	0	0	0.922512260117395	0.6548157734037969
1362	TCGA-ACC	hsa-miR-508-5p	0	0	1.0	0.8675338464768896
1376	TCGA-ACC	hsa-miR-509-3p	0	+1	0.9416617266404262	0.4168088572216606
1377	TCGA-ACC	hsa-miR-514a-3p	-2	0	0.7070184791167302	0.8222767825023383
1411	TCGA-ACC	hsa-miR-532-5p	0	0	0.9814276541506143	0.9232341668288251
1355	TCGA-ACC	hsa-miR-542-3p	0	0	0.7113842181643472	0.43472357027388037
1407	TCGA-ACC	hsa-miR-889-3p	0	0	1.0	0.7019257070955738
1344	TCGA-ACC	hsa-miR-9-5p	0	0	0.9989376486778041	0.7347831818689567
1387	TCGA-ACC	hsa-miR-92a-3p	0	0	0.9934144144216432	0.9247243262301978
1417	TCGA-ACC	hsa-miR-93-5p	0	0	0.9961967961249957	0.9728719817554214
1384	TCGA-ACC	hsa-miR-99a-5p	0	-1	0.9767422205147906	0.8967495119641129
1379	TCGA-ACC	hsa-miR-99b-5p	0	0	0.9984753503974513	0.6890176581121594
439	TCGA-BLCA	hsa-let-7a-5p	0	0	0.9977796030465771	0.6634401784157774
442	TCGA-BLCA	hsa-let-7b-5p	0	0	1.0	0.42161880936462903
409	TCGA-BLCA	hsa-let-7c-5p	0	0	1.0	0.6711885033923912
429	TCGA-BLCA	hsa-let-7d-3p	0	0	0.9538878465707734	0.7644992782517972
426	TCGA-BLCA	hsa-let-7e-5p	0	0	1.0	0.6943310861164862
438	TCGA-BLCA	hsa-let-7f-5p	0	0	1.0	0.7661109096207763
375	TCGA-BLCA	hsa-let-7g-5p	0	0	1.0	0.8055974051959874
420	TCGA-BLCA	hsa-miR-100-5p	0	-1	0.996924130487679	0.8209036796536804
373	TCGA-BLCA	hsa-miR-101-3p	0	-1	0.6413742797957384	0.7665283417815196
383	TCGA-BLCA	hsa-miR-103a-3p	0	0	0.9850309102528987	0.9045046849085406
407	TCGA-BLCA	hsa-miR-106b-3p	0	-1	0.9267549261083743	0.8655688249001331
