	miRNA	5shift	5isof	3shift	3isof
0	hsa-miR-202-5p	0	1	-1	1
1	hsa-miR-30e-3p	0	0	0	1
2	hsa-miR-574-3p	0	0	0	1
3	hsa-miR-503-5p	0	0	0	1
4	hsa-miR-320a	0	1	0	1
5	hsa-miR-136-5p	0	0	-2	1
6	hsa-miR-199a-3p	0	1	-1	1
7	hsa-miR-217	0	1	0	1
8	hsa-miR-767-5p	0	0	1	1
9	hsa-miR-379-5p	0	0	0	1
10	hsa-miR-126-3p	0	1	0	1
11	hsa-miR-106b-5p	0	0	0	1
12	hsa-miR-598-3p	0	0	0	1
13	hsa-miR-99b-5p	0	0	0	1
14	hsa-miR-409-3p	0	1	0	1
15	hsa-let-7b-5p	0	0	0	1
16	hsa-miR-146a-5p	0	0	0	1
17	hsa-miR-142-5p	0	1	0	1
18	hsa-miR-526b-5p	0	0	0	1
19	hsa-miR-486-5p	0	0	0	1
20	hsa-miR-122-5p	0	0	0	1
21	hsa-miR-625-3p	0	0	0	1
22	hsa-miR-584-5p	0	0	-1	1
23	hsa-miR-378a-5p	0	0	0	1
24	hsa-miR-26a-5p	0	0	0	1
25	hsa-miR-139-5p	0	0	-1	1
26	hsa-miR-125a-5p	0	0	-2	1
27	hsa-miR-629-5p	0	0	1	1
28	hsa-miR-508-5p	0	0	0	1
29	hsa-miR-199b-3p	0	1	-1	1
30	hsa-miR-532-5p	0	0	0	1
31	hsa-miR-371a-5p	0	0	1	1
32	hsa-miR-194-5p	0	0	0	1
33	hsa-let-7d-3p	0	0	0	1
34	hsa-miR-128-3p	0	0	0	1
35	hsa-miR-30e-5p	0	1	1	1
36	hsa-miR-509-3p	0	1	1	1
37	hsa-miR-889-3p	0	0	0	1
38	hsa-miR-129-5p	0	0	0	0
39	hsa-miR-10a-5p	0	1	-1	1
40	hsa-miR-455-3p	0	0	0	1
41	hsa-miR-335-3p	0	1	0	1
42	hsa-miR-21-5p	0	0	0	1
43	hsa-miR-7-5p	0	0	0	1
44	hsa-miR-302d-3p	0	1	0	1
45	hsa-miR-520a-3p	0	0	0	0
46	hsa-miR-28-3p	0	1	0	1
47	hsa-miR-10b-5p	0	1	-1	1
48	hsa-miR-370-3p	0	1	0	1
