	TCGA-OR-A5J1-01A	TCGA-OR-A5J2-01A	TCGA-OR-A5J3-01A	TCGA-OR-A5J4-01A	TCGA-OR-A5J5-01A	TCGA-OR-A5J6-01A	TCGA-OR-A5J7-01A	TCGA-OR-A5J8-01A	TCGA-OR-A5J9-01A	TCGA-OR-A5JA-01A	TCGA-OR-A5JB-01A	TCGA-OR-A5JC-01A	TCGA-OR-A5JD-01A	TCGA-OR-A5JE-01A	TCGA-OR-A5JF-01A	TCGA-OR-A5JG-01A	TCGA-OR-A5JI-01A	TCGA-OR-A5JJ-01A	TCGA-OR-A5JK-01A	TCGA-OR-A5JL-01A	TCGA-OR-A5JM-01A	TCGA-OR-A5JO-01A	TCGA-OR-A5JP-01A	TCGA-OR-A5JQ-01A	TCGA-OR-A5JR-01A	TCGA-OR-A5JS-01A	TCGA-OR-A5JT-01A	TCGA-OR-A5JV-01A	TCGA-OR-A5JW-01A	TCGA-OR-A5JX-01A	TCGA-OR-A5JY-01A	TCGA-OR-A5JZ-01A	TCGA-OR-A5K0-01A	TCGA-OR-A5K1-01A	TCGA-OR-A5K2-01A	TCGA-OR-A5K3-01A	TCGA-OR-A5K4-01A	TCGA-OR-A5K5-01A	TCGA-OR-A5K6-01A	TCGA-OR-A5K8-01A	TCGA-OR-A5K9-01A	TCGA-OR-A5KO-01A	TCGA-OR-A5KT-01A	TCGA-OR-A5KU-01A	TCGA-OR-A5KV-01A	TCGA-OR-A5KW-01A	TCGA-OR-A5KX-01A	TCGA-OR-A5KY-01A	TCGA-OR-A5KZ-01A	TCGA-OR-A5L3-01A	TCGA-OR-A5L4-01A	TCGA-OR-A5L5-01A	TCGA-OR-A5L6-01A	TCGA-OR-A5L8-01A	TCGA-OR-A5L9-01A	TCGA-OR-A5LA-01A	TCGA-OR-A5LB-01A	TCGA-OR-A5LC-01A	TCGA-OR-A5LD-01A	TCGA-OR-A5LE-01A	TCGA-OR-A5LG-01A	TCGA-OR-A5LH-01A	TCGA-OR-A5LJ-01A	TCGA-OR-A5LK-01A	TCGA-OR-A5LL-01A	TCGA-OR-A5LM-01A	TCGA-OR-A5LN-01A	TCGA-OR-A5LO-01A	TCGA-OR-A5LP-01A	TCGA-OR-A5LR-01A	TCGA-OR-A5LS-01A	TCGA-OR-A5LT-01A	TCGA-OU-A5PI-01A	TCGA-P6-A5OF-01A	TCGA-P6-A5OG-01A	TCGA-PA-A5YG-01A	TCGA-PK-A5H8-01A	TCGA-PK-A5H9-01A	TCGA-PK-A5HA-01A	TCGA-PK-A5HB-01A
hsa-let-7a-3p|0|+1	4.75236315923563	5.28401743698906	2.61781501683326	3.1744695615749	4.62199117357765	4.15906886093561	2.65069690817656	4.08446558122837	3.4947975752134903	3.3106014777594	4.74645622409175	3.7431774051588	3.3880157191426097	3.90957155408071	3.04871058179362	3.79643496672961	3.1350443429227997	4.1347767029475	3.03763742813639	3.7925853395552402	4.51504208789079	4.80447696914439	4.27763718645053	3.22416364068657	3.91571718834261	2.55860893780679	4.32857870712348	4.11304504188727	2.9038026539859803	2.8057922939928197	2.3609440842347897	4.4453938154092505	2.77923436344469	4.458774943264349	4.99539430206353	2.43302074458768	4.65484367430807	3.6248160998753	3.25024724160505	3.3215210525966	2.84704840634139	4.64111419754015	3.2953201979370803	3.20872912570437	3.9257201520584903	2.97869705972425	5.10828696366584	4.66339115892298	4.5083813863287805	2.53941119457716	2.90261694758465	4.63832870423606	3.78665926344375	4.09962922990165	4.15227695624951	4.3649694661625995	2.41557562709523	3.87575479076693	5.0020963654583	3.10413094421786	4.47614880799369	2.9425587254172902	2.5998261176528197	5.20752657632329	3.03930276291935	2.34909932524159	3.8483938689953	2.04615063604962	3.0223905698979596	5.482981928379821	2.59971536464537	3.3756369881723702	3.7320210630500603	3.73586626691818	3.58467726451926	3.81037490275414	2.82687838827012	5.14976188689825	4.671691018411019	3.36037565391401
hsa-let-7a-3p|0|-1	2.72816674764395	2.78770216487126	2.5178152502640696	3.47453700599459	2.1386351253799	2.61347280832241	2.6013440717081897	2.92099972266385	2.8407231532828794	2.87176607049136	4.0643931589126	2.48264432686373	1.65626115132047	3.19621268209304	3.31288495228905	2.89670121441035	1.21980261209524	3.56731276525627	3.07730922427366	3.14686760386641	3.9106710357157497	1.56539156887046	3.1404537559305203	1.3406865621009199	2.13162002838719	3.37506321458479	1.71856512363197	2.20887349912392	2.9347171415055198	1.8654103858456499	1.07259777781492	1.71435409582751	5.51296359522381	1.5159507776243502	4.05971814146657	1.83463056266495	2.0215945351541498	3.2147594706099505	3.99632445494642	2.33329484527125	3.46823274776078	2.62027547670409	2.45505802620195	3.59363312426937	3.16765419464175	3.0509554705391095	3.39791336798208	3.0903482554546704	2.40837580041577	1.5486372407965001	2.7190353351498997	1.3517604474433702	2.3305064998454	3.0876729601172594	1.54104389821467	1.88675613899232	3.19989900227454	3.04983172925477	1.81018102438901	3.53194842277777	3.44215343174998	2.36485487149087	3.14131841009464	2.35959282731993	3.46324036075956	3.63994637208383	2.4794796715098597	3.12321536647488	1.51537390623378	2.44819146092684	3.5026161788291503	1.82168795166394	3.3593871029672404	2.7487778950218997	2.48849145906858	2.0747496929174503	2.62237347705053	2.7654562554201205	3.3348371258741896	2.3475924182259
hsa-let-7a-3p|0|0	4.29963109535748	4.534495529838661	3.2983209639917703	4.38615013113587	3.8692604766174	4.0841982116704605	3.7046206432897097	4.86656345750457	4.16135175636598	4.30092844156788	5.573773311639321	3.2111021828824198	2.72140847787664	4.45530517428866	3.93937627924421	4.50569650308437	2.8611585244176	4.33181060005757	3.9145169159199305	4.554617146182831	4.5996447242526	4.36427698781987	4.36071787075881	2.7992056084453196	3.98583095538037	4.07869770768831	3.44996449989437	4.07908494954279	3.4446730795852103	2.8417054605506005	3.03049696601794	3.87666248564038	5.62270984366482	3.75357401614294	5.015800284897611	2.85472550732337	3.6284136789212798	4.617312402546861	4.69239559805306	3.95472265210978	3.85030742304914	3.7101939917856606	3.8970845727005803	4.29358752383523	3.64790270609335	3.6248350983307303	4.786202234871849	4.6428669843990304	3.9877968187767703	3.5741788319061296	3.52337742605745	4.0995671065463	3.5734007353496002	3.6714143392032796	3.47196494153205	3.8747977932091002	3.59444809464105	3.89727759241687	4.13618007814685	4.21507005318587	4.86239304990803	3.95684927871154	4.2439410525507	3.9507382804443596	4.00392760344348	3.0654187980674905	3.67461128034792	2.96698111748141	3.2271682096804906	4.460287732029509	4.19330179793832	3.74644527975536	4.45835807251447	3.82816484486465	3.70729443811203	2.9929276528021496	3.77184538304969	4.62320232901859	4.51664022234111	3.57361418456339
hsa-let-7a-5p|+1|0	2.8781531516589904	3.1429931734543697	2.16799182835668	3.2736153609499503	3.13880146254798	2.38301716996915	2.3255522629069905	2.82866347568718	2.53457445030043	1.08081089975519	3.47409187764986	3.64073942851098	2.6240462579724397	3.6212980790707703	1.1680610815274	1.89321358010174	1.3328664904510399	2.92021317173498	1.2470829030358601	2.8931103699872898	4.17243565371854	2.1470662795872	3.3501667254832	2.39439081225594	1.7835080160914498	2.3437379186692997	2.5762866856708597	2.14465197822218	1.7090203648825801	2.28612697986774	1.8000150081844	2.9242882814870796	2.4624307860146297	2.6585362403501698	3.6796425933901	1.90694579930628	2.4640460536123596	2.9145771099006	0.757389177726119	1.4073761826365	2.79433928468275	3.21453681128477	2.60433990436351	1.27112077610534	4.32749312314342	2.44719227113533	3.5556667189002003	2.63001430832113	3.90722531158975	1.834795754636	2.50863963627302	1.92372754604025	2.52129290591762	2.91127274702759	2.9162363455404705	2.3094986032077003	1.8676450907874298	1.86698398266771	4.0714640570504095	3.94171028691429	2.26176757815443	2.6025173637811	2.48592690054259	2.4713124444306804	1.26547950440033	2.9168773083866	2.67678139951995	2.5652587024274798	1.16295293229923	2.39095994046098	1.5351204841233799	1.18108519664538	1.8665458789844298	2.0288499962057798	3.30291188951266	1.7313104927195901	2.09832642272298	3.4546321931540698	2.83223300542471	2.49442597824455
hsa-let-7a-5p|+3|0	2.8781531516589904	3.96185042969053	2.23250789948794	2.54028450161357	2.6334964023361405	3.3696082200902198	2.19855693837619	2.24987136303628	2.35309562843991	2.27540325007016	3.57954759261823	2.89237037210944	2.51963482320337	2.68788100824558	2.5312019284236	3.02252235247089	1.3328664904510399	2.23671933717375	2.7735411824372407	4.03187661140852	3.2503061349964	1.56539156887046	2.7545753448603905	2.9013934347335897	2.68905919422446	2.02045632674443	2.5762866856708597	2.8559607419294397	2.55163244655615	2.28612697986774	0.35140701827580295	2.4085744464894705	2.87105978926888	3.3644830643250696	3.6796425933901	1.90694579930628	3.57648892593786	2.7372664390542596	3.2847258973594906	2.9279291222415096	2.28452670234703	2.39321106570553	2.28852734176061	1.27112077610534	2.03759533599684	2.59951721247806	3.1890077911192596	3.1497422999271802	2.5209601406071003	3.3654311705217004	2.90261694758465	3.13112331215298	2.39694509205124	2.87965584154833	4.03710379876988	3.8923790708501	1.2898980027848799	2.6542944558929	2.8421218906225403	2.15159725733512	3.44215343174998	2.85329957072785	2.2269872360692298	2.88849878184132	2.3818960420196	0.8631551665707611	2.74871960997415	1.29468017816162	1.51537390623378	2.8811934880941896	2.26190766048527	1.92160389685909	2.73795770992529	2.0288499962057798	2.18511229137181	3.0562100923588105	2.50811115697667	2.9433364108283597	3.98555695064305	2.3475924182259
hsa-let-7a-5p|-1|-1	6.533742279954049	5.78428792949079	4.254477224626569	4.90990702044796	5.65105056189438	5.778943404294861	4.52127535401144	4.45252948787651	6.0850961897110905	3.61778749914604	5.88620882802033	5.61345038962384	2.8983937642083597	6.61381263428268	3.8170600768094505	4.22071785008708	4.25084364148032	4.814305336908411	4.11843052686193	5.57853641218789	7.68374118699666	4.993826338548691	5.82974316571952	5.15953281343581	4.33379526497876	4.07869770768831	6.0673749466973605	3.38686954351607	4.197283871525229	4.51441999965788	4.4926693332295	6.025370253070049	4.1633313616323795	5.21469460833775	6.6706265023021905	3.5173443961801296	6.16347640524474	5.816921101595581	2.8039947909035	3.58699933452348	4.3838068882664905	5.09299396745813	4.672933851555491	4.50293593424887	6.4367282953280105	5.07870496808008	6.15865153961761	5.67563100181718	6.601182749390531	3.8234381948362897	3.68243474436115	5.4745185937530305	5.4168559381646295	5.32685708050984	6.016001663710919	5.55601071336	3.41061941478773	4.20403427014896	6.74486638049373	6.89071739281632	5.19693737237018	5.0265250173154	3.97509935685468	5.7520223199853895	4.26700558930821	3.8994856290843396	5.39892034478344	3.6710210073239904	3.4064596099247404	5.5757868943960895	3.7712702994141205	4.7471963658108205	4.12487674251736	5.087823916364219	3.8910035432270598	4.520644767047231	3.5587721517823	6.814183129441769	5.21622251938389	6.15118719199801
hsa-let-7a-5p|-1|-2	5.94950023063434	5.11370060495689	3.71437143668956	4.838834778133959	4.6794789922557305	4.88803060245683	4.494492322168299	2.09991921492347	6.20155065143596	3.5276555696042204	4.20286525100139	4.37389887535156	2.28498041561598	6.48485039059534	2.8959470111784906	3.68666306821722	3.36513810403786	4.0626281022124	4.22823859908319	4.83291852928768	6.926003962750911	3.4326776421209	5.540040728108269	4.21265557171884	3.5263275731267405	3.6338091790592597	5.19029414521897	3.1781450042385	3.48700308742998	3.77503317606555	3.0783904482642503	4.67747820509293	3.9054935354451903	4.0129865147366806	6.36342438486067	2.96045374997225	4.827675675001741	4.9980289861051395	2.8039947909035	2.8195301665284003	4.3838068882664905	3.63420134792023	3.59203051544223	4.10895373848453	5.65093813333542	4.60168780978094	5.605969341203529	5.14418944835316	5.760572951938911	3.12128518855963	2.56418428643659	4.3173946203732	4.70747548333411	5.23614197899724	4.52994623276134	4.61840181061783	2.90746459147687	3.4206447046879203	5.57489522060081	6.532028238075429	4.73452332368345	4.315432114903079	2.5998261176528197	4.24605146210201	3.03930276291935	3.63994637208383	4.77175548860276	3.93627867410443	3.4883877487341404	4.25107638302177	3.81516360674986	3.9255907091919	3.27737793627657	4.5512568110167	1.64550481547784	2.62668160471719	2.50811115697667	5.45866894491449	4.7028540567283	5.39814736008541
hsa-let-7a-5p|-1|0	6.865521965404509	6.035550234494231	3.71437143668956	5.351233961378691	5.66819203905732	5.98505612190434	4.58613518080028	5.22458701123922	5.7416385832827	3.5430740464490498	6.3257713340795005	6.1679859035202	3.8848626748851203	6.95304585184191	4.1567025440666905	3.4828243888228196	4.14643488910045	4.64346644307267	3.6639917970488103	6.01285313472396	8.02449081200803	4.91792694936629	6.74460531274104	4.92895058700251	4.53427935261286	4.04346813808843	5.84582956606709	3.75271748797979	4.34268227290852	4.44607289931874	5.55640838451733	6.272459931572059	4.01018392541088	5.40764455279014	7.18029936406512	3.62845397129538	6.124832761777131	6.686851020050829	2.8507711084035097	3.81113485051387	4.67372236353357	5.360017268573821	4.21990551422815	4.0690121251627405	7.2252117827302405	4.94287692767459	6.9893711676898	5.7398519760855695	7.19185200785164	4.11819005578993	4.30475405479798	5.269184888445849	5.56146040914155	5.3150862700527695	5.745850555239691	5.28363513772049	3.8079699088934302	4.67192469738499	7.253316029571611	6.944554359400481	5.189453294124309	4.65616541794992	3.88809290830393	5.943394735353481	4.26700558930821	4.310142251095701	5.654372926999019	3.8382063056695097	3.67490700430813	6.00565665804425	3.9393581395492796	4.973581217762059	4.38193290775623	5.4922168457368805	5.21667768480474	4.04685017747593	4.93258620665359	6.98141012289557	5.82877969482209	6.298385047499731
hsa-let-7a-5p|0|+1	10.112424494865099	8.45573564360523	8.855591818570339	8.63168386583947	10.120404013403501	8.78067992592482	8.14648544104935	8.52153840589304	9.67844945224268	6.98750815446892	10.2477926613655	8.84524219604655	9.689370901498108	9.048932039549461	9.01136763544589	8.94948150905309	9.51763210115264	10.0631820755897	7.761552367297339	8.47720950104943	9.256437466409679	10.0323921685051	9.254568266055278	9.227884496317099	8.926907049822141	9.109310455348028	10.543514308618901	8.17512407196274	10.472020362814199	8.95391581120901	7.2777485231846395	10.378691760687301	8.85618639441325	10.048851103539699	9.29681647241472	8.826093877703132	10.604512183475801	7.754554588605401	6.93681992494466	9.71886722723993	9.20662645560144	11.0532065479948	9.4467986038426	7.5477390037423095	9.14182461017776	8.68060761427533	8.78826175177363	8.98064537240351	8.62426733304698	9.245223082474311	9.27344504535352	10.081107032735302	10.3870878186254	10.263558176273198	9.112925758898529	9.57028279634486	9.17151349603881	7.88926596135942	8.566627289637559	8.706479616556441	9.96832009744563	9.833486171267381	9.462619305995721	10.562006148110001	10.1386116625812	7.96093258461574	9.67333859973097	7.870138526447151	8.64276433817671	9.42773209959676	8.30322396135873	10.0783379800468	8.878295371790301	9.89960768967208	9.185124341301231	8.782761623142571	9.1985981834713	10.3103635316728	9.778209686991731	9.41206244358806
hsa-let-7a-5p|0|+2	4.00571546843972	2.5411791607803704	2.61781501683326	2.7613798543445895	3.98322427963984	3.04052126026022	2.19855693837619	3.2760030328257996	3.68605268802858	1.9905673385486697	4.94369862900586	2.9788938646616203	4.25373842483833	3.59654130794941	3.6598735150963098	2.52370753714319	3.69625386629389	3.8787672117580803	2.59372902797988	3.2038986782242	3.2847849540766902	4.3756706035262	3.7459736236502796	3.32567526092673	3.4036216975589197	3.0943878391564	4.43428145137441	2.73031340507021	4.29582564208421	2.8767463074956603	1.55121079970117	4.60418811714437	2.52030102674356	4.59189222348487	3.12507266975694	3.3195893343115004	4.920848925169549	2.2998423257792897	1.8203104884788	3.9375364907938795	3.0850759621363597	5.4365841137565605	3.7605813012892204	2.02238961819277	3.4276701755571497	2.59951721247806	3.1890077911192596	2.86080014273673	3.09429277341974	3.61253409029625	3.0264344277153397	4.2947534043104705	4.5557902116833695	3.74344493578507	3.50701345615304	3.6860884564924197	3.16158013040057	2.3763401930792405	3.0241277054842	2.63787844937139	4.14579667307896	3.8684974130241603	3.4146871988099803	5.04548558717743	4.51496750710949	2.0962782284125	4.061123312432	1.6940922956624498	2.96630863464989	3.92798736227781	2.59971536464537	4.1273976603573	2.65378674871019	3.29311580824344	4.11428876309528	2.92674153556716	3.6692388252269303	4.56094028778513	3.98555695064305	3.2816659258999903
