	TCGA-3X-AAV9-01A	TCGA-3X-AAVA-01A	TCGA-3X-AAVB-01A	TCGA-3X-AAVC-01A	TCGA-3X-AAVE-01A	TCGA-4G-AAZO-01A	TCGA-4G-AAZT-01A	TCGA-W5-AA2G-01A	TCGA-W5-AA2H-01A	TCGA-W5-AA2I-01A	TCGA-W5-AA2O-01A	TCGA-W5-AA2Q-01A	TCGA-W5-AA2R-01A	TCGA-W5-AA2T-01A	TCGA-W5-AA2U-01A	TCGA-W5-AA2W-01A	TCGA-W5-AA2X-01A	TCGA-W5-AA2Z-01A	TCGA-W5-AA30-01A	TCGA-W5-AA31-01A	TCGA-W5-AA33-01A	TCGA-W5-AA34-01A	TCGA-W5-AA36-01A	TCGA-W5-AA38-01A	TCGA-W5-AA39-01A	TCGA-W6-AA0S-01A	TCGA-WD-A7RX-01A	TCGA-YR-A95A-01A	TCGA-ZD-A8I3-01A	TCGA-ZH-A8Y1-01A	TCGA-ZH-A8Y2-01A	TCGA-ZH-A8Y4-01A	TCGA-ZH-A8Y5-01A	TCGA-ZH-A8Y6-01A	TCGA-ZH-A8Y8-01A	TCGA-ZU-A8S4-01A
hsa-let-7a-2-3p|0|0	2.36166295070034	2.5877774851639	2.87133330633245	0.0	2.5843953868726497	2.5395525712089704	2.66025996026708	2.08706889224219	1.74324443369127	2.58503050433017	1.8453532341433898	2.3658192455516	2.97015474515172	0.6297935744348531	2.55299072701861	1.14626423984302	2.37244152529931	3.4954407278280497	3.0099080954281603	2.03341061498851	2.9515418089870096	0.31302187795434805	2.0082139989338503	0.865498952432549	2.53406295030212	2.6560300120296003	2.69423542228754	2.3839415507179402	2.84306149936785	2.06981482981234	2.0739596106171496	1.66017592860437	2.75540560535186	3.0602548079056096	1.1634592649267	5.578076071701469
hsa-let-7a-3p|0|+1	3.99445706386855	3.7956917831354904	4.26822999998406	2.31541818603553	2.89826398052802	2.8109794243995396	3.2072068621792003	2.96764141499884	3.10945826484767	3.19885258072615	2.62919769025443	4.2907817369315	3.2458486549883103	2.61941996922761	2.20360620662877	2.3674350371341	3.3674446852282705	3.52050583822768	4.3942033268026	2.3154599752211	3.25277203940491	2.9606227959503504	2.8167385410332297	1.61113658593632	2.63868607438645	3.9400907933181	3.9813919686791404	2.11786897098985	3.1744119298638998	3.42692219512294	3.0173319906925	2.8563066418515803	3.4346895305006497	3.3780586211975097	2.87257022934805	2.98050636832751
hsa-let-7a-3p|0|-1	1.7397564159368202	1.85805499607552	2.83727121831012	3.0577888181717	2.8573943216524302	3.9674311905216495	3.1257834780579503	1.8476248464251899	3.1577015873325096	1.85351035883106	1.8453532341433898	4.11881080185551	3.1723048501580093	2.42727056755865	2.50796737343254	3.32392183172158	2.76238165874784	2.2495748994727998	3.12728426402657	2.3154599752211	3.14704272156147	2.13497649422253	4.27716182148629	3.44143516523501	3.76908077374368	1.67064669774324	3.2497739204961	2.3839415507179402	2.80106842932884	2.9177319268709	2.43113837223783	2.8563066418515803	3.7388536173222	2.9549227320161098	1.9912643923306	2.78826176388653
hsa-let-7a-3p|0|0	3.80310554062034	4.20333340017294	4.39071433247588	3.5455259055792796	3.8614869733146806	4.1250004666086	4.06272660146519	3.62888307235041	3.73620748695588	3.26856197175268	2.62919769025443	5.05563398442155	4.44256799476006	3.4969811559797104	3.3499380733676603	3.32392183172158	3.5762214728485096	4.10497671008379	4.4702370849143795	3.53692600764866	3.85514324450487	3.54368311410356	4.05467498552948	3.29809726785748	4.87363583302563	4.10608240249248	4.23534526687742	3.18389657418036	4.1930739729805495	4.596212234691491	4.12018364402525	3.72717117656537	4.1634098177851895	3.6383369412446	2.89679134903651	4.12871260268988
hsa-let-7a-5p|+3|0	0.0	1.54063544488303	1.60828413623081	2.37485329104264	3.4588129379283603	1.5877823446605501	3.06155086460455	3.28863422955847	2.89852731758092	1.4354375762669798	1.1995653123894	4.25429835015933	2.62902663948008	2.89891534721811	2.14599641854775	3.13757385588158	3.72389750216515	1.91347606869762	1.89956953162426	2.65615566108298	3.44348797100852	2.6060748831694	3.1389783745187203	2.1002641031133	3.21367393250025	2.2458812141494	1.39031824244628	2.56629797330326	2.7578163120030896	2.8868731202376003	3.68120347102235	3.0359468000351297	3.8946717309117402	1.61142536961383	0.6959665271516869	3.40605371817878
hsa-let-7a-5p|-1|-1	4.93155647436898	4.31132931767835	5.033766395354889	3.78343923628546	3.88200863602345	4.00396383304584	3.94897348383834	4.21285987350846	4.30618765152822	5.21924793375866	3.6633834960253195	3.6137037525277003	3.2812608387029796	4.26912858923992	3.68938495477495	3.34868169707793	4.70426348534509	4.456236432420731	4.4702370849143795	3.2657677748311604	4.02393907300547	3.57335276409438	3.2577213007922	3.75862699534204	4.36482862805291	4.473257576840849	4.34011423985331	4.04193482373804	3.4707327082509702	3.9738232177588397	5.29230114023896	3.5610515249756403	4.22996011388532	5.40614081834733	4.62543588637207	4.30075125951638
hsa-let-7a-5p|-1|-2	3.34754764159921	3.1498377961985295	3.7326317762887595	3.5963509659133304	4.192471279934851	3.38233335315403	3.2653937560366897	3.46876613339055	3.91525632373093	4.03049295203705	3.0235880948755898	3.67018537181638	3.2095453292253704	3.95970888506908	3.0378366007601696	3.5110343078525097	3.88948242229681	3.2174587809192503	3.33676827398149	3.6428102469709702	3.63816431425278	3.20764958817196	3.21921611728697	4.14117820876163	4.333997666575311	2.72571959973002	3.1544785958943997	3.97898533648091	2.61968906933739	3.8829178422162496	4.97335318705994	3.33946878255528	4.24290955817424	4.48776297582679	3.32934646750379	3.9564060315763903
hsa-let-7a-5p|-1|0	3.99445706386855	4.045483370869779	4.7884545151176505	3.4100304273991	3.15590026315525	2.85163816784218	3.06155086460455	3.28863422955847	3.49466401498798	4.4684242610702	3.2370404964370603	2.82974591739919	2.2545027764968903	3.9080438687361903	2.55299072701861	2.92353504190027	4.12029146556233	4.3201083741706405	4.72734905777147	2.80042368229395	2.8201132000486404	2.86789352729592	3.1796549924803705	3.10487665629677	3.81445871839246	3.9400907933181	3.9438851665862997	3.2652919069593596	2.16973251668285	3.29210463812819	3.77322184964632	3.2693627349634804	3.47914483598912	4.698222768060379	4.0975436645919	3.9333454096762
hsa-let-7a-5p|0|+1	8.96761440740309	10.0105348327703	9.22254800022943	7.73229833142231	7.9491489005626	7.94555163255526	8.23193832384886	8.07857144019816	7.48734391241317	9.37896744425427	8.49778750133406	9.487859438089279	8.79345071755903	9.464375035006091	7.454211025262951	8.26592851247811	8.52496205650141	10.026021062600801	9.119737719725972	8.58729238064284	7.95797958759707	9.77434019307166	7.818247898193671	7.68707073858172	8.61545270079767	9.98919762272226	9.492410114994199	7.701219406727871	7.9301430201478205	8.55521742306888	8.84311492770487	8.23283540423809	9.415743208912	9.47378850258033	9.774827830009619	8.75829080812779
hsa-let-7a-5p|0|+2	3.09749521498052	4.56511337910706	3.35332404465536	2.12083781935872	1.8902739211945598	2.14077147149187	2.63105020848871	2.08706889224219	1.6108834008948503	3.8027389829927998	2.90371760688813	3.42964043739838	3.6765559012801803	4.176092916955359	1.0578924047056502	2.04270442721	2.54125761252554	5.07094392752509	4.10085375219721	3.1627364084825897	2.3338393222044904	4.3999565692905405	1.81517883683081	2.23231187963222	3.21367393250025	4.4933775576525	4.41054886026875	1.26695806896054	2.35528153197536	2.1757355618399	2.43113837223783	2.9033568441785897	3.6048388684009702	4.17245407870126	4.30181257098398	2.6251473816080297
