	TCGA-FA-8693-01A	TCGA-FA-A4BB-01A	TCGA-FA-A4XK-01A	TCGA-FA-A6HN-01A	TCGA-FA-A6HO-01A	TCGA-FA-A7DS-01A	TCGA-FA-A7Q1-01A	TCGA-FA-A82F-01A	TCGA-FA-A86F-01A	TCGA-FF-8041-01A	TCGA-FF-8042-01A	TCGA-FF-8043-01A	TCGA-FF-8046-01A	TCGA-FF-8047-01A	TCGA-FF-8061-01A	TCGA-FF-8062-01A	TCGA-FF-A7CQ-01A	TCGA-FF-A7CR-01A	TCGA-FF-A7CW-01A	TCGA-FF-A7CX-01A	TCGA-FM-8000-01A	TCGA-G8-6324-01A	TCGA-G8-6325-01A	TCGA-G8-6326-01A	TCGA-G8-6906-01A	TCGA-G8-6907-01A	TCGA-G8-6909-01A	TCGA-G8-6914-01A	TCGA-GR-7353-01A	TCGA-GR-A4D4-01A	TCGA-GR-A4D5-01A	TCGA-GR-A4D6-01A	TCGA-GR-A4D9-01B	TCGA-GS-A9TQ-01A	TCGA-GS-A9TT-01A	TCGA-GS-A9TU-01A	TCGA-GS-A9TV-01A	TCGA-GS-A9TW-01A	TCGA-GS-A9TX-01A	TCGA-GS-A9TY-01A	TCGA-GS-A9TZ-01A	TCGA-GS-A9U3-01A	TCGA-GS-A9U4-01A	TCGA-RQ-A68N-01A	TCGA-RQ-A6JB-01A	TCGA-RQ-AAAT-01A	TCGA-VB-A8QN-01A
hsa-let-7a-3p|0|-1	2.7786050190332996	3.34378287707066	3.9640810643901605	2.3878628670900404	4.15959815104858	3.2952172137101097	3.22093102497971	2.86733764237566	3.2011633870781897	3.03306062423033	3.39261658002828	1.7948280965500802	4.02836605090575	4.7102817735758	2.3217238291422597	3.8210783122001497	3.62010615571823	3.4765895467327796	4.14931914880031	5.36676812109881	4.39225987724036	4.89901974882884	3.2100837232674997	4.27773719897199	4.158536068889	3.5052667837751903	2.51241399050304	3.30255627825726	1.85382151393502	2.2883596805193798	1.81556929545954	3.57235025675254	2.8290820028417003	5.23627619912567	4.7382719517888	2.41893993108325	3.28615959369333	3.58959456341604	3.76423452679417	3.6929389593232407	2.3892930105765497	3.2546981662601397	3.8292436479029304	2.6605777885569903	3.12320411445374	3.9621458232034397	4.3377379333135595
hsa-let-7a-3p|0|0	3.26881880186769	3.67442435093619	4.06437814363849	3.95567885828242	3.5749404386791896	3.7891119759892593	3.8463428149913996	3.7870407703300204	3.56924015118497	3.27273984444735	3.94459973475842	3.9007603004624505	3.9243904868583597	4.7102817735758	3.5766912436202096	3.92868223489532	4.11405953740792	4.28915748341491	4.87595357043225	4.8277539419133095	4.5437833034988495	3.6530740819748395	3.17670579820335	2.78486920948411	3.4428430689243	2.62703319946106	2.42481882622323	4.37181009568097	1.9319416904762199	3.42122457414248	3.2749993652535703	3.79457815528008	3.5466947187691895	4.96867692066965	5.31252475072017	3.47830120338781	3.03416386207411	4.0491408378582205	3.58182540073375	3.1960406550942	3.2445843729256802	3.52031345562579	3.86159042155154	2.6605777885569903	3.9067026084367003	4.428138557523099	4.712108351133651
hsa-let-7a-5p|-1|-1	3.66945437040029	4.957587624021481	4.06437814363849	4.52834126171947	4.84742288302404	3.5794100797236097	3.70904709771751	4.87466312244217	4.38942320743497	4.30808091358121	3.83243025813671	3.1312674678557597	4.63386926805927	3.4563041466592597	3.1696980377179402	4.4746300522668	3.1950568967238504	4.25721642386398	3.8407091894764	3.68500276234936	3.7610313522850003	3.16142707327963	3.75348524743908	3.1595999754570196	3.4744461941336398	2.8260353445672797	2.9490652791182796	4.22752888631302	4.007556248742	4.04788865056239	5.06521931136909	4.20936883516159	4.02374731813703	3.34675642351089	4.7382719517888	4.5374192785842595	3.7218791197240697	3.91160674011793	4.07170917278843	3.9490408983315803	3.56474573105722	3.98952930817334	1.8392933485791698	4.27709726007088	3.56750008148251	4.86249449252784	3.28340838871621
hsa-let-7a-5p|-1|-2	3.26881880186769	2.9141051031144203	2.59839341254296	3.45676755144551	3.3824259646072994	2.9409579719972	3.22093102497971	4.3064493383278295	3.2011633870781897	3.7515556500894798	3.3525089314577095	3.10192466609952	3.48694623637439	2.7443062862038703	2.72224937805429	4.00933635150833	3.2906757621218503	3.45797573602492	3.0905222535291896	3.1994685997022905	3.1548821882427203	3.5166224268049504	3.7306663294875895	2.92849967396539	3.1614945464181	3.58065313385818	3.18062253892698	3.0684733750953104	3.89504078109778	2.93734561475842	3.0496232351250696	2.92663796553327	2.6651519202130296	2.8038002071076398	4.044048941973149	4.0266001950153	3.0882074903771297	3.1744169168889997	3.5018733680278396	3.29166725092399	3.6210572616342502	3.48523354265307	2.28318711362609	2.8660485093141097	2.7470625137304903	4.1494609620427205	2.9980560492050694
hsa-let-7a-5p|-1|0	3.26881880186769	4.45419680682037	4.24620359392118	4.14019325942675	4.4158386569949	3.03800541732946	3.45365162044842	3.97208636410237	4.16418993084757	2.7454713409512697	2.93030773396029	2.4356958743129704	3.3330167911303596	2.6382170842609503	2.93837742598518	3.1145982386736697	3.88812050718578	3.69896142585536	4.09265370440798	3.03277272692949	2.8168573809129	2.0631084583873998	3.2427068527488303	2.24105614826878	2.3488551260539903	1.90344413250845	2.33155944105844	3.73495377690579	3.0427021552227003	4.25077346391902	5.003593936441099	4.401921344942401	3.9544074308754396	3.2890575434721	4.62362517821635	4.2135141827963905	3.4186174804345093	3.3264760708670496	3.79810355378079	4.16646108286642	4.04815077768963	3.7445465425363302	1.9637110480750501	4.2032228078808	3.96064092275733	4.990587978842651	2.6419900473241897
hsa-let-7a-5p|0|+1	7.7937692460512995	9.81679357088989	9.87181854425149	9.40665736595069	10.4938899228018	7.93933884196733	8.65928357390945	9.121094331081249	8.36141751898585	7.155784730086349	8.281311194387209	7.340405725855139	7.65295091527111	7.5152781768956896	7.47817867578729	7.35631303656242	8.74901271963305	8.82040368705306	9.01118823185738	7.462859082643441	8.17207652897569	6.71728027919331	7.1011617788898205	5.88155516942909	6.82616756860804	6.7122577060886	5.90259818971073	8.70302477169167	6.308080333899619	9.2516199113824	10.5198242304481	11.073925882365101	9.97912403768342	8.223722408954261	9.65678688858557	9.023696460147118	8.66395513391399	8.79620392621218	8.63544773737075	8.24356842336417	8.32133025801869	8.448747345432679	6.511628531048861	9.53497522876508	8.7759970520804	8.81523567365693	7.491645913297419
hsa-let-7a-5p|0|-1	12.2752718564678	12.920754217507698	12.4802479549299	12.646808993439	14.2272447414442	12.394939425014998	12.522948338896	13.381455026133	12.514991035207	12.754517347780599	12.441632149782901	12.3573969885879	13.498929542390599	13.6362287724264	12.451350790290501	12.8080836092042	13.526293688440198	13.0474692439252	12.8478600870503	12.6993997347244	12.9811708191006	13.1347815063441	12.204566327646301	11.947385072049	12.5869365335628	13.334920623162501	11.7911979154824	12.861201051629	12.2480134066371	12.587181777012502	13.552132150377199	13.8838930196076	13.0480715570209	12.405827004427099	13.6660595373152	13.1724494844436	12.7556530134044	12.747255843416099	13.545365927555599	12.5782567809751	12.1957487422916	12.188946217267802	11.4687671876817	12.641137485742	12.520592662211099	13.1568246677512	12.155835984368698
hsa-let-7a-5p|0|-2	12.1693870949604	11.2636808771689	11.220258913499901	11.426619715566002	12.5689703262008	11.9825413464538	11.8905268773064	12.146975705323902	11.9660012346034	12.191443132181801	11.539739055681501	11.4764899163959	12.789196558050499	13.5331596213849	11.7760406758431	12.7301901242787	12.6174752782249	12.271986259111301	12.1356663661308	12.6004902828172	11.666091332916201	13.5746312039986	12.098763981475502	12.078183358209099	12.970182218764	13.724677391038899	12.279301122181598	11.4862617073192	11.977155263016801	11.225305260038303	11.777920672637201	12.0283543213292	10.9795003215732	12.293170342174099	12.221410518063399	12.6424319190884	12.3838223266872	12.1660256963599	13.405324975090199	12.0400564513153	12.014647671859901	11.8534261352847	11.4666329265575	11.1959644016914	11.4562264141028	12.4582212538359	12.2240402453833
hsa-let-7a-5p|0|-3	6.7556425489776695	6.279988102892901	6.39480664083708	5.80837454760263	7.2559212054723	6.649423619831519	6.195810959826809	6.988042243303959	6.75139944125529	7.42247370973326	6.72535804089056	6.47046879199625	8.11817952467369	8.45775625999918	6.9090398735750105	7.93962461491274	7.51066171447482	7.09192206751823	6.99753592981719	7.103208045412821	6.68448493675882	8.80835486467651	7.112238612720231	7.30737155369686	8.09859594837651	8.41316451857306	7.384096399755349	6.679107990610089	6.81017980108917	5.44153465102419	6.85896712079703	6.83602133885336	6.408720372726459	6.42551613361588	7.23904508408774	7.036419267990411	7.389394375720579	7.05486290691984	8.08296040061072	6.88803419953879	7.0177345522940096	6.61910775177282	6.338580604773529	6.12336227820827	5.82544241097605	7.57041099474406	6.46540880310447
hsa-let-7a-5p|0|0	13.357542987739699	14.7149770190205	14.6222689299911	14.5622309705978	15.7587077460687	13.918336007792899	13.9890100762901	14.7250406565699	13.7617512954609	13.3791149209043	13.5074119590113	13.115897142832198	14.1492308847726	13.9901593503732	13.3516317302949	13.3592068569837	14.695715827920301	14.4078368146619	14.419658445975301	13.467928656995099	13.9810816044506	13.107537771315501	12.9171136785567	12.0243577399506	12.871865066487	13.259187325922401	12.1493379011515	14.292548213589498	12.6047129645402	14.3588450519439	15.506819659040898	15.758507560669301	15.2189760970473	13.6800091670889	15.3062419066454	14.3564170684435	14.0003594706815	14.0482930610886	14.434521745470002	13.8120046921592	13.4473206179335	13.592223984601299	12.000928921638	14.5329133443964	14.147923313125501	14.3956492217995	12.812961566538501
