	TCGA-KL-8323-01A	TCGA-KL-8324-01A	TCGA-KL-8325-01A	TCGA-KL-8326-01A	TCGA-KL-8327-01A	TCGA-KL-8328-01A	TCGA-KL-8329-01A	TCGA-KL-8330-01A	TCGA-KL-8331-01A	TCGA-KL-8332-01A	TCGA-KL-8333-01A	TCGA-KL-8334-01A	TCGA-KL-8335-01A	TCGA-KL-8336-01A	TCGA-KL-8337-01A	TCGA-KL-8338-01A	TCGA-KL-8339-01A	TCGA-KL-8340-01A	TCGA-KL-8341-01A	TCGA-KL-8342-01A	TCGA-KL-8343-01A	TCGA-KL-8344-01A	TCGA-KL-8345-01A	TCGA-KL-8346-01A	TCGA-KM-8438-01A	TCGA-KM-8439-01A	TCGA-KM-8440-01A	TCGA-KM-8441-01A	TCGA-KM-8442-01A	TCGA-KM-8443-01A	TCGA-KM-8476-01A	TCGA-KM-8477-01A	TCGA-KM-8639-01A	TCGA-KN-8418-01A	TCGA-KN-8419-01A	TCGA-KN-8421-01A	TCGA-KN-8422-01A	TCGA-KN-8423-01A	TCGA-KN-8424-01A	TCGA-KN-8425-01A	TCGA-KN-8426-01A	TCGA-KN-8427-01A	TCGA-KN-8428-01A	TCGA-KN-8429-01A	TCGA-KN-8430-01A	TCGA-KN-8431-01A	TCGA-KN-8432-01A	TCGA-KN-8433-01A	TCGA-KN-8434-01A	TCGA-KN-8435-01A	TCGA-KN-8436-01A	TCGA-KN-8437-01A	TCGA-KO-8403-01A	TCGA-KO-8404-01A	TCGA-KO-8405-01A	TCGA-KO-8406-01A	TCGA-KO-8407-01A	TCGA-KO-8408-01A	TCGA-KO-8409-01A	TCGA-KO-8410-01A	TCGA-KO-8411-01A	TCGA-KO-8413-01A	TCGA-KO-8414-01A	TCGA-KO-8415-01A	TCGA-KO-8416-01A	TCGA-KO-8417-01A
hsa-let-7a-2-3p|0|0	2.3036633472956	0.9719915960173761	1.7775955180623302	2.11990392774389	1.60832532557214	1.35824305132083	0.52247844888103	1.09544603207745	2.16959075535371	0.6012543461247299	0.74133827752406	2.40238972188377	2.20101369687261	1.4108334375088998	0.7164146765075721	1.44381810871745	0.0	1.46548516965919	1.56438300010595	1.4428322340531101	2.34043129392633	0.0	1.20832833165644	1.86347562856858	1.6431750625913502	0.0	1.8699310846499	1.18279181396639	1.6481207517411598	0.9198068896985542	2.48422622090077	2.8204098131458997	0.134643723290672	1.52050349279727	1.35711820417934	2.5369248861487796	1.33408344957719	1.7177836578337902	2.07506971856096	1.96806794175594	2.55436923459604	5.35729908889712	2.4488886626001	1.02921352400783	2.58867968432957	1.0673720607306998	1.9943483656025498	1.67059906655009	2.5569778723341496	2.75631004410717	1.2280146123571298	0.0	0.97744362696564	1.49274175695763	2.69063327617042	1.4225621834385902	1.44387109423641	2.7049089160404103	2.29598003429158	2.0341793870803704	1.8052940184036899	1.4804913927707197	3.31797773404803	2.30479013104623	1.8962417012049402	1.71655584116525
hsa-let-7a-3p|0|+1	2.64373252724451	3.4080957741806	2.1507012051782803	2.03829694845684	3.61698975823712	2.4509587575364398	1.45716517481874	1.5601207102684098	2.24251756956311	1.84204348934548	2.03207929700266	1.75065832413585	2.27684280115449	2.23285694589831	1.9371981899136101	1.38167401333204	2.4721174372307404	2.2760233490060897	3.37191389223153	2.0978971944634597	2.39453876135096	2.38965384972341	2.48218765100464	2.7406338440701004	2.29075735008541	0.8641282861243861	1.61594242559272	0.9177064140108331	1.8446229026214298	2.49510226351138	2.2253592519414305	2.5628292775122996	1.65630266727956	2.6399156851854704	1.4516753985575	3.40694658120674	1.95984060380954	3.2511599800166695	1.6822958948076299	2.4504164331789102	2.03622325996086	3.899762337601	2.8689734369926296	2.26803757704127	2.7510300982780405	2.52297339745328	2.67813328048459	1.9676445410382302	2.1184222851304098	2.69655750566535	3.1303285701878196	1.3124014560509298	2.72684119074527	1.9811689659757301	2.01117105198878	3.3566176296184804	2.1508836718292	3.14764144785733	3.0889691725247004	3.1733173258265097	3.1600567016831804	2.4531472212143703	1.6569252727303	2.4191723224934902	2.07635662122054	2.67908038151536
hsa-let-7a-3p|0|0	2.2549121937543903	2.12611816152084	1.8603356722684	2.85104080926746	3.4007965587239504	3.21185605875159	2.09530198580947	2.4288838093191	2.91291566266086	2.16671097052251	2.07870686087848	1.3092929387281498	2.7721556579856603	2.41648319165024	2.8166160776252003	1.9935020675358501	2.9676967510525	2.07136531361109	2.68650669299792	2.82639729926678	2.10109267617845	2.7341687132832098	2.15074832904258	2.39581120545094	2.23761532389297	2.7175675481547703	2.35902496706218	2.57376488770244	1.24611528912095	2.24665755995795	2.7036345139747406	1.45020342179972	2.60566663233075	2.6825381312160097	2.4163365450270895	2.82465417908019	3.05337769350744	2.69352041444511	2.07506971856096	2.8112734835856896	1.87129292583938	3.67622189339406	3.1939214428361	2.31908613337181	1.88239415742162	2.6543120346868796	3.1859312928807997	1.9676445410382302	2.9419282194671696	3.1169544445133197	3.1055411702608597	3.71864405702987	3.09727242839468	3.3642844111875703	2.65636197378716	2.29907669480473	3.26340901877396	2.2772078982372297	2.9787703229914904	3.4017855057891806	3.1962083809231205	2.4531472212143703	1.6569252727303	2.59170716432778	2.15862818627384	2.76981493025926
hsa-let-7a-5p|+1|0	1.98288359865747	1.1387707202061599	1.49641483418322	1.6560010551477	1.9644790699914398	1.08198608698659	1.20743211448899	0.981408873795857	1.83426713774443	1.5552670180058201	1.38523335041254	2.0881555734830504	1.69298759915961	1.8286985794898	2.31822438690919	2.18760644860256	1.83129912728529	1.95700749214836	1.76235396366957	1.67230456005154	1.73231018795595	1.7466271530510602	1.3996478447419098	1.1492090685174698	1.86963700785333	2.1521853323335	0.372970813305442	1.8747296333826	1.33597770396794	1.47701622334577	2.83331965698376	1.95882150159935	2.5098073520260598	0.951927748901563	1.54041449611256	1.83263495184253	1.95984060380954	0.7101009702064269	1.7698715073757199	1.7355007370047502	0.915483455335268	3.25850211608803	2.565920769315	1.35691400231722	2.5000960165707404	1.40240508850527	1.5799399201353501	1.29610203930936	1.7284963979583303	1.40313665301887	1.48022657231119	2.28013069706925	1.55480827974488	0.9313929598324681	1.14563649358689	2.29907669480473	1.98164306310817	1.7406638281874498	1.5246754829500602	1.5004928852842399	1.70848976624607	1.54514106053482	0.44244590307006204	1.1525437901712	1.4501953603217599	1.62229521425639
hsa-let-7a-5p|+3|-1	2.9800110173647796	2.4133123440456097	2.1507012051782803	1.6560010551477	3.5762655002837502	3.31260520440087	2.5362092991525897	3.05449154533212	2.4414869058241804	2.4315687483988704	1.6551332210104999	2.03710846660127	3.1197421387008197	2.98017987100169	2.99012184912544	2.9140889812118296	3.41490985730578	2.01531920369987	2.9528058348405297	1.93060750366317	2.10109267617845	2.7341687132832098	3.0371775952520697	1.86347562856858	2.57407524476288	2.3508359560531096	2.35902496706218	2.6919078175516598	2.88806193319727	3.20243822162655	3.16434523577029	2.8204098131458997	1.9399142630494801	2.9501103278293104	2.10332464676045	3.44985808447417	3.17984681689674	3.21209332417311	2.14225028798942	2.34409372724668	3.36528813234895	2.07509040671981	1.6567622306117702	2.46221356851938	2.93122873517722	2.32689576350299	2.43442414173906	2.3436369656251896	2.9894057135045804	2.69655750566535	3.35726317777096	2.09214015798906	2.7684681657566	1.70831580159302	2.06441645346786	3.27547790081443	3.2998715742862497	2.54869698838646	2.8280150238712203	3.15063517826046	2.8779245712260098	2.9594150483711297	2.3068363103220095	2.9371289590860896	2.31030721018472	2.89603880580108
hsa-let-7a-5p|+3|0	3.97857257899537	3.4404011135893398	3.36589041675277	2.7521307682177203	4.62842279265344	4.80890759355488	3.3455151465741197	4.02374181763811	3.55214789602762	3.7027753415644002	2.47709075185838	3.7459778067351697	3.60481601962583	3.79581193049544	3.56120057999166	3.7303331709972296	4.49861683901555	2.94971584480996	4.50780161908589	3.5194755998562903	2.7252910394624	3.6578237252654	4.05002548774794	3.9268626769995696	3.47076377429211	3.2020093815398503	3.92227458490519	3.3245387092207794	3.10807698444958	4.193939152781501	4.448386629699111	3.47327393129951	2.9358130454192697	4.27167466360319	3.61813976074419	4.31424645633361	3.8466079411534797	4.21345254713096	2.43796426192981	3.66103725990995	4.600672800688661	2.96060346292035	3.2877848382795296	3.05074189585576	3.8868006198618996	3.82246009260133	3.8003543908858504	2.42409845189628	3.62199579641945	4.0069230884722	4.3498506507815895	2.7306344608816002	3.44407449156164	3.3957103614740802	3.3568246351095	3.9602615040812004	3.99936115108401	3.5073155028191603	3.7894860960440804	3.59897066966852	3.89102346917127	3.50575890770166	3.8358766247738703	4.06727928377167	3.41308279482593	3.87961291980365
hsa-let-7a-5p|+4|0	2.7175515855444403	2.4769898147377996	2.01281123263616	1.95179558018273	3.27919681166219	3.0265291250728796	2.16715441954628	3.38116266572572	2.8206609225158	1.5552670180058201	1.5264857226881499	2.23127920785601	2.3488845122504505	2.5163947299706404	2.0756928265862	2.4217870364972995	3.33587638170419	2.01531920369987	3.069536755383	1.74134362424976	1.73231018795595	2.86432480237302	3.00809213983954	2.39581120545094	2.7739317112695496	2.3965007715140896	3.0661615366793997	2.6919078175516598	2.0708621124266897	3.11603425213417	3.47375465510337	3.58162640490762	1.05383311467805	3.2342103613271	3.11021664572572	2.91930049904253	3.05337769350744	2.9285699663619	1.7698715073757199	1.7355007370047502	3.09300382388112	1.2799554311978	1.9716036959157401	1.84890968170131	3.12140390738763	2.6955625298014403	2.77116924109284	2.1203465000319697	2.5569778723341496	2.8136859029808505	3.39866080491287	2.55966353860838	2.63980088581034	0.9313929598324681	1.24122504983981	2.45460517745731	2.5033296043794397	2.46375329551774	2.9203446832903497	2.60074860040805	2.78602788575162	2.06943065686053	3.09373437359674	2.4906807315671404	2.63165179640384	2.76981493025926
hsa-let-7a-5p|-1|-1	3.4166640946509	2.95062258033796	3.39393679787769	3.11261434997658	2.9689982569512003	3.24622681082753	2.64086373130268	2.63151418647569	2.86752558348705	3.4532440601289904	3.8379605806683905	3.64731039095384	3.7713696159808303	4.16767079032494	3.42961902878592	3.6795819344233	2.80115976742603	3.45006455075489	3.98094610353898	4.05511702268709	3.46787622583231	3.5065533543143905	3.6211451913124595	3.72019382180817	3.2198870881224604	3.0388062180114703	2.96076864210217	3.52885879015432	3.44744997280829	3.1454143198923	3.2597200755977593	4.98216741978105	5.398587177217281	3.3177057134101804	3.77266293978663	4.06103782419984	3.57921621371585	3.48216389927453	2.7707733607178398	3.5696250491600097	3.12998508793258	3.7159675211751	3.7169391628655695	3.2997936312185097	3.26272847010921	3.51201444524643	2.57868153810805	3.17089412662414	3.03537042759929	2.5690727896011603	3.6072751576456406	3.4709419152356804	3.4945587365479396	3.2993011779151704	3.6974199043476004	3.88019518972794	3.22600096352439	3.6678291433050196	3.4609835717709396	3.74239297407835	3.29952638579825	3.79874820255327	2.67436875897756	3.7405441546031	3.03162367392556	3.1869304120799
hsa-let-7a-5p|-1|-2	3.22748444203444	3.1197500259034	2.7800955378846	2.7521307682177203	3.06042237057953	2.6693334636252795	2.16715441954628	2.63151418647569	2.16959075535371	3.5197882315963103	3.4339205410201203	3.42708633065965	3.36530508121564	3.7417905493984103	2.8935439654462796	3.2633339611131604	2.3962388431659196	3.36292465933373	3.62176556347198	3.5194755998562903	2.6382678969105497	3.09395557916597	3.00809213983954	3.78536097865814	2.29075735008541	2.8871095763656496	3.0144272810580297	3.04262552572272	3.0294503650572095	2.7458648547253297	2.48422622090077	3.58162640490762	4.786988056206701	3.2342103613271	3.44505844926325	3.0644305394198503	3.20386268498866	2.8795462112549197	2.68325417014713	3.16360568264445	2.49890324561092	3.02530769182502	3.3325215506203105	3.3497498221010797	2.86182618681387	2.77468531098376	2.54394682525463	2.64162051153948	3.2058499313954596	2.8688669385711605	3.33611021209522	3.09863590720267	2.92391343971878	2.6876651651379198	3.2227281639855	3.0004594635158903	2.8856570249784	3.17461954955261	3.1410648020724303	3.49476743068834	2.8779245712260098	3.38732692505009	2.96702438354728	3.5018240578749196	3.19649163618999	2.18068746378961
hsa-let-7a-5p|-1|0	3.0952670299024803	2.85799149792265	2.44687246138475	2.11990392774389	2.3007698346883596	2.39077877824473	2.5362092991525897	1.91103151483503	2.61631167942181	2.62535226472394	2.92275223663521	2.7580861200134503	2.84869564475585	3.0033240377445094	2.28052928012951	2.2926552552215798	1.7111811181446999	2.79186786070215	2.9528058348405297	3.18966784770572	2.34043129392633	2.92524889436063	2.8200717946077	2.78379738377488	2.48567689820881	2.4407644211572297	2.4396901496190098	2.71999142825992	2.3113895116505496	2.1339171745216103	2.56113003522508	4.05243258059411	3.80841411239411	2.30004002170134	2.9574493984942203	2.8884365228924196	2.66084515455707	2.72160971387655	1.26661919150231	2.8112734835856896	2.31843389867073	3.3623360460563703	2.7085170183965297	2.26803757704127	2.86182618681387	2.5680945860062003	2.04490934848278	2.384428569832	1.8362934156563002	1.54541802936517	2.45280985321727	2.8541738499391403	2.34189705239815	2.7375738481479197	2.34822547532026	3.0004594635158903	2.62328064129765	2.8118820705160696	2.8902199348156397	2.60074860040805	1.89600917958736	2.7559510811166503	0.780572533225971	2.6861197205938603	2.5728553751856498	2.4784587014591004
