	TCGA-3H-AB3K-01A	TCGA-3H-AB3L-01A	TCGA-3H-AB3M-01A	TCGA-3H-AB3O-01A	TCGA-3H-AB3S-01A	TCGA-3H-AB3T-01A	TCGA-3H-AB3U-01A	TCGA-3H-AB3X-01A	TCGA-3U-A98D-01A	TCGA-3U-A98E-01A	TCGA-3U-A98F-01A	TCGA-3U-A98G-01A	TCGA-3U-A98H-01A	TCGA-3U-A98I-01A	TCGA-3U-A98J-01A	TCGA-LK-A4NW-01A	TCGA-LK-A4NY-01A	TCGA-LK-A4NZ-01A	TCGA-LK-A4O0-01A	TCGA-LK-A4O2-01A	TCGA-LK-A4O4-01A	TCGA-LK-A4O5-01A	TCGA-LK-A4O6-01A	TCGA-LK-A4O7-01A	TCGA-MQ-A4KX-01A	TCGA-MQ-A4LC-01A	TCGA-MQ-A4LI-01A	TCGA-MQ-A4LJ-01A	TCGA-MQ-A4LM-01A	TCGA-MQ-A4LP-01A	TCGA-MQ-A4LV-01A	TCGA-MQ-A6BL-01A	TCGA-MQ-A6BN-01A	TCGA-MQ-A6BQ-01A	TCGA-MQ-A6BR-01A	TCGA-MQ-A6BS-01A	TCGA-NQ-A57I-01A	TCGA-NQ-A638-01A	TCGA-SC-A6LM-01A	TCGA-SC-A6LN-01A	TCGA-SC-A6LP-01A	TCGA-SC-A6LQ-01A	TCGA-SC-A6LR-01A	TCGA-SC-AA5Z-01A	TCGA-SH-A7BC-01A	TCGA-SH-A7BD-01A	TCGA-SH-A7BH-01A	TCGA-SH-A9CT-01A	TCGA-SH-A9CU-01A	TCGA-TS-A7OU-01B	TCGA-TS-A7OY-01A	TCGA-TS-A7OZ-01A	TCGA-TS-A7P0-01A	TCGA-TS-A7P1-01A	TCGA-TS-A7P3-01A	TCGA-TS-A7P6-01A	TCGA-TS-A7P7-01A	TCGA-TS-A7P8-01A	TCGA-TS-A7PB-01A	TCGA-TS-A8AF-01A	TCGA-TS-A8AI-01A	TCGA-TS-A8AS-01A	TCGA-TS-A8AV-01A	TCGA-TS-A8AY-01A	TCGA-UD-AABY-01A	TCGA-UD-AABZ-01A	TCGA-UD-AAC1-01A	TCGA-UD-AAC4-01A	TCGA-UD-AAC5-01A	TCGA-UD-AAC6-01A	TCGA-UD-AAC7-01A	TCGA-UT-A88C-01B	TCGA-UT-A88D-01B	TCGA-UT-A88E-01B	TCGA-UT-A88G-01B	TCGA-UT-A97Y-01A	TCGA-XT-AASU-01A	TCGA-YS-A95B-01A	TCGA-YS-A95C-01A	TCGA-YS-AA4M-01A	TCGA-ZN-A9VO-01A	TCGA-ZN-A9VP-01A	TCGA-ZN-A9VQ-01A	TCGA-ZN-A9VS-01A	TCGA-ZN-A9VU-01A	TCGA-ZN-A9VV-01A	TCGA-ZN-A9VW-01A
hsa-let-7a-2-3p|0|0	3.91688488067556	4.56389882374324	3.2422509835709796	1.70122504441401	3.48001228686785	4.7470209628241795	4.42475367513656	5.29248383589583	4.17518178385951	4.26409019497933	2.66423953879819	3.7659650290856703	3.1146137671173597	4.70161431621714	5.1609327230052005	3.6852925604268503	4.62695117549507	4.41905728320306	5.1444894707753495	3.0044606011366497	1.6365021205202	3.7209093440843795	3.27385978517873	4.45828868442091	2.37213068371949	4.07825519054349	2.88084891767064	2.8837868706440495	3.17077184679039	2.50956119240076	2.1496811424969	2.90673562844225	4.659980667107191	1.6668729523437198	3.15477205558183	4.57407310995041	6.67236544762594	1.16088061315274	4.5895703111075195	5.2041232611869	5.7107183473684096	3.0623537133167402	3.87322655528293	4.5151905953999805	2.37615469510754	3.2600213236659106	1.7220738768858799	3.1194951833388003	1.99752205343777	1.05587679346839	2.81152016102032	3.40278603709341	2.66562780576888	1.55989439793674	4.24851178049708	4.45287506921753	5.79747538775607	2.2575140770497204	2.40909350319358	4.7690139264842895	2.00051361144364	2.5909773092159303	2.85050960052383	2.74987450220775	4.8522564858593205	1.8149874969934499	2.9759998581424805	5.44165051915184	3.89837526618231	4.98057346462356	3.58307591584764	3.0889939777059903	4.203189811606681	3.3800286907011605	3.61946313706504	4.2950828232497	2.5454540883122503	3.2487167801006502	2.60615826559869	1.4418452442832699	0.277738822538653	2.1299984177527698	5.35315237067266	2.65258083321812	3.6084208460111804	3.8980941122858597	2.9281323084255
hsa-let-7a-3p|0|+1	4.34682714347979	3.86703494455715	3.57053660148439	1.7760966819693702	3.74201877914812	2.74793083260145	3.2773780256692304	4.095516057352451	4.202454428490181	2.71004230860353	3.69590533291813	3.9548063886647005	2.48462506903011	4.46129516400486	4.02106535304626	3.41138315894011	3.86529748660841	3.4314319494002596	3.4292286682022204	3.5511495577748704	3.32069740980726	4.03187173742086	3.55650548942977	3.9685054270627997	2.1052707360429097	2.01712072392752	1.77613755251751	3.5107621285476	2.48511260153745	3.92930244022469	3.40931378154972	3.89384252282216	3.0158253305235805	1.72076161064957	4.27409816088608	3.17144773221258	4.27522063804029	3.68141537845946	4.034261263790779	4.26084370517775	4.27275815900618	3.67702393410503	3.27814892733826	4.06171850642855	3.7786535101058196	2.3514769575501497	6.838225965221009	3.55669576800929	3.6973893328375502	1.19835432844685	4.598181886040059	3.70071788185983	3.32223995263683	3.02571091668246	4.03129135072085	3.37067188352289	4.43366051331693	2.9589334402674705	2.69334716739155	4.74984907779563	3.8284555863217697	2.8206356824086702	2.7158655363672697	4.07178717058139	5.1288448578964	2.94788595587498	4.32203704536474	3.6186322997861002	3.2772153331727303	3.0775620838499202	4.0057779187574	3.03818229363845	4.02507972182756	2.68221844150018	4.37561273074935	4.629641658448571	2.71448871825213	4.03340381225409	2.8291517280833296	2.29978464519677	1.04367113008509	3.33519463961417	3.52431815880353	2.3120649033403	1.6677283108746999	4.215899655104479	3.73562562085877
hsa-let-7a-3p|0|-1	3.1034319680927402	3.2413519296934403	2.54493666673393	3.0786373310642405	3.20998527761778	2.38570721939098	2.03056547214605	1.67011274939599	1.97470363019896	4.203368799521391	0.714286588872923	1.1303127908282	1.34044619188191	1.37689956867319	2.31453282474189	3.07298730453384	1.66529977758953	3.75932707778135	2.9522188719576903	1.84320976552095	0.9993164156794458	2.50436410775984	0.6763486787140611	2.73594788262221	3.36814119725371	2.9539342959714903	1.14570343452312	2.18425375177859	2.72699065282843	2.01031056595155	2.70036765079586	3.13734503440915	3.6040954622356005	3.52528435428608	3.00197346753676	2.61780920715902	2.4225507846229504	4.00070554330523	2.0836714659074	2.4705933058995697	2.35052465606196	2.79882685737412	2.20611327695254	1.52053193683601	2.24562379155948	3.9929214914401503	3.9598616173632095	1.9140675084996497	1.5312698650072398	3.5328177517821095	2.62297834203976	1.9294491500725202	1.82042735015743	2.99665798356259	2.27432302267481	2.15133709472985	2.2037766820904703	2.05359457945851	3.4017964147655295	3.03493320971627	1.76601815042982	1.84766530490581	2.4017718570869198	2.52911007472339	1.8623166740528203	1.4217182077166102	2.47992307807931	2.6655622405061603	3.4593073359107596	1.0040753989307	2.73315427412347	2.5506006319386096	2.12489928721231	2.97164864162597	1.9345567930432799	1.8326072825955502	1.6676938609258798	2.20111730906315	2.10692479106355	2.67700833265287	3.4283425221076804	2.21317688977665	0.9672376659082541	2.5632077366481902	3.4532062830230497	2.1413010751887502	2.80946013225867
hsa-let-7a-3p|0|0	4.657092227932781	4.42880838950401	3.99919349444652	3.34770696386335	4.54716856001521	3.5161042697837206	3.9622442677036296	4.45979541831407	4.21589982076829	4.44981055967717	3.25433544452366	3.0656040469181	2.7540560407188703	3.942408248818	4.47229211474956	3.7396933469142097	4.33515407166162	4.914649952751059	3.63887943320104	4.1705136136169	3.3524032955939798	4.68399877693302	2.97783587213583	4.69928840743837	4.0138154722653905	3.17867828748326	2.69073650677216	4.073302675557009	4.41065987616199	3.74605756885902	4.28993802995217	4.58278601629585	4.989410000028981	3.4946770698494203	4.8822180204146	3.71037311300042	3.7681282769319506	5.39708763960551	4.66057174694718	4.14863522164905	3.80980924716575	4.411770925717559	3.76374457940332	3.6539316028879907	4.22220392360331	4.25493774813126	5.57738140087332	3.1194951833388003	3.3415503349805897	3.75661591361688	4.74421624940675	3.92345089427878	3.9132128388138105	4.51844886616001	3.82137980703458	4.01095359469431	4.23086054851376	3.49082919028647	4.36170213180029	4.59737279131381	3.90752972870982	2.74807040875345	3.44020689551072	4.21636176234267	4.30223404625071	2.65923323821496	4.5077132609478205	4.7618100006435995	4.14873438145169	3.5183890964283298	4.440506137681321	4.01482726347064	3.88288923788607	3.95830287731727	3.41195582587616	3.85874520142633	2.66031495322333	4.5388091545686695	3.2321269176857697	3.22313916277202	3.11145870850264	4.46220724642704	3.58298660483123	3.3312739128382796	4.07570498631863	3.8463888368785297	5.18825491473712
hsa-let-7a-5p|+1|0	2.41677934100731	2.00729790360159	1.66726602650316	1.6222540750715	2.06156499998442	1.69478852553148	2.38064744270939	2.75034622139608	2.4993442549980096	2.31021719506236	2.1430393201909	2.63966574762768	1.880300924619	2.88525916702186	1.86774771370419	3.4769033115456702	3.90069179858788	1.82745613751117	3.2870585324544703	2.4427309036318596	2.5293839982096697	1.6645136501450601	2.74024872019468	2.9375583097517	3.39503426133443	2.42059847041792	3.04880098849944	3.38586037900725	2.61111477262269	3.74605756885902	1.90682813745065	2.7295821728507104	2.7827710487983195	2.51426238382898	2.9748562774153195	2.99125339384453	3.06093739059367	2.65463717187719	2.4471593910658704	3.40103163932613	3.34552730592027	2.92460398552403	2.81226022439377	2.12569824818279	2.1515430619083302	1.8525165128365502	3.8870006167721005	2.74226919945085	1.87894841450816	1.65899410108564	2.00364524126566	2.19383947021826	2.2194406148658703	2.08651352760486	2.6918357366005803	4.17704261728086	2.73722973352027	2.51780113315254	2.64565804227309	2.02088686831301	2.37906473569733	2.15884224375192	1.92026914296771	2.4230707225492405	2.7113374556118797	2.9992813840603	2.1486113436537297	1.98888566681464	2.01549395506149	2.54279215951879	2.92421218915284	1.68191562850033	2.31410175783553	1.8345577219716	3.70000448159141	1.1140040819591899	1.2935915344526698	2.9150352378126096	1.71807032695141	1.1545837363769198	1.82681081316633	2.5048953158272402	3.4940643055540495	2.00779237991362	1.51909867921674	2.37820331792524	2.00184222686279
hsa-let-7a-5p|-1|-1	4.6362632722727195	4.00911662583716	4.311773247690209	4.51253308824695	5.2711458061986605	4.33208458852922	4.65100399995821	4.92895427506238	6.13539351379695	3.98024674228965	4.50987556755405	5.37253798432338	4.5840270728947	4.21475122050101	4.94524559983509	4.35941826449323	6.027882814864251	4.19644406516104	4.517464696197781	4.2567480197651	5.14615871870196	4.90104031772291	4.907244784330129	4.32079060536101	4.36614230932996	4.09672937628978	4.72592307296205	5.11097043697678	3.87046494813977	5.911952223108321	4.07138225773786	4.19622815688758	4.45700880035932	3.77494450705163	5.7496920468174695	5.651511201898919	4.989039128643451	5.30343962052299	5.31709234219561	4.745331941284559	5.5342561237827095	5.19478363997986	5.20458369619585	5.16790798040745	4.81991471233585	4.13753460061944	7.165353178289549	5.256393746075389	5.3243892469539205	3.73339632094854	4.151425843794231	4.93052550169065	4.48414679725799	4.64554674522995	4.73785480002401	5.46041215659224	5.46023201683363	4.517411933849219	4.79778264851338	5.441511475723231	5.71216661610657	4.93690021908855	4.47303118235871	5.35578294480589	6.20892883684494	5.14650857511431	5.3023515380554	5.13532897311735	4.3311765072093396	5.02581069792873	4.39818686822098	4.702108184851349	5.27016312995055	5.23986493844119	5.655226395388	4.68293587827961	4.14492894055101	5.38854700376022	3.8816415084620806	4.31349928311034	4.48810534120115	4.319336743584779	6.581848905514	5.089559365754849	4.021477467781501	5.89535142967898	4.94254260357387
hsa-let-7a-5p|-1|-2	3.4037684829238395	3.49428377587598	3.4796487274335295	3.44269721074578	4.0765543332615	3.41885674860292	3.64397824021504	3.36109136909172	4.87137368936226	3.85425135425155	3.1190341460830497	4.04070007336322	3.59802543043593	3.12421220089935	3.16170568970384	3.11475205668142	4.2689792070060895	3.58642164457049	3.12933122650052	2.53764985099099	3.7595457683313596	3.7569828394389395	3.48123827274863	2.9375583097517	4.00511373135291	3.67306032095839	3.5744477348551498	4.22686160087727	3.53108976793864	4.21462206511266	3.66525745945823	2.90673562844225	3.43334426371042	3.88524458609123	4.661896287558849	4.16396116942954	3.53090077877743	5.02700880467675	3.8027498112241807	3.2277661154974	4.25464413465702	3.78711477278023	4.02329063535183	3.5426441552560495	3.50195911172704	4.40219554916091	4.87556409762583	3.6302236389509304	3.5882458910390698	3.2351226361268504	2.81152016102032	3.62808246864262	3.6797995626994	3.6282154500322794	3.40521151268551	3.86033589814997	3.9231223998762	2.9589334402674705	4.17275207738683	4.24718227039446	4.20228142814099	3.44318969883386	3.44020689551072	4.08343744760398	4.55302897921175	3.3554027317687405	3.92542026512475	3.39256050937789	3.4305103221841096	3.4928412843271204	3.38060891225051	3.3817113103671197	4.07825096785614	4.15588062379482	4.02583675461932	3.15676821471679	3.00269926790963	4.558970975929309	2.6652202714155897	3.6183617124795	4.827099523387121	3.40761725234665	5.10051049210721	4.45698947355087	3.4532062830230497	5.067870519379441	3.73562562085877
hsa-let-7a-5p|-1|0	3.82783460232873	3.98179770287562	4.34648187253161	3.6359935928616696	4.88603793185346	4.77348765807329	4.667022560234741	4.22742968114203	5.68187693967438	3.8006017037652997	4.74633563759961	5.34747678705516	4.06229759278307	4.46129516400486	4.63497730570597	4.26983202820663	5.58118814190503	3.5492071013215	4.1021981477465	4.04687916711828	4.29638262076152	4.18536018957711	4.4151543125328	3.77147976869067	3.8090911206350295	3.14356897643119	4.2847534217484995	4.0322158593177	3.9200066083164704	5.33531751623793	4.07138225773786	4.05294329901208	4.1366418813481305	3.20439650270186	4.57427605740039	4.57407310995041	5.23747702353812	3.9521600821353196	4.952302024530071	4.47761529453685	5.22568011789665	4.90847800763004	3.74945615401242	4.73361808241903	4.23372893385661	3.49296338460473	6.6195406513681	4.61670834393255	5.2306549626271	3.99004196972429	4.116085981038061	4.5131336525122405	3.6150280656066798	4.69159632422065	4.80794962030125	5.21510111828085	5.251677405039019	3.7827367782834798	4.17275207738683	5.215689372090139	5.0362878118911505	4.28841503064618	3.9801703568166102	5.02220017932072	5.92913482195166	5.20240215173213	4.9430493472075705	5.07306322471043	4.03855207537611	4.60473903281172	4.30963165703815	4.10399592018722	5.0281619940347495	4.64126421317304	5.535957297522691	4.7593583325530995	3.9554760849847903	5.1568431705335405	3.72389964017342	4.1235909564931	3.94822205307675	3.7235332761561	6.20138121728613	4.469341908689679	3.4532062830230497	5.14479700622418	4.13159857930658
hsa-let-7a-5p|0|+1	8.70853846373191	7.93330706021684	9.6553637869782	7.957226531026469	9.329076193887591	8.388459136118781	10.219242031256199	9.512672141902321	10.4279765941928	7.89189763589527	8.65509516393638	9.69699186020949	9.07267636651401	9.591209712596891	9.69524117120778	9.95442472522102	12.0974513164721	10.0787026647865	9.85431297893809	9.19543253947824	9.19939723768238	9.19125982668359	9.69115598530048	10.939361535631301	8.92199643072668	8.782381073723469	9.54147675509513	9.16514521583402	7.928033217862559	8.73548151076861	10.218780810653199	10.1411621696802	10.2242398498769	8.00469399524524	9.976484433781401	9.85231076460711	8.68684600686105	8.29888014934387	8.863487426723669	9.15127159354024	10.7450756068034	10.4894108136543	8.76880977526935	9.448885873283789	8.71373628303121	9.24955387232823	11.2401295223634	8.82749499360675	10.283255535208198	8.288219216218799	9.19749506696507	8.62258610065222	9.48006313866819	10.099257683888801	9.158211072847411	10.7858385547851	9.49555970350897	8.02610599151487	9.64552034546109	10.0438267812577	8.938498547407619	8.61885719092278	8.49116513754429	10.298774950104699	9.89588182918258	9.95894967559543	10.583457968415	9.88362764001053	9.25026492526843	9.39786609692926	9.952057064867038	9.34498353998622	9.65951642152358	9.03269333253557	9.51673533786633	9.40913102790478	9.65035294759659	9.089261026993029	9.12929548022369	9.0228488841565	7.39113667130541	8.57191169912579	10.2811106126246	9.413244064433359	8.39618295677251	9.86190734029929	10.471994121698
hsa-let-7a-5p|0|+2	2.8005774454958	2.38636937793556	3.95489194502419	2.50506578300109	3.48001228686785	2.8509406833320297	4.405786766374151	3.60700741072904	4.46142815933107	1.50984924131747	2.9298429303464903	3.9098624802137296	3.8487573430886	4.21475122050101	4.61561699561759	3.71274935489979	5.66076127340966	4.0081564775686696	4.312540089709421	3.59595079371678	3.01870072980261	3.1984133635764502	3.4420789939356697	4.69928840743837	2.03861298838841	2.68760123908927	3.1508048119832996	3.01610987906079	1.829800054872	2.6553990864681403	4.797579417379191	4.55646256651511	4.060446081948149	2.45189941552611	3.31471825289504	3.3531095652550205	2.7024048692857403	2.28817504903941	3.0509200657433797	2.58997857064658	4.79551869779334	4.3769819428112795	2.54078933157169	3.77704966629938	3.2753672446896602	3.2600213236659106	5.0855016295514295	3.0937326589962297	4.69433895627383	3.29977901860129	3.19697277775611	2.7810590000677995	2.84578835106293	4.41244467093442	2.96158390005121	4.1868147684599	3.9474183292351603	1.93969722192182	3.47183733993653	4.39019362136337	3.1705337060536802	2.46080351349704	2.85050960052383	5.01613420104558	3.78276038283642	5.25621079720497	4.760138966613701	4.89734878460997	3.4011267762957202	4.04326824021114	4.822927746923611	3.84784240100874	4.01147497056696	2.91822235943327	3.61946313706504	3.7380357539955402	4.6267779262352695	3.4777827142612403	3.19252280635315	4.01835733046268	1.98990436053496	3.0931691847789105	4.2040200095067695	3.50931179079834	2.1444441264093	4.17456509741735	5.20009707843532
