	TCGA-BF-A1PU-01A	TCGA-BF-A1PV-01A	TCGA-BF-A1PX-01A	TCGA-BF-A1PZ-01A	TCGA-BF-A1Q0-01A	TCGA-BF-A3DJ-01A	TCGA-BF-A3DL-01A	TCGA-BF-A3DM-01A	TCGA-BF-A3DN-01A	TCGA-BF-A5EP-01A	TCGA-BF-A5EQ-01A	TCGA-BF-A5ER-01A	TCGA-BF-A5ES-01A	TCGA-BF-A9VF-01A	TCGA-BF-AAOU-01A	TCGA-BF-AAOX-01A	TCGA-BF-AAP1-01A	TCGA-BF-AAP2-01A	TCGA-BF-AAP4-01A	TCGA-BF-AAP6-01A	TCGA-BF-AAP7-01A	TCGA-BF-AAP8-01A	TCGA-D3-A5GT-01A	TCGA-D9-A3Z4-01A	TCGA-D9-A4Z2-01A	TCGA-D9-A4Z3-01A	TCGA-D9-A4Z5-01A	TCGA-DA-A960-01A	TCGA-EB-A1NK-01A	TCGA-EB-A24C-01A	TCGA-EB-A24D-01A	TCGA-EB-A299-01A	TCGA-EB-A3HV-01A	TCGA-EB-A3XB-01A	TCGA-EB-A3XC-01A	TCGA-EB-A3XD-01A	TCGA-EB-A3XE-01A	TCGA-EB-A3XF-01A	TCGA-EB-A3Y6-01A	TCGA-EB-A3Y7-01A	TCGA-EB-A41A-01A	TCGA-EB-A41B-01A	TCGA-EB-A42Y-01A	TCGA-EB-A42Z-01A	TCGA-EB-A430-01A	TCGA-EB-A431-01A	TCGA-EB-A44N-01A	TCGA-EB-A44O-01A	TCGA-EB-A44P-01A	TCGA-EB-A4IQ-01A	TCGA-EB-A4IS-01A	TCGA-EB-A4OY-01A	TCGA-EB-A4OZ-01A	TCGA-EB-A4P0-01A	TCGA-EB-A4XL-01A	TCGA-EB-A51B-01A	TCGA-EB-A550-01A	TCGA-EB-A551-01A	TCGA-EB-A57M-01A	TCGA-EB-A5FP-01A	TCGA-EB-A5UM-01A	TCGA-EB-A5VU-01A	TCGA-EB-A6QY-01A	TCGA-EB-A6QZ-01A	TCGA-EB-A6R0-01A	TCGA-EB-A82B-01A	TCGA-EB-A82C-01A	TCGA-EB-A85I-01A	TCGA-EB-A85J-01A	TCGA-EB-A97M-01A	TCGA-ER-A194-01A	TCGA-ER-A196-01A	TCGA-ER-A19K-01A	TCGA-ER-A19T-01A	TCGA-ER-A2NB-01A	TCGA-ER-A2NF-01A	TCGA-ER-A42H-01A	TCGA-FR-A2OS-01A	TCGA-FR-A3R1-01A	TCGA-FR-A728-01A	TCGA-FS-A1ZN-01A	TCGA-FW-A5DX-01A	TCGA-GF-A2C7-01A	TCGA-GF-A769-01A	TCGA-GN-A263-01A	TCGA-GN-A26C-01A	TCGA-GN-A4U5-01A	TCGA-GN-A8LN-01A	TCGA-HR-A5NC-01A	TCGA-IH-A3EA-01A	TCGA-XV-A9VZ-01A	TCGA-XV-A9W2-01A	TCGA-XV-A9W5-01A	TCGA-XV-AAZV-01A	TCGA-XV-AAZW-01A	TCGA-XV-AAZY-01A	TCGA-YG-AA3N-01A
hsa-let-7a-3p|0|+1	2.25010149860868	2.28934660250303	2.2789169205339	3.25391619093567	2.81958424415927	2.4189381356741095	2.18781235166026	4.2171049359808395	3.72501077442401	3.4487157796354597	2.75270502861702	1.70907978788658	3.6558036990787595	1.25813779121773	3.8379995682809502	3.7979121208410698	3.58505966244658	2.75823384966097	2.63103355759973	2.76253103096094	3.24570386452041	3.6923122702518203	1.246899019173	2.6919028706706603	3.02785825637695	3.57170967884759	3.3623372917711603	2.97477479029668	2.7751174833080094	2.3191541599999304	2.86616781193256	4.85047213403579	4.257120378553	2.9205666539590602	2.3429335161190803	3.0762733814028698	3.3651393426696896	2.77841717307131	2.52013068301832	2.0617016476126397	2.3048293287152	2.1276969321257098	4.626616652742481	4.13020535980229	1.4966722469164802	0.8743797958564671	4.32806556994897	3.2056991302895295	4.14142248971071	2.00351875359983	2.7443273414363802	3.4064396605306806	2.7569578842688798	2.48732720153546	2.92410760800304	3.0637564683408396	3.39029608783911	2.8572269006163697	3.1643503181539905	2.43538582953413	2.42103951368634	3.4861164906754603	4.3224401863175395	4.19097316933549	2.6206588057225497	2.85943294693371	3.80513971592197	3.1195804310770203	2.9038516577216	3.0216543082090896	2.03230913340642	3.88534507647482	3.8916004135732103	2.8696209316891497	3.2373164245026405	3.31008907901226	2.8442100976654796	2.05113811344253	2.52355380477709	2.75547573129832	5.063549291798219	2.63551963372338	3.43551734130938	2.10822532499921	2.99557284364078	3.4557528839417797	3.03997022141027	3.9249540922356005	4.1086837838563	3.2731687869023403	4.15050836016369	3.4167642676426397	3.9731883187626	4.1108743778012204	4.17074112229191	2.63041450224015	1.5968988562647501
hsa-let-7a-5p|+1|0	4.66235862909111	3.8128817220602103	2.6768064363817503	3.28297300244986	1.7963077459286299	3.90780302102735	3.92832895572738	5.613401440882651	4.23462788351899	1.86590282365811	1.90501196834853	3.16081169996527	2.37223362276352	3.95190735865551	2.84303095269997	2.8980792409511102	3.0589869644356096	2.84983683713859	2.63103355759973	3.12341392090596	2.9001505468973	2.77941165986155	2.46265335377871	2.82616033285617	3.15319796497493	0.6825868249890861	2.58055264294358	3.9241091539956403	3.90965429390899	2.63895288730998	4.73818981831582	2.08715832346786	3.3602265938835494	2.66923250659516	3.63288809580933	3.27402072974559	3.09285835581057	3.4132418274695295	2.4753237276673703	3.5810422526729	2.48489558873628	3.30524881410881	3.58556140440827	2.5957629457196703	2.7910241163380096	2.7724217481516997	2.3311600698769	2.15819558026131	2.8614462457819503	3.0397425693563505	2.4343325414776	3.0360575754137997	2.27494618688783	1.9861881122678602	2.24025496296227	2.33594283778435	2.87253972330273	1.304333939346	2.11580154899482	2.9870606064434506	2.16493239566922	2.13808871397422	1.89347872870058	3.66525206312399	1.26581469775307	2.6832458362145	3.08981675607487	2.83856471994626	4.86286195809146	2.47631233174103	2.6358406336842597	3.25130379000802	5.20347053074104	4.16980678691367	3.5283186672682403	5.69475169807857	2.95290133625288	3.70633786779036	3.9982556987376805	2.6957293232673596	6.0749933995318495	3.2900490489301495	3.61965252046498	2.4370877703928797	5.20318461520792	4.34843575295011	2.63962783995852	3.86706216897708	3.86952214366217	5.01511279016455	3.59340258661402	2.83052536662022	3.3492055766794504	2.58704147227515	4.0636353785734505	3.3342919275824703	2.5998675779141096
hsa-let-7a-5p|+3|0	3.21805389940007	5.57471189237736	4.63746160510791	2.85011084240506	2.23571254057429	7.64756244379776	3.8113870931223	6.39493145187373	7.2504252471073904	3.3585873608305095	3.0852021616137497	0.6483554831677191	4.3894834558343305	2.4473087995180602	3.63232389298041	4.34787811729765	4.55400804696811	3.48553108279587	4.2792899928760395	4.3763143351432	3.04844079197241	4.47975614800922	1.3614844250393798	6.867216856731441	4.32195413324385	4.93761451573624	3.6752399479242497	1.71682083441183	2.34815374695971	5.13441652871059	3.27060072651061	5.418668351002071	3.97127932363442	5.26128320831554	6.52736177747174	5.87017106545743	6.1706395520779695	5.75738845589628	6.1098404379138	4.84334112600438	4.08604570484392	4.9410580778951605	6.0667327784822405	5.20959258739215	5.31163384815451	4.07306414115466	4.62380694192649	4.3255010422871205	4.36357299220118	3.0397425693563505	3.7482517080083704	1.7658833898327801	2.63486075315966	5.64488596525242	3.6721383276637	3.7165985425922994	4.01582565438536	1.8367197257324601	1.19954683286998	3.1997994524899305	1.66802099912907	1.9693129031052898	1.60239750925161	2.82964451054104	0.0	3.2869137067288303	3.4913657037537797	1.8843919283908301	4.07470336755608	5.32459857475148	4.91492076288555	2.2305039036587404	3.01763546603673	3.9745634783931805	3.00455882771811	3.4868144263074905	3.3205899349237598	5.7876323851553	6.428511479927519	1.67424588155429	4.33328881614801	3.2067391469022204	1.9347090211547802	1.6815559897085401	2.59722499653116	4.08170219375367	0.997484618276132	3.64391969889355	3.4728172961859305	5.513233544584169	3.78258897533096	3.6097282692893398	4.78939166268087	4.437007381013981	4.30846979700482	2.7278570086649103	3.64091805012586
hsa-let-7a-5p|-1|-1	6.26925742327154	6.194011236869559	6.85578313968908	5.95282503140632	5.0777235874557105	6.6922904937797805	5.48732782679375	7.6268908508474	7.44429825612767	6.374930748262099	4.440499034476719	5.327301374599741	5.740113748097639	5.020422968565129	5.52753625447172	4.51762936501764	5.51527784727336	4.85506018794449	4.75346984208558	5.27083055323767	6.00077001454461	5.42095923500682	4.58218585496337	6.12289562189134	6.7659751448306595	5.497168396204519	6.51689991311815	6.03334750803815	6.99162229917876	4.22884793116157	5.1432213538277	5.88878648356894	7.75321442815754	5.87674899250537	5.33540967521498	6.54203645252339	5.453786154950769	6.52113517190202	4.88720664888836	6.030369972878409	4.72236412702304	4.40743140134026	6.30933416838919	6.2990283636045	4.9141132982271305	4.10833933389954	6.03962924327402	4.1253139585103	5.53726199135221	5.75413700305689	6.654829498938541	6.63566286555686	5.87949033921329	6.34518479267015	5.78536595412303	5.282127159322781	7.084183827204231	4.89040231770813	5.97429825706961	5.049777469763099	4.6907934176642305	5.149902366699269	4.08341659074272	7.51733280927765	5.28262512772919	4.33550140090604	5.568319155569379	4.803212986992451	4.75151050902916	6.513833424232369	5.9324711624234805	5.585397024337009	5.026262006545441	5.84368476932175	5.820179574820799	5.20678372940242	5.163461473672441	6.68182307993858	4.47197836779017	5.563645125032541	6.8022731396278795	5.8869680155483195	5.89297468042915	5.69426615293398	5.20318461520792	6.4347436574283	5.54196719115741	6.08560082916628	7.01411287177812	5.88280784121831	7.1775346867696	5.684678039269179	7.352693738274111	5.0136443808413	6.6873562538026	5.15435603783384	4.7631601573795805
hsa-let-7a-5p|-1|-2	4.88143662935145	5.8633002912463095	6.30073366758116	4.65878221362472	4.16527820894546	6.14086785097346	5.73218052507432	6.5985909440799295	6.38383043129048	5.15846204301478	2.90467013677636	4.21636146334489	3.80698603450366	4.703412185849889	4.10019370144809	3.7567558137256802	4.47691493109524	3.9667944092989904	4.31395721030085	4.65006012891509	4.96831605706839	4.54162309541008	2.60901175453551	6.0652263543085	5.53616047600567	3.8987255535817997	5.467609095568969	4.46214625012363	5.52384249114763	3.9364385530629598	3.41940718459351	5.37092132245585	6.639965543566519	4.958390429106831	5.4017816111467	6.0154133260836105	4.63093031462268	5.399148042760951	4.253101464697839	4.81403634682326	3.7051174880052797	3.8252147524692295	5.07003200899087	4.923778124399719	4.1207827901377305	3.6627840122717594	4.654927491694361	4.0137378466442994	3.8787267021244403	4.50273344462821	5.07252930907761	3.9453202670932104	4.84304841031846	4.626153159239849	4.45392681620157	4.00818315276879	5.540071759985451	4.070324118861279	4.14335570885898	4.44531014152793	3.2134372853814	3.81978783554075	3.24569532906246	5.678070706432179	3.99844068454575	4.07483311824673	4.55714292244961	4.253586539791129	4.248816984038701	5.17221328033411	4.97817647808616	4.52455484008155	4.007561768338721	4.34174940424489	5.587054111682769	3.8392325964378102	4.44566450698871	5.96149349347911	5.08254891463983	4.921800238086281	5.414032992248879	4.7140631745087305	4.34999166112462	4.94506702940972	4.2509658051624	5.567463848687919	4.91399481315558	4.8243848126639195	5.26060750216183	5.94658387450899	6.40069725441063	5.25510157015258	6.08944231309078	3.88496847986946	5.452305279142459	4.7527589620352	3.84104212155864
hsa-let-7a-5p|-1|0	6.254386331765059	4.70024629154842	6.376286395292669	6.03625309823681	4.726559206628269	5.679224712766629	3.2168679821656903	7.234445915301911	6.37500460858183	6.74765088302351	4.56740121806357	5.58774254408685	5.55310335476135	4.54039239058537	4.90574638953987	4.18678215091232	5.24465203351037	3.79305208075055	4.05172785325	5.03660063429434	5.28474090257328	4.95933948825997	4.3658799406705295	5.481983742924481	5.98708792095937	5.9566728269409905	5.946871578283969	5.86239714882874	5.93561936601891	2.8185219890826203	4.9850396883356	3.8996326605570095	6.70621649840506	5.43281000422859	4.801365102992941	5.15759098945201	4.53309581214417	5.78019465606722	4.485506857501941	4.444958948923509	4.503093944540249	4.20662184460782	6.6866086986242195	5.80239961218056	4.62555320647854	4.1764030838258	6.3512389756171395	4.501264910566599	5.82831022433893	5.47055829643191	6.67326160602252	6.326018061139241	5.614634699518139	6.297691915026911	5.66832027206907	5.32249737702783	6.77410948568821	4.16200964305834	5.70905042701596	5.15554070751567	4.6907934176642305	5.3861701854018795	4.194562866199529	7.02626019941558	4.63683940481921	3.40524726842149	4.752590185999	4.542562505205789	4.07470336755608	6.13342675281426	5.12913857268469	5.37436930014999	4.82419804122962	5.615194168430519	4.79161687554546	4.753782073957559	5.14066226484262	6.718181743884059	3.82311306772277	4.868680961102441	6.8252039723771905	6.22533478642143	5.99089091397071	5.26796771270356	5.5153635959999505	6.37223934612651	5.03951180158935	5.8179235892747405	7.8704706399131705	3.8414581922225803	6.3822010403750005	5.469324794131991	6.85941886763479	4.35110023655856	6.09312809508169	4.124448581180729	3.8911255725659197
hsa-let-7a-5p|0|+1	10.5781662045619	8.76706418115508	8.85243659541131	10.4195932927843	9.32633093104775	8.698661819663299	6.81282865999357	7.6866483529568	8.96023663493333	10.084494913631001	9.52002264677897	9.87305225342376	10.6009758467739	8.80667733167317	9.488402754584289	9.83727638346017	9.836156233379919	8.39168462838712	8.545356047602429	8.19091836742359	8.05345183313241	9.93200917023305	10.141926697708199	9.38993785513507	9.309311766628712	9.47918958462919	11.1017773895898	10.6850542492137	9.85808573344278	7.75074422162679	11.0430363624341	8.63693924306566	9.73537989830094	7.465153375607589	7.74261954064243	9.984503984039039	8.43087944366085	7.68623672812626	7.94595895991789	8.78036739567362	8.933803674512099	9.30899848516371	8.98769737239249	9.33455138526362	9.25797937380159	8.51550385941732	10.063816282315699	8.64136420266593	9.09449618382681	10.337617796048699	9.81902426230783	10.189576721721	9.90666797098908	10.107845484438302	10.733091652283901	9.464743459648151	9.97640691029387	8.42391156172363	10.682733242231901	9.658529903117689	9.71329505923411	9.13018613128895	8.711344186027041	10.9172461300782	7.40561423879845	8.48583098916375	9.08759172339785	7.92873817820856	8.25624768428915	9.674177395007481	9.53371213061303	10.1515787471024	8.87496250372427	10.8124078607705	9.33835620345601	10.198897618326802	9.94633413129742	8.86043009177287	7.6990954286248305	9.45535601591004	9.68431978508255	9.971553306007278	9.54047497741228	8.86334597500938	8.49905305158758	10.00642864232	8.931613075997118	10.323386987489199	10.2782809247388	8.2047382089652	11.203769786152199	9.99275380179795	9.744529507521811	9.309691281639221	9.003123406072051	7.20628272948982	9.03324844041
hsa-let-7a-5p|0|+2	4.50792127950499	2.4446206291057404	3.35720338222902	4.75524600647679	3.58570682467511	3.2773220436416604	0.0	2.31023399425767	3.02330159168533	4.57366394176702	4.37260065214333	4.72966826582289	5.14354376283229	2.6528532336164905	2.74421261808962	3.8379268377233497	4.30914745081691	2.84983683713859	3.09692331478986	1.2906982029074199	2.54813625592283	4.02244592880368	4.61720524225183	3.06216018620408	2.44404226489048	4.0112609169939795	5.48958884844476	4.85313598698219	4.46225806677426	2.23731768673205	4.73818981831582	3.22571241500216	3.44544831745017	1.5371754486677098	2.26356820758163	3.7955769488048396	2.81864925205152	1.77118819545104	2.2276857730724	2.87765955682362	2.69459855241609	3.39201732515867	3.53377687300404	3.6662370633791	3.6828450062550497	3.01477813832217	4.207301400051279	3.2056991302895295	3.75860910725102	5.21401658228519	4.50884595949823	5.426747157603871	4.682820564985531	4.3516863871285	5.36153294708792	4.33197888571912	4.58981705214913	3.79283943203846	5.21418954854541	4.314413674050759	4.16885974407205	3.28502446559755	2.68495337562988	4.83911593927843	2.2466145177665497	2.6832458362145	2.83748312038126	2.48923734084106	2.59533201932275	3.44092857106655	3.9708817225081496	4.7545074537986105	3.4036534499087403	5.0397586875013	3.91175283358566	4.34044133603526	3.8565966695717204	2.57978814184713	1.9719782716976002	3.67575339893676	3.4204525090832996	4.87111953404302	3.7305266079365405	2.57710463528165	3.23552683427813	4.290463265580589	3.3530088569945002	3.9530515844354097	4.92738096944183	1.87459103470622	4.78658231773216	4.06976854656762	3.69467222922832	3.37729360094189	2.55994976513332	0.518706234636703	2.67802616932931
hsa-let-7a-5p|0|-1	14.7248274879235	14.6897877179095	13.842728146380502	13.985146728247699	13.4007813274836	14.3469586267165	15.9311895024445	14.4507999297176	15.209788680541301	13.705671295763302	12.4094786137123	13.175394360180002	13.746686802253802	13.894837827655499	13.950425078861198	13.6887967181024	13.238603608406699	12.7041665664847	12.9271842949776	12.381554393506	12.9486087036534	13.8970138332553	13.2029717602572	14.0158991649191	13.5247758038113	11.775549453489498	15.1090313517099	14.8028027294732	14.236698998229	14.3121914638861	14.6123968486595	14.3399523940272	14.5069639972962	12.6405044748034	13.5284339225244	15.006827134565402	13.7623289196786	13.0137915001275	12.964514291322	13.9405194390204	12.7537736267067	13.520950174832699	12.947025348336199	12.984966276163599	13.3588820127586	12.960650145464099	13.5352142546119	12.6076709422506	12.3565875217666	13.7092847637915	13.1964978193783	13.8478840302903	13.8388384928107	13.853108194107199	13.745140657304098	12.775168858524001	13.488476850573198	12.6174568691997	13.9633042106484	13.666357286318199	13.177620809174499	12.3394059610733	12.435902252744699	14.378106444663201	12.5377835682768	12.8339970613475	12.9342524959829	12.325061155136199	12.6252681265294	14.2228719429344	13.9437074364692	13.5646885798458	13.0671395409133	13.7915926370896	14.2242561257157	13.9523070471632	14.0194442905951	13.2144698117622	14.0639393425687	14.305488245142698	13.241542866079	12.9014362289615	12.715380201557	13.4579878270734	12.6549667043172	14.022348369056301	13.1660248780089	14.201701695730698	13.1947466135247	14.8097850485896	15.285700711902198	13.8399738755413	13.3625411879413	13.2025306413923	13.2560066259111	12.8745113939713	13.4561381588134
hsa-let-7a-5p|0|-2	12.735734619221699	13.3021283798185	13.0365153044283	11.9344425966476	11.9939052005593	13.501042384913399	16.820650535804802	12.3398952008562	14.0006094366325	12.4700096880315	11.1787463103912	12.203674372501302	11.8547076837236	12.8884588581245	12.595178139850098	11.9943332035955	11.541460751426001	11.729284435202999	12.016646109849301	10.963705790310499	12.243103106433	12.7237407519611	11.5161390483379	13.413421420678501	11.9129264558701	10.8546666385491	13.8614984746533	12.5944266351719	12.482993199723198	13.673587129892098	12.5442027795211	13.6197377428777	13.246931433752598	11.643579491839	13.2096661773288	13.678047629295499	12.7846909741451	11.748274878696302	11.6597258552548	12.3941509071423	11.2540166130703	12.445467546745801	10.8650177306831	11.528556710919199	12.483401103529001	13.104074635422801	11.923394103266402	11.980429709433999	10.848636693900499	11.834173388963	12.191985057210697	12.128423632342999	13.06997426365	12.506181090116801	12.0279821791824	11.219335332200599	12.0082594095796	12.392034645022	11.8431792302687	12.805002740617399	11.5186724774741	10.259894593269198	10.6753142184957	11.8786125472213	11.2943573103682	11.942823031750601	11.898620673666699	11.6817684868312	11.722191613965002	12.450201874586199	13.083729120692198	12.2777231757337	11.8174284468747	11.440048369562302	13.341742865667902	12.4044766374069	12.3899919146188	11.214010348295698	14.1765708740669	13.9825772973266	11.1224863074134	11.8815666110953	10.368556659265	12.8734431831542	11.1879569168249	12.6418474118583	12.4334327536882	11.8471212730058	11.1090753435092	13.408895398027502	13.9593273310491	12.1493329657688	11.949011120278302	12.4492864995398	11.4092819993109	12.5680092939709	12.2146197125548
