	TCGA-2G-AAEW-01A	TCGA-2G-AAEX-01A	TCGA-2G-AAF1-01A	TCGA-2G-AAF4-01A	TCGA-2G-AAF6-01A	TCGA-2G-AAF8-01A	TCGA-2G-AAFE-01A	TCGA-2G-AAFG-01A	TCGA-2G-AAFH-01A	TCGA-2G-AAFI-01A	TCGA-2G-AAFJ-01A	TCGA-2G-AAFL-01A	TCGA-2G-AAFM-01A	TCGA-2G-AAFN-01A	TCGA-2G-AAFO-01A	TCGA-2G-AAFV-01A	TCGA-2G-AAFY-01A	TCGA-2G-AAFZ-01A	TCGA-2G-AAG0-01A	TCGA-2G-AAG3-01A	TCGA-2G-AAG5-01A	TCGA-2G-AAG6-01A	TCGA-2G-AAG7-01A	TCGA-2G-AAG8-01A	TCGA-2G-AAG9-01A	TCGA-2G-AAGA-01A	TCGA-2G-AAGC-01A	TCGA-2G-AAGE-01A	TCGA-2G-AAGF-01A	TCGA-2G-AAGG-01A	TCGA-2G-AAGI-01A	TCGA-2G-AAGJ-01A	TCGA-2G-AAGK-01A	TCGA-2G-AAGM-01A	TCGA-2G-AAGN-01A	TCGA-2G-AAGO-01A	TCGA-2G-AAGP-01A	TCGA-2G-AAGS-01A	TCGA-2G-AAGT-01A	TCGA-2G-AAGV-01A	TCGA-2G-AAGW-01A	TCGA-2G-AAGX-01A	TCGA-2G-AAGY-01A	TCGA-2G-AAGZ-01A	TCGA-2G-AAH0-01A	TCGA-2G-AAH2-01A	TCGA-2G-AAH3-01A	TCGA-2G-AAH4-01A	TCGA-2G-AAH8-01A	TCGA-2G-AAHA-01A	TCGA-2G-AAHC-01A	TCGA-2G-AAHG-01A	TCGA-2G-AAHL-01A	TCGA-2G-AAHN-01A	TCGA-2G-AAHP-01A	TCGA-2G-AAHT-01A	TCGA-2G-AAKD-01A	TCGA-2G-AAKG-01A	TCGA-2G-AAKH-01A	TCGA-2G-AAKL-01A	TCGA-2G-AAKM-01A	TCGA-2G-AAL5-01A	TCGA-2G-AAL7-01A	TCGA-2G-AALP-01A	TCGA-2X-A9D5-01A	TCGA-2X-A9D6-01A	TCGA-4K-AA1G-01A	TCGA-4K-AA1H-01A	TCGA-4K-AA1I-01A	TCGA-4K-AAAL-01A	TCGA-S6-A8JW-01A	TCGA-S6-A8JX-01A	TCGA-S6-A8JY-01A	TCGA-SB-A6J6-01A	TCGA-SB-A76C-01A	TCGA-SN-A6IS-01A	TCGA-SN-A84W-01A	TCGA-SN-A84X-01A	TCGA-SN-A84Y-01A	TCGA-SO-A8JP-01A	TCGA-VF-A8A8-01A	TCGA-VF-A8A9-01A	TCGA-VF-A8AA-01A	TCGA-VF-A8AB-01A	TCGA-VF-A8AC-01A	TCGA-VF-A8AD-01A	TCGA-VF-A8AE-01A	TCGA-W4-A7U2-01A	TCGA-W4-A7U3-01A	TCGA-W4-A7U4-01A	TCGA-WZ-A7V3-01A	TCGA-WZ-A7V4-01A	TCGA-WZ-A7V5-01A	TCGA-WZ-A8D5-01A	TCGA-X3-A8G4-01A	TCGA-XE-A8H1-01A	TCGA-XE-A8H4-01A	TCGA-XE-A8H5-01A	TCGA-XE-A9SE-01A	TCGA-XE-AANI-01A	TCGA-XE-AANJ-01A	TCGA-XE-AANR-01A	TCGA-XE-AANV-01A	TCGA-XE-AAO3-01A	TCGA-XE-AAO4-01A	TCGA-XE-AAO6-01A	TCGA-XE-AAOB-01A	TCGA-XE-AAOC-01A	TCGA-XE-AAOD-01A	TCGA-XE-AAOF-01A	TCGA-XE-AAOJ-01A	TCGA-XE-AAOL-01A	TCGA-XY-A89B-01A	TCGA-XY-A8S2-01A	TCGA-XY-A8S3-01B	TCGA-XY-A9T9-01A	TCGA-YU-A90P-01A	TCGA-YU-A90Q-01A	TCGA-YU-A90S-01A	TCGA-YU-A90W-01A	TCGA-YU-A90Y-01A	TCGA-YU-A912-01A	TCGA-YU-A94D-01A	TCGA-YU-A94I-01A	TCGA-YU-AA4L-01A	TCGA-YU-AA61-01A	TCGA-ZM-AA05-01A	TCGA-ZM-AA06-01A	TCGA-ZM-AA0B-01A	TCGA-ZM-AA0D-01A	TCGA-ZM-AA0E-01A	TCGA-ZM-AA0F-01A	TCGA-ZM-AA0H-01A	TCGA-ZM-AA0N-01A
hsa-let-7a-3p|0|+1	0.936206753735503	1.56105241460269	2.20449550919319	1.3474984750756	2.5788514854313	1.5923773909746999	2.7612766641147797	1.58210066587015	2.0995074801058604	0.43982150448706003	4.077487129083029	3.3928611604973797	1.8477514791143301	1.93511334344476	3.09831463773538	3.50917876866669	2.76956318368541	2.9992895566982205	2.01533136045949	3.42023338553666	4.045505190055089	3.7360132611692705	2.62876348057239	2.9486458565087497	1.9317392300244298	3.60053617151238	2.5609646404557798	2.81975327408836	2.79912238932024	3.92843971001616	3.59868863334145	2.9279717023991205	1.11907862493922	2.7942608786001197	2.5201663192455097	2.31983918953767	3.97676160138067	2.2133612369079705	0.9247521225223531	4.0563402944471	2.4608542538642597	4.28714094325786	3.85502989106166	4.02668360366328	1.8663665637985802	3.06251184428052	2.3479285287934903	3.13728664466021	0.3760334956180921	1.2715339394462	2.13495862972322	2.29505900486485	1.84862574669678	2.5234992252057	1.16857501428229	1.50931555768157	2.06990652004999	2.35183538377959	2.70476194579942	2.97178584399786	2.83904328184954	2.50087167653059	2.6775915181371404	0.980691063279915	1.87714465987421	2.29122970736755	0.9971573086766529	2.14214269304718	1.40040444165627	3.3693722210274903	1.0650176854029398	2.7247876876388997	2.01355131362922	2.2440152896867795	1.77223306740033	2.34971355467971	3.80187193338538	4.18797491893851	0.957564672665468	2.38161957878966	3.2486841924016403	2.9399473149182795	2.8587417772727	3.3993543106082402	2.83905749943768	2.58282341135084	2.09714510116179	1.24978689506598	3.31545239898826	0.773475910504227	1.4903972894636002	3.0401502152687003	2.7369758178804906	2.92477091242967	2.97852349011864	3.2282922346716805	1.377968956302	0.48778969098358793	1.80499160213983	4.7520511910881	2.66866824559545	3.50915023698471	3.91726933860752	1.2663987738563	2.68221721262834	2.6792697401320296	3.83573759437643	4.41653206363744	3.9009288303355896	1.8113420664809599	3.76072817563626	1.20381436551922	3.0526057718845703	2.76601847840007	1.73112708546305	1.8087445706054601	1.6463006618008	1.22203118406435	2.9393269704134304	2.42505520357312	2.4692974631876603	0.915691328215586	2.06593219699375	2.04464120695857	1.90032085665273	2.9226312564130197	2.26244838324796	1.8332461537770102	2.0459413535802797	2.5329455381924904	2.2073164826357403	2.8797073407647003	1.88730391301667	2.8336458392353303
hsa-let-7a-3p|0|0	2.17047429477614	2.3729660914137503	2.62197091886812	2.96286407488698	3.19224435238486	3.04538192750691	2.89916688546215	2.3184932112017202	2.3524868411628703	1.2784284788807	2.95127654807195	4.0184857802149	3.59064961262942	2.89821684196724	4.077650794042371	2.9368998459269	3.28222053148686	2.07263000154574	2.9846449513596602	3.19893024052698	3.4021318609835802	2.52258163197521	2.7261852064777403	2.81000026887366	2.4481922522304402	2.95337698202002	2.4840626736967595	2.81975327408836	2.494591538776	3.46589227459812	2.4778164776794602	3.13951652884291	2.17512415330666	1.7307681132186499	3.2845548450990294	2.4364435171711	3.96183783842358	1.72892238164759	2.10231530477002	2.9352496404918598	2.3233191312342703	3.43013961611108	2.95143578240665	4.717939125689	2.80500620433922	3.2367612221071695	3.27697614451478	2.15441260430248	0.3760334956180921	2.7348124907597597	3.0811588813982302	2.6040862286552797	3.0989925261672	3.13058909119802	1.8056189921435901	1.9146120807332399	2.49061949700334	2.65019318268283	3.2298135729301	3.3284440992098703	3.18575261872231	1.71297242294972	3.34715223094378	2.0294410355308403	2.7320517468223704	2.64831415814065	2.6956257233951604	3.30838045276045	2.752565587013	3.11887314610846	2.42459485408757	0.48620902900315205	2.50962069283918	2.53726872404327	1.87082035305479	2.72393775850511	2.15702615736598	3.74985347708192	0.957564672665468	2.60828545166649	1.90751080495281	3.34717238848369	3.53996539098741	3.76549654217642	3.89238421474778	3.4221698436178305	3.4912994192846503	1.90924540786833	3.26717390826073	1.9401791917676499	3.1639042447355896	3.8036275634030803	3.21445440029483	3.7222509710483	2.43600307881652	3.6925946808790697	3.5653311698011696	1.7713653948470602	2.27940676102464	4.11542378268747	3.0012913934616603	2.99701837269943	3.58172741594094	2.38316789275098	3.6488773802527796	2.97209221456364	4.4220184258279005	3.57084046824269	4.38912284761374	2.52817217911413	3.61363703081011	1.5170804687691297	3.6500440536838	2.12732491338418	2.09596210844344	2.3494865639574303	2.5343539228910297	2.05841322362958	3.1787121160377003	2.66487343658463	2.8295445313102996	1.8716144211667902	2.13035993823534	1.84990138943265	2.40453660205597	3.5908203092357005	3.18123895650797	2.0271736759376298	2.8226829718009196	2.9785730105759103	3.2230342948961197	3.0505191297913	3.5947730731404604	2.76499381378326
hsa-let-7a-5p|+3|0	1.9032201620454698	2.52039465826876	2.40506310816179	2.49418908778763	3.1190370675005	2.07886038402866	2.5680237090268703	2.62866692015426	1.95416902641639	1.9454174100197	3.52934831609329	3.5310636816701098	3.18952197110982	1.93511334344476	3.18085687782038	2.7496566365383703	2.21315559162116	2.91815866683902	2.3643435518465696	3.0073736170967997	3.3091118575085403	3.3806793628264997	1.3289967020454299	2.65660009069071	1.9317392300244298	3.07384763016707	2.31674810739849	2.76233668289925	2.5769592849346097	2.8865606736497598	2.18007744129396	3.13951652884291	0.0	2.49520641748366	2.4254962274043996	1.81629115705329	3.2115282317857097	1.5773033168584698	2.37638417488001	2.59651258246169	0.0	3.6405533301347797	2.6870510675115495	3.7645746706186802	2.0714921294744597	2.48450211859031	1.9307421346274998	1.8306379954452399	0.9209081286741129	2.18124662158701	2.8742444134512297	2.04481112962789	1.6454973283496601	2.21458334438129	1.4135186748678503	2.42922229379645	2.66243137360261	1.90168303710261	2.09451190558388	2.36623373608012	2.46873907157368	2.03803182254179	2.6775915181371404	1.39086067679717	1.4762859271213702	2.48079168616588	1.8032922176907	3.50981703303146	2.00224123702416	3.20729455588449	1.4581262248654698	2.07247425774999	1.5524327255346297	2.16033883759094	1.9630994063095701	1.84306908553347	3.26214127645796	2.52948138016562	1.17379171218126	1.3513456409843	2.00063430191297	2.85931724061023	2.58569792992395	3.19042521324573	2.9864045538139097	2.8159586854533702	2.35000871954496	1.55055009456469	3.01768065987857	0.773475910504227	2.6009969693988397	2.3924414077768303	2.42196669667877	2.4021205296616	1.99991164712432	3.16237128312549	2.74101652834746	1.5904698417555703	1.49263024948392	3.03240959744336	2.75928492931086	2.58827280349102	2.86202583518255	1.03857840877924	2.1807046223150803	1.4863395535695498	2.60415135854863	2.07882327527602	2.8403879034138297	1.7043043453653202	2.74274782304357	0.9493902546554509	3.57841199132694	2.06415708245693	1.32255861872161	2.14198542255909	2.28130290582434	1.8069033613328302	3.2567722611557	2.05535844318419	1.58836207470198	0.915691328215586	1.74777957620939	1.7416956016256397	1.5617493026091698	2.53106630438322	2.71773385496961	2.4890504360834598	1.9112154533754098	2.60567000823823	2.10552136287007	3.2910693342341	2.7404992098726497	2.6929109778642406
hsa-let-7a-5p|-1|-1	3.6166380076316202	3.7291699639842797	3.3857750503840602	3.4028819907438304	3.9087587802256603	2.64159045547381	4.12844886280858	4.2739115619442005	4.01756931484087	1.9454174100197	5.63784598952137	4.86242541084761	3.8725121251937096	2.54628525820879	4.626502707046	4.5383219753968795	4.1480934328944805	4.45865657222942	3.59269479484943	6.03784372804756	5.58761199729872	6.1381338363343705	4.35357647398695	4.250851035863089	4.00127311864226	5.06086362273197	4.218242181315279	4.508581052468901	3.96063241972807	4.89932059161014	4.47861908454022	4.25007896219001	3.00584773040675	4.2616294551406	3.48563988396267	3.32714971495731	5.00490323829471	3.7442387308479304	4.33377947281071	7.20478382975718	2.17127741599591	5.8598451993732095	4.52474534551162	4.7400344467596796	3.77331877626343	4.829101485158549	4.05282113506805	4.3437575983917895	2.3698194892529303	2.48441884732619	4.61586162247269	3.6243872777809503	3.73317302388735	4.23960616217829	3.4572218905542003	3.86984946905631	3.3052388076301895	3.32067514374951	3.9363856135923796	3.5553909516258995	5.04758874721249	4.552922514171719	3.2685228545869904	2.8732556967436005	3.75234261071546	4.14766773732155	3.08244254147102	4.42525983232741	3.87426888139297	4.714662307375759	2.48213094144454	3.56321915663407	3.48772863651371	3.5123021117171	2.60246342286266	3.3907121073034703	5.41382963828496	5.444523588624799	2.9833515390972	3.0555799305548703	2.70115532064701	4.3937935842892095	3.5006503704918996	4.89015577424607	3.7756583757493196	3.55707805896108	3.68761980756675	2.43557562824107	3.64004740718786	2.18488846824691	2.6845921315449797	3.07695060242198	3.51873978080333	3.79258319387498	3.53448133946546	4.35501080218297	3.99314964247455	2.43968775204024	2.9639471647771503	5.4317508885073	3.44525885357431	3.95458326135464	3.9384966081057398	2.2825611389231097	4.04862828548974	1.81659183764296	4.34214148370255	4.80767609800305	4.24027684265253	3.17488510746083	4.97108423510871	1.9925437732167	4.57309649830788	4.4322069339041	2.83609266171297	3.1272532685933196	3.89209431954971	3.41446455750901	5.09174004694503	4.31750768230774	4.33615004634923	2.18456320422905	3.6109830093708597	3.8363536667485696	4.27425333345231	4.26738477875161	4.31263352711259	2.9857052985799104	3.45161079282021	3.68023349539736	3.6600408908303703	4.82223130134566	4.06784243146473	3.78182044837818
hsa-let-7a-5p|-1|-2	3.40485551235421	3.2265240183348296	3.6652469395732004	3.484789537732	3.45276377079237	3.1141574998128503	3.0548395935098798	3.55678454000866	2.66428931922412	1.2784284788807	4.18217464378125	3.99956116291132	3.2887916379662996	1.93511334344476	4.14087595461205	3.47503465553742	3.74043166278539	2.83219203779605	3.8356599288829796	5.1705126322853605	4.28416107650612	5.0172743899176195	3.09784590582543	3.3499482197564197	3.69648145434027	3.75268007549231	3.3917304105973303	3.25394052124555	2.9302472645006503	3.6571261868769698	2.8750775427085604	3.13951652884291	3.2023510464900897	3.1513315720230097	3.0508317836002004	2.9881944938890297	4.14475215089219	2.61485855577132	3.3621939683154305	5.66864803057057	1.00086955487927	4.59280905753126	3.2355710129121804	3.84832469046434	3.3493404980898602	4.1077426766244605	3.07293003656685	2.51862204772764	1.8796744330372	4.13886595007654	3.53965951396708	2.77854732606902	3.0586101796058798	3.7386975874615596	3.01282040472589	3.0681545243976895	3.7483516630644305	2.4060457197270604	3.0276691406539	3.77739531167287	4.10421610931008	3.00758851843705	2.4109639213057004	2.13977614842856	3.39309787155543	3.85967234808429	3.51836672237645	3.8734870424616803	3.64134835987514	3.5493019294068198	2.73972212903875	2.2037754047014504	3.2571509050395298	2.66420215762465	2.41912914853236	2.72393775850511	3.8247796666259104	4.35823186848557	0.957564672665468	2.65979410889356	2.00063430191297	3.3172986708989103	2.7951711668157295	3.72172261177831	3.3551976604586202	3.23359369798558	3.9202021010486603	2.50726539997819	2.45354582494732	1.9401791917676499	2.08997063285043	2.44968649443622	2.99537907084467	2.9860846105427097	3.10225763011265	3.66905074353981	3.47601099736668	3.11163256138438	2.40824629085775	3.7310177986132995	3.0737089156443704	2.9308047057743596	3.0296507931438303	3.00504361445788	2.96936517058212	2.7582328895445096	3.1646081163471496	2.9544864079139304	3.3565930367573196	3.17488510746083	3.56107401365468	1.9234036552124099	3.8759812576569903	2.951985354607	2.26932154489757	3.20051327850636	3.16810009429093	3.0869050103997004	3.9517555940749802	3.31958850136727	3.29479546071209	2.0875987561740903	2.8573056382704105	3.1398404932485002	3.2614269222841297	3.4112004542664303	3.78852085584015	2.9382456625260898	2.2270257019754602	3.38203527300565	3.2708441958052403	3.7412627333129596	3.54295804797748	3.5154363793822
hsa-let-7a-5p|-1|0	3.00061794029783	3.3888481146119	2.9453597850056	3.0728920312364303	3.5111539358201895	2.73189656091741	3.22186806473384	3.97782997677271	3.32703828836716	2.2988933007553	5.761267597832379	4.54764115291413	2.70569015494579	2.44303440856234	4.0559446450743	4.21538115267793	3.57418043339322	5.05990830306476	2.4398346012961603	5.60212055432657	5.17377250160643	5.745945463931481	4.70379970940528	3.90410129054098	3.3762665532172598	4.475645226600809	4.664024761403669	4.13162309850919	4.23882565922895	4.6446684962648	4.4027163306399	3.94698197421434	2.29482371412016	4.60188724097274	3.11290703227255	2.86875921565366	4.70675099573304	3.9278484457439	3.6298464028460002	6.197688120760549	1.8085969829328201	5.70462938459926	4.82422345923457	3.94025868480318	3.3294903057835903	4.97680038662385	3.7303989529992596	4.81923115170859	1.62498158557729	2.7348124907597597	3.26208553691892	3.3201674295624604	3.41910184598645	3.61365835061908	3.15434642539203	3.0681545243976895	2.57908157956131	3.07512378002626	3.77340708943309	3.6980926502843703	4.66094254677974	5.140733595009969	2.25656038574575	2.59198749872191	3.68729612612727	3.20908938512126	4.38689793724208	3.66981334182317	3.06676099962605	4.33754893587209	2.42459485408757	2.7247876876388997	2.82283178843654	3.0369138359984795	2.20905839018178	3.26689867328556	5.536852975882661	5.02906917645688	2.5135272589232	2.70952696773525	3.5857377207502004	3.59138446120601	3.0341977179344397	4.829580662815901	3.45978925036543	3.31200591648435	3.4912994192846503	1.24978689506598	3.7018919584960095	2.18488846824691	1.9617942163763702	3.2799800816637896	2.9142805583348705	3.1557876470443396	3.8490654672531597	3.62077786953793	3.11099336237167	2.32853438577007	2.46859338449675	5.762453999871121	3.44525885357431	3.5971673859616	3.1066837676907997	2.38316789275098	3.17150017035762	1.81659183764296	4.13967891346775	5.10243618964097	3.6373724034899104	3.02726126149927	4.89526241081368	1.20381436551922	3.8457912924541895	4.09564166339848	2.992698164741	3.16434824122801	3.2511430642988395	2.77204981728047	4.50129709201261	3.9605412114572998	3.4978908482887996	1.8716144211667902	3.40937381586924	3.8098030814491097	4.359040222663681	3.75053264969558	3.6990626547372	3.3901867466338396	3.2147116255529795	3.6288158745128296	2.7362148870542997	4.66671703322356	3.50735107167637	3.55663718144083
hsa-let-7a-5p|0|+1	7.40028180902261	7.60905313016865	7.377927840690861	6.769895444003691	8.46841776024643	6.85147476663688	8.10437902032764	8.37682831136113	7.85683350324565	6.057110459174861	9.61112692304896	8.7529616290765	7.29129351846238	6.64740517139821	8.474760127352411	8.64934106562394	8.11078780351882	9.064661786816949	6.8170006356454005	9.55222829197259	9.1009666882528	9.34546279714283	7.2148555317694605	8.12415106058147	8.3008478842091	9.00657897457417	7.158087556414231	7.353405774962421	7.819098637551369	8.33351254013965	7.6744396930329595	8.922916791807099	6.686096255303731	7.63897678404132	7.1970978928604294	7.34333488846113	8.69123931335226	7.0238413002504805	7.473113798235491	9.8707910324811	5.8471984185295405	9.563583377302448	7.94588391796983	8.78110825026612	7.42295485551974	8.56946657608254	8.58884886321667	7.74572552068738	5.647656089362889	7.45075170591938	8.15504085752225	7.00001769965423	7.70168444307016	8.19763247891211	7.049249571264941	7.678318283748679	7.28168659244002	6.6311429239792	7.86052998610419	8.113757252678191	8.397812220697439	8.30299226417589	7.109630934534559	5.639022524024139	7.790596080850639	7.8360385915268	8.10807175663002	7.9637096576309405	7.285003734807381	8.773195105651821	6.01269782332255	6.76026728053913	6.69285951815045	7.38170476897469	6.0066246165562704	7.4934545390177	8.77941932290676	8.73667408564046	5.670373895917059	6.92041751136356	6.65904878609764	7.30036639431446	6.97457281735785	9.316707495004911	7.35861952495471	7.38387785713682	6.944021451866719	5.69244717160705	7.73455030154181	5.32250794297083	5.9994653212132	7.189235364885019	7.070236113164179	7.17730967609288	6.98254122970921	8.14634730382927	7.515173059195581	5.75763444094868	6.44568919673805	8.91064460868687	7.44733421492481	7.7671655641011705	7.62985421978788	5.756530328928781	7.3680834259034	6.60843933781256	7.06994758742072	7.92689323483207	7.94433902002112	6.67618051333551	8.124651955576121	4.8452631588683	8.956806523227868	7.56875318595508	6.633043897642831	6.994739493110339	7.47315135882069	6.98994949421965	9.25512110315256	8.04283768818829	8.41650029632503	6.2601326156057695	7.648439971540331	7.7419320518138495	7.67807815438118	8.79381423529555	8.29781156851815	7.08024286886726	7.0309887243804505	7.58647670347283	7.0516914807274995	9.25471438237795	8.07502209703689	7.63018213556445
hsa-let-7a-5p|0|+2	2.06943299234916	1.92094119069382	2.0926831946019	1.1607679613426598	2.87408053719281	1.5923773909746999	2.52606046618521	2.8838115242182796	2.0995074801058604	1.47621704184769	3.7222511236657296	2.87498814472919	1.97243940971707	1.1442557249716698	2.91755018221273	2.72080764140496	2.21315559162116	3.30609131056464	0.8717148295542979	3.44565376912076	2.90518429510121	3.11353224710914	1.66010652692045	2.43861518242178	2.8277150884136804	3.1305091811121804	1.96716172068683	1.9087109869689398	2.40723490592821	2.6963221268339597	1.84675251480739	2.9279717023991205	2.0445872445072704	2.26400594748595	2.21519644946863	1.81629115705329	2.80631424582971	1.65510372125718	2.92371188477853	3.81265397729687	1.58612179079775	3.56233031515844	2.03862823134508	2.7411944165706497	2.2510500792739703	3.2829115884549998	2.8859792510793	2.2349818886981803	0.9209081286741129	2.57280093566718	2.78238588800909	1.56260648748631	1.84862574669678	2.5234992252057	1.4135186748678503	2.29993117438168	2.06990652004999	1.46423492493077	1.69985645394656	2.36623373608012	2.6284330251280097	3.1987091944812405	1.65953539644714	1.09467221835072	2.7320517468223704	1.9921607931469398	3.1648674489986606	2.2808073623936402	1.24273243693126	2.87073876717161	0.90593342234991	1.13899645032926	1.8013371459195	1.22323202820383	1.1426822276608999	1.92727758913075	2.88006555426074	3.0826661057343	0.39397585369258004	1.6854596496729999	1.8079590254405502	1.8919030655019	0.7007791935888499	4.09207038769666	2.09427740244294	1.6329755004326698	1.40016044555767	0.351190238004103	2.3020433779737797	0.437964493738259	1.29144483882007	1.9118040338317002	1.66880233646115	1.57437249384455	1.46705081683348	2.53944626871468	2.29534714932835	0.48778969098358793	0.931310687765851	3.1500330210367	1.79623092095254	2.45327838846018	1.0838643643897	1.4631014496116799	1.93621369451242	1.81659183764296	1.67526584895991	2.00830254541531	1.97612373736571	1.39577358417959	2.7738751445397596	0.24636098071107604	3.5030366146701004	2.50570255209276	1.32255861872161	1.3746530864138302	1.92448683027755	1.9995258575284498	3.57890781620199	2.21477125758077	2.4230973001875	1.0244745169023601	1.8276708763096399	1.84990138943265	2.40453660205597	2.58858118265535	2.52295044882769	1.1901026480176202	1.83882052888476	2.1986955495900697	1.6064630399678401	3.5970668781746804	2.4341176334628503	1.99332877970409
hsa-let-7a-5p|0|-1	12.515366534839599	12.367650133340302	12.6835560211524	12.206292492209101	12.6594133242209	11.821274949282598	12.2288897431723	12.263955559985302	12.050923271080402	11.608564775178799	12.5239230265273	13.2863418541515	12.4014997197669	11.0839457147052	12.973107496733	12.7697963597268	12.5010255942758	12.2086606121712	12.146607101915	13.592395372995801	12.776397339193899	13.4944487604962	10.6608182178095	12.4853890103734	12.0937638104174	12.9804772517422	11.4642223693045	12.119913295418	11.774619393565303	12.4408687874703	11.261912814997599	12.8620382851946	11.1174514588887	11.2535891548412	11.960140109456301	11.9298952323509	12.942404609971199	10.7418586653991	11.4493502720219	13.6072276631617	10.9198555390465	13.2243094201966	11.4874506545226	13.6567129716512	12.0425197482538	12.466182742428801	12.3934746619709	10.766759471379302	10.8076589563224	12.2589009701811	12.530006836606601	11.6628778892799	12.121173120261801	12.331211942183302	11.878460591048698	12.018879503107	11.788691791861	11.5572161071054	12.264772649213299	12.5232630232249	12.237841988723199	11.4840048605005	12.015256969163598	10.372306990615598	12.0684070269416	12.3021833033515	11.830360919793401	13.086136928341698	12.015135164712902	13.067281073908598	11.8937251066691	11.1092975538796	11.755820103863499	12.2240824843832	11.695540017546302	11.936360446133401	12.327872592576098	12.716605885592001	10.1791397064606	11.7339986189955	10.400923950885401	12.420511264335302	11.965843512325401	12.2986967112715	12.2553424136185	12.0159446704163	12.4186600286091	11.162496714969699	11.3180495417309	10.4076978458626	10.9531643784111	11.5631169356577	11.8563876708299	11.6685469865873	11.1882165481788	12.6351550954078	12.4949565904426	11.291222407258699	11.263717658970199	11.9084539299379	11.256746794846	12.0810604278973	12.291015721405401	10.944420473182301	12.327953213461402	10.9628395890324	11.2203009166187	11.4600493772664	12.135595606412599	11.792714699150698	11.5739293393645	10.2194026707945	13.025841330260699	11.489628236187901	10.7214109670044	12.247024710078799	11.981249743553699	11.974917397393698	13.2888564673193	12.5842721181744	12.2994039328038	11.2423977005009	11.594110255457	11.856054323766301	11.298095846126401	12.8446422992233	12.472618391909098	11.751426950738699	11.7492193488748	12.2914831879621	11.4005843009541	12.8936584317749	12.312925850379	12.560836596227901
hsa-let-7a-5p|0|-2	12.2004050595465	12.1696546895876	12.639431382756	12.2795702506094	12.0608329437649	11.9703103571259	11.422028382697599	11.7621524386097	11.8958360058515	11.0961640815734	10.6302357470769	12.523035269275999	12.340442230713998	10.432937895987301	12.2608847637936	11.532381245361199	12.1809537379099	10.5344437065501	12.426679579377199	12.505411158851599	11.3434934007114	12.113672207227001	9.24758570242823	11.6718916101187	11.571947030260999	11.827681967630598	11.139408139968	11.188919992479802	11.091276499990899	11.418950513747498	10.2253645656275	11.9923033549912	11.145092260587099	9.62322377832783	11.752790740843198	11.179489789658598	12.1956290648441	9.699316138259801	10.6382447634838	12.323253358215899	10.579166276870401	11.5556781432614	10.407278642218	13.048902373078999	11.834787300019801	11.6379499035096	11.4722473213855	9.57813760582279	10.8721085659959	12.3804906722467	12.1195301738716	11.0309586687675	11.4810271018687	12.0218872348741	11.7300199408955	11.620790851419	11.694372377542601	11.3508316831826	11.6095639122209	11.711081158481901	11.076778497576301	10.303232532129801	11.809134622444198	10.0709865048527	11.6555752474141	11.9285266898244	11.4137446376152	12.7143922152283	12.216450188763002	12.136547531333001	11.817017589676302	10.4254294061625	11.333800355913901	11.9609634946692	11.664739578791302	11.242130568117199	10.2853095032639	11.783146435499498	9.718611336594199	11.0723830497681	9.168889472481778	12.0626816413228	11.685877313024198	11.1440475140179	11.9901971418987	11.870391726324902	12.6494444791053	11.5446082420345	10.4287324945219	10.3706871940885	11.080389445139401	11.1439428404976	11.9930229641484	11.2609919840318	10.8271315494418	11.904922405231199	12.2726354254825	11.6314919081469	11.2621201977603	10.072631872155	10.729595506924401	11.3691792667439	11.7633552712086	11.252500925332802	12.235761254179401	10.8563806405456	10.804044831432499	10.0059677683085	11.8402788704993	11.777273119286098	10.431804915292199	10.2508304667146	12.3043184373735	10.1568617766123	9.93219006298486	12.247024710078799	11.394088511666999	11.2443264291079	12.656326420473098	11.7351393475203	11.2683379729631	10.8950126230529	10.495630186718198	10.8094744188446	10.079073109251599	11.698071981428198	11.833765539909198	11.5506975985457	11.3236626249613	12.213460784219	11.375262598890801	11.951301904017901	11.975180824918402	12.077512923993002
