	TCGA-3G-AB0O-01A	TCGA-3G-AB0Q-01A	TCGA-3G-AB0T-01A	TCGA-3G-AB14-01A	TCGA-3G-AB19-01A	TCGA-3Q-A9WF-01A	TCGA-3S-A8YW-01A	TCGA-3S-AAYX-01A	TCGA-3T-AA9L-01A	TCGA-4V-A9QI-01A	TCGA-4V-A9QJ-01A	TCGA-4V-A9QL-01A	TCGA-4V-A9QM-01A	TCGA-4V-A9QN-01A	TCGA-4V-A9QQ-01A	TCGA-4V-A9QR-01A	TCGA-4V-A9QS-01A	TCGA-4V-A9QT-01A	TCGA-4V-A9QU-01A	TCGA-4V-A9QW-01A	TCGA-4V-A9QX-01A	TCGA-4X-A9F9-01A	TCGA-4X-A9FA-01A	TCGA-4X-A9FB-01A	TCGA-4X-A9FC-01A	TCGA-4X-A9FD-01A	TCGA-5G-A9ZZ-01A	TCGA-5K-AAAP-01A	TCGA-5U-AB0D-01A	TCGA-5U-AB0E-01A	TCGA-5U-AB0F-01A	TCGA-5V-A9RR-01A	TCGA-X7-A8D6-01A	TCGA-X7-A8D7-01A	TCGA-X7-A8D8-01A	TCGA-X7-A8D9-01A	TCGA-X7-A8DB-01A	TCGA-X7-A8DC-01A	TCGA-X7-A8DD-01A	TCGA-X7-A8DE-01A	TCGA-X7-A8DF-01A	TCGA-X7-A8DG-01A	TCGA-X7-A8DI-01A	TCGA-X7-A8DJ-01A	TCGA-X7-A8M0-01A	TCGA-X7-A8M1-01A	TCGA-X7-A8M3-01A	TCGA-X7-A8M4-01A	TCGA-X7-A8M5-01A	TCGA-X7-A8M6-01A	TCGA-X7-A8M7-01A	TCGA-X7-A8M8-01A	TCGA-XH-A853-01A	TCGA-XM-A8R8-01A	TCGA-XM-A8R9-01A	TCGA-XM-A8RB-01A	TCGA-XM-A8RC-01A	TCGA-XM-A8RD-01A	TCGA-XM-A8RE-01A	TCGA-XM-A8RF-01A	TCGA-XM-A8RG-01A	TCGA-XM-A8RH-01A	TCGA-XM-A8RI-01A	TCGA-XM-A8RL-01A	TCGA-XM-AAZ1-01A	TCGA-XM-AAZ2-01A	TCGA-XM-AAZ3-01A	TCGA-XU-A92O-01A	TCGA-XU-A92Q-01A	TCGA-XU-A92R-01A	TCGA-XU-A92T-01A	TCGA-XU-A92U-01A	TCGA-XU-A92V-01A	TCGA-XU-A92W-01A	TCGA-XU-A92X-01A	TCGA-XU-A92Y-01A	TCGA-XU-A92Z-01A	TCGA-XU-A930-01A	TCGA-XU-A931-01A	TCGA-XU-A932-01A	TCGA-XU-A933-01A	TCGA-XU-A936-01A	TCGA-XU-AAXV-01A	TCGA-XU-AAXW-01A	TCGA-XU-AAXX-01A	TCGA-XU-AAXY-01A	TCGA-XU-AAXZ-01A	TCGA-XU-AAY0-01A	TCGA-XU-AAY1-01A	TCGA-YT-A95D-01A	TCGA-YT-A95E-01A	TCGA-YT-A95F-01A	TCGA-YT-A95G-01A	TCGA-YT-A95H-01A	TCGA-ZB-A961-01A	TCGA-ZB-A962-01A	TCGA-ZB-A963-01A	TCGA-ZB-A964-01A	TCGA-ZB-A965-01A	TCGA-ZB-A966-01A	TCGA-ZB-A969-01A	TCGA-ZB-A96A-01A	TCGA-ZB-A96B-01A	TCGA-ZB-A96C-01A	TCGA-ZB-A96D-01A	TCGA-ZB-A96E-01A	TCGA-ZB-A96F-01A	TCGA-ZB-A96G-01A	TCGA-ZB-A96H-01A	TCGA-ZB-A96I-01A	TCGA-ZB-A96K-01A	TCGA-ZB-A96L-01A	TCGA-ZB-A96M-01A	TCGA-ZB-A96O-01A	TCGA-ZB-A96P-01A	TCGA-ZB-A96Q-01A	TCGA-ZB-A96R-01A	TCGA-ZB-A96V-01A	TCGA-ZC-AAA7-01A	TCGA-ZC-AAAA-01A	TCGA-ZC-AAAF-01A	TCGA-ZC-AAAH-01A	TCGA-ZL-A9V6-01A	TCGA-ZT-A8OM-01A
hsa-let-7a-2-3p|0|0	3.70039337599619	2.9430157579386003	5.16892287284658	5.05156053594779	1.55976751349184	3.7346662440927596	1.1503589295188201	4.937990275987491	2.01949306071295	4.98774010870056	3.7298134558363505	2.51576038681752	1.18595369392004	0.0	6.817069148538789	3.1237066558810898	5.06014115682138	5.98771305683904	3.45857821487679	1.27638812615648	0.612930258331418	4.4883051450040705	2.86365164477135	4.04248419430386	1.6919447855343401	5.39381735030576	1.51298658068936	3.08177153226083	1.2498666540043601	3.0660337704179197	2.8553226495565296	3.16008383567102	2.4492083660833197	4.4626228807734405	3.3755275522313397	4.24753887355115	5.1755138452999	2.28070329350859	1.21065648865918	2.71259507265549	1.3633491101212	4.47926877064634	3.1750441579208397	2.1416297050809	4.07483353786655	1.83227601699561	4.71778398343875	1.8895354151720198	3.43860322487832	5.650653393041611	4.04495318590668	3.25068747888376	2.57260887985962	1.74248112360762	2.91194167011075	5.31177224438548	6.411628712662821	3.36816401629466	1.6698638707021498	2.3619292616100096	2.3876022662559504	2.25743285048514	1.84788744205163	4.18387689529934	6.64954074272696	2.28838845406376	2.59413431344794	2.54426482330206	0.7468704922459308	2.13752211939623	1.52281069228883	1.55653757633583	3.7717820180527997	4.611444059123861	4.427735225747269	5.07505368885529	3.91419523399063	5.53572678187163	4.78921434812053	5.89241803236588	3.1438231012460798	1.6697355813376498	4.8328665197507	5.1536090478686605	4.97965381990985	5.73831235481773	2.94145144639907	2.97828087850582	1.2788735533429099	3.31155303839446	1.4362116353433503	2.5231086023772002	6.066677035722821	2.7721023729520695	2.3981969101113303	2.4144962859726204	3.03847002753658	1.8118801441024097	2.1340583298055904	1.68333151571612	2.5643658938460097	2.43956394058435	4.26125167916566	2.35238827524819	1.75706437016215	3.6282048018041597	4.29186146317892	2.2647984991624104	3.37994675573041	6.54365457309882	0.7632293879624058	2.1285915691736	2.6927183627736495	3.59881599006585	6.12638381303751	3.325354158539	4.7347076174220195	3.5907344232197302	2.10990833357212	6.22368483771093	2.7358698012587004	4.629263856599219	1.7258360037245102	3.1707776281579196
hsa-let-7a-3p|0|+1	2.98905134282084	6.32599282324943	4.22624609542184	4.02445844407395	4.26916970495099	3.3604045747861098	4.52070133508642	2.63446255167897	3.18148063261451	3.50935908837794	3.1201866321599	6.005937976187901	6.553719142169549	1.58294553918585	5.02787033714852	3.75903832625067	3.60457445988881	3.35920083299279	5.70378097888378	6.20042206478937	4.7935212955997	3.6735582171543104	5.5383724568058	2.55075927086068	5.69875543092963	4.98708495440207	4.30349034792514	5.79294588505427	5.05127940688969	4.18646749043791	3.2910157857241296	6.241666651115099	5.26261353482381	2.76409667848001	6.25290286085554	6.111600723371629	3.5105024603317796	5.27152616267092	5.29668591254713	4.4443263303921	5.606110438560929	3.36327254932563	5.60935219398412	5.39795743712575	4.82403150702843	5.945091655865361	2.71641278039854	5.26472761055089	4.897399985483809	2.7144443264181	3.12981014266883	4.73088850515697	5.379265559829121	3.0446714129957497	5.287993409025519	3.65914657222691	3.73984292771208	3.46048572923965	4.61452138239181	4.54729417737393	4.730269192735411	5.22481078258249	3.6813095110369503	2.8786703012565	5.01975583197458	5.9456856430996	6.08847436210971	6.02566064096374	5.818611573583911	5.66743540775753	6.243226939986339	6.005839669697091	5.990313328219581	5.04109249818387	4.18570413968348	3.1735936055013103	5.68307224907405	5.13886228439582	3.9144988792545004	3.6966590210274304	6.4839966297886695	5.956143967205071	3.2643187886242204	2.93718648203777	3.8001030124299597	4.05366544453483	3.08606312184587	5.73837234952901	5.560187829457769	6.1001433059616605	5.406384959008469	6.597110396251381	3.91974867086381	5.8139329436857405	2.22071182783362	6.10691727681633	4.65387664698411	6.4149405417372	6.29992497022526	6.025448270473059	4.7695642631372195	5.30106441073389	5.178577640310441	6.295599009917161	5.10579064934788	6.0775277932006295	4.688366980644219	3.7408290369308297	5.5696008586145	3.44888436995347	5.663390237849669	3.68767326560765	5.718963559831081	3.1984218576907004	2.8289901600192002	5.723626193307741	2.55269956693044	5.87140547718292	4.89453655662909	4.41662908026728	6.59992961046471	3.9399784732690195	5.4236969470385095	5.28633680236681
hsa-let-7a-3p|0|-1	2.9625387070826297	3.1669173979060297	3.1605849472700203	2.63482116943973	3.4249646186483504	3.01748785623317	4.93918662819824	3.38087623796729	2.9966626991613	2.68034096253517	4.07348560368062	3.14009594792121	3.64111094317163	4.4492387223149406	3.8209019567586	4.75714728828991	2.50170509152251	3.65952748164373	3.40723442783057	3.9281976184233396	2.9039423182107096	3.7121443783906503	3.13805169401245	4.14877322660599	3.1689834235034704	3.3175664157537996	4.31846328691212	3.8457450046154396	3.10098929000369	4.69239356247705	3.6740759655428397	3.1785348850276103	3.37116849362775	3.8597236566364996	3.40775703514534	3.4146657296108596	3.68390546581976	3.6710941672784	3.3506393958685297	3.20347281112518	4.35036161176412	3.49208815700886	3.5648475168049503	3.8302384536353906	3.35179220209415	3.49107532243994	3.30972703260206	3.33801275461897	4.4201027483316	2.7144443264181	4.00103749163073	3.64302473138894	3.10927109769202	4.05046524874165	4.07730063897656	3.2491194704242097	1.9816824485047502	4.555699010425349	3.37833403499129	3.64690694897699	3.4496074673997903	3.07803414504353	2.63214109465327	3.1538802185801695	4.58431756686699	3.1775526343002003	3.86439044250058	4.03369357643858	3.1918442586027096	4.1594283439761295	2.9531929220785695	3.50519347071186	3.67977112600733	3.2448813859138297	3.98964965041838	3.56072448763297	3.27872547557211	2.70083010250004	3.6704734474248797	4.26430076206809	2.91307003837554	3.54716075908841	3.17164468885014	4.18716352118536	3.33223775247549	3.3156681369434904	4.38149329473084	3.7049621162422204	3.2568546643698997	3.25760226863793	3.4081904961753797	3.2186786488770895	2.8191676434926496	4.29305782025349	5.50922106974859	3.05041715714158	2.4140585648137503	2.53921871697931	3.1913751207880097	3.88977010727264	2.4690723748201604	3.3337726048894	3.6797152003359104	3.25236686502813	3.08411578001674	3.13971877665659	2.99761600800159	3.28122228245224	2.67295552664865	2.61755188761083	2.67896514939825	1.83585592677529	2.16282913105175	3.6235762460256296	2.60600112032246	2.9492730236080495	3.00264036281242	3.21506959346306	3.23299089442365	3.6485700237527596	3.9563584975617303	3.57103203982508	3.24208884536286	3.39318527039292
hsa-let-7a-3p|0|0	4.103682904187	4.96725294122991	4.7932519776279	4.41311047997752	4.938779918747691	4.430850529864849	5.57757463284246	4.21970613632836	4.32055653397035	4.4301701985217	4.31086233683294	5.13196842903274	5.70451730782565	3.8825359345405204	4.92979954046868	5.02272281088634	4.33767211573954	4.5870986946072	5.06517845043875	5.561488880163321	4.43597065676335	4.7331009592001	4.91839185194959	4.41532577179146	4.8980168978531795	4.897827355311129	4.889183322587639	5.351257861200531	4.5969116449581	5.592533827941399	4.76671664414528	5.29272152226305	4.516074738117151	4.76885235478042	5.22271684740302	5.3861806269151	4.30110954526063	5.17208442872645	4.70939719011763	4.42823191606037	5.5426204348115595	3.8851741775912703	5.0900878226296	4.74458116111284	4.66999687337491	5.24978299743417	3.7799778554565098	4.58886685833746	5.49188563745147	4.18955209206936	4.639199712137191	4.46549552996574	5.04270000217544	4.1577934090743796	5.144530613791719	4.11446579235488	3.75493089759316	5.1341518686848495	4.8841987679843095	5.18882189064352	5.22281587425812	4.92713851928381	4.29190166146302	4.61645396259545	5.9269417699839195	5.10599736862041	5.78811794950542	5.42492767031567	5.25280305946446	5.89689163403373	4.59880827176975	5.35050239614131	5.25297281467114	4.86707634114433	5.15138895719099	4.55617659460222	5.27736456487283	4.50470829294444	5.02284916240138	5.31954837820535	5.34055407644908	5.275790620946	4.278931314558291	4.710110979305	4.490580244676731	4.434798943797549	4.94319693242175	5.005331247517639	4.821797250202191	5.047414161080001	5.007867321161809	5.422429773616019	4.56162289200513	5.169370200411151	4.73490659717481	5.090668573636719	4.369056387755379	5.23337748563719	5.2132784735305195	5.3989207999341104	4.22302978491083	5.13888834337682	4.92168703841353	5.453001846732321	4.33300207744862	5.142909448655621	4.774273133034099	5.10019505159545	4.93429888717742	5.03937140353146	4.903874832297411	3.9649452851333398	4.81562195636912	4.32808917208746	4.39323384671149	4.69755623516278	4.01565448299165	4.76761512682166	4.6748631965361	4.98255862851426	5.890912275017481	4.75354153298734	5.10693046734567	5.01215669294085
hsa-let-7a-5p|+1|0	3.0904826633240097	2.67786579010144	3.77363024823723	3.033433589609	2.24679588214798	3.4395805609959	2.2200430417202996	2.7246859159980397	3.11036867886706	3.36531836528103	3.7892082091316404	2.18245156714515	2.8827774628107203	2.84983574369065	2.8407729369526704	2.9545153216573596	3.24476085827061	2.39907278620209	3.08663454480722	2.1877026350055	3.32180688349962	2.95321214581513	2.9330678600098197	2.7947897412889398	2.23823629666229	3.35637277880777	3.3311336495186903	2.42101543611149	3.3487936796714104	2.56473232105603	3.2486148603284706	2.7554784800128798	3.1815131407058197	3.02591075419732	2.9633669127434303	3.22202614649898	3.04918795839727	2.82991392846151	2.99053699816321	3.27720779931431	3.38362202630506	2.7921975642562207	2.76351900413953	3.1174216083572697	2.16101892443288	2.7665734145005096	3.4840696567492997	3.52805641094076	2.3778082069925897	3.5149280815703396	2.75993510553033	3.25068747888376	3.3324039177721203	1.8316272766006898	2.41977339919681	2.8922543331632298	3.23683546496368	3.7800481660839598	2.97841634437425	2.9264807025008195	2.9199589248761098	2.88383800329189	3.0266670891092207	2.80966572268694	4.45685924835722	3.2634437305636697	2.5470762848263	2.3712934237865	2.8957702431102996	3.0110762682883596	3.0542689846283104	2.80450810230034	3.46030398822105	3.3892371285070197	2.82168270211751	3.2690424818309998	3.27872547557211	2.7991368507335603	3.036902030169	3.4360041517391604	3.08950194365905	2.3631624536432403	4.0993820604544196	3.0546463684267002	3.67613253266645	3.56761967785074	3.05124632188862	2.5859179728351	2.99170965275886	2.6092610434473	3.4081904961753797	3.52529927084409	3.57332504820432	2.2890527049491496	3.05701129270817	2.1199998854497	2.4140585648137503	2.6871705068576497	1.7538841719323601	2.98395551505347	2.16901925926422	2.5584007397806	2.73986763232457	2.5979808449561497	2.92097911974405	2.8391753282223	3.46189455777457	2.6761891543781404	2.42467795504387	3.1653215138006496	3.28037297629659	1.7694403932524698	3.2397615696891098	3.1309434516538297	3.13780055473633	2.77376720673124	3.95035437767762	3.2503928879234505	2.8462042148236604	2.92065660501903	2.98046199876867	2.94096352494451	1.63942095854778	2.9550317520240004
hsa-let-7a-5p|+3|-1	2.37646409188725	3.3770840748903197	2.44072601432789	2.7928006149859703	2.71028031173084	1.8509066844280702	2.90785577762977	2.2651057505717502	1.6698085043818403	2.0106514286009	2.15612978402595	3.1157588664571296	3.18203600607436	3.0562307038264303	2.8937581458081603	3.3679015447129204	2.2677236042759104	2.18972984252603	3.27026233557284	3.25306747943793	2.62323077072163	2.70799407867105	3.71244585975011	2.90289057503264	2.49767593855691	2.8583167972645898	2.8847949207495898	2.8524207732773705	1.81831466309535	3.0660337704179197	2.7376185814832596	3.43024532667057	2.4492083660833197	2.5429235558937298	3.18411611672015	2.90653506615691	2.47881725252418	3.1504123573264	2.2496007577486004	3.3473567864082003	3.2574809805931	1.89652109678442	2.45495813336345	3.0815215540301097	2.98997678767395	3.03046950629468	2.71641278039854	2.86087909396728	3.39956103994793	2.48279889234374	2.68789705223129	2.9810633055818303	3.20915233794315	2.14159987046032	2.47726626656456	2.4631962112033103	2.21779031839448	3.2695280352398504	1.74402326777342	3.0870885198216302	2.5035401896726803	3.21285110675875	1.73974191569696	1.6139983681278702	2.95634498651931	3.5292305983793395	4.01031420029874	3.8914448762373	3.50357345604343	3.81528247553559	3.32089124828057	3.1318992702775494	3.6661342541659803	3.08445891857886	2.11235777650008	2.13563672167313	2.3433146429749905	2.9776826992833	3.00713393960507	2.9610071454562203	2.7120155851276295	1.93961460104326	2.8028466715578597	2.2922062720536203	3.2555542094793903	2.9095745920853697	2.0133546531767	3.55946992441713	2.7454476970563597	3.8563504133679403	3.0780583370021803	3.56718198821428	3.01205779420477	2.8848640232310294	3.5076037869644505	2.7879261909643103	2.0865415095568003	2.98280882576828	3.13682497041497	2.82418548000126	2.81745315883307	3.2655376813853403	2.68994471942109	3.92746631431866	3.45598300998634	3.73467902249757	3.0444717181910894	2.63994413233658	3.33260292163042	3.1935302231432097	3.6841293152470804	2.18063105589085	3.1882663021973996	2.3770226292325	2.52329322201543	3.325354158539	2.89569617016354	2.22734119594368	2.10990833357212	2.27708305935461	3.40600770423931	2.5723040183084	3.6702621734772003	2.52435435938193
hsa-let-7a-5p|+3|0	3.27417173140526	4.5992905844816505	3.88221595619636	4.08681103700677	3.64829618875499	3.60327784780015	4.07518898662563	3.80978416785066	3.34528836006442	3.45345644038159	3.4642711150861003	4.31295264299839	4.87461931394087	3.5687702944178397	3.90073016873772	4.1602171150175895	3.4452454458535295	3.5758062292781205	4.74160008585089	4.36984302757859	4.51325049057768	3.8569289323834504	4.59876094493549	3.8932031955250297	4.2504512053381	4.30415055123592	3.98477340911536	4.1283426116338395	4.20610626689135	3.74714015387999	3.98940449863856	4.704985805458059	4.16951688590337	3.3328586809639402	4.5976392916638895	4.73657074598151	4.12319144780884	4.46365610930182	3.70239593496957	4.3102444767996	4.79378650911212	2.7921975642562207	4.22844145594254	4.43888505100287	4.376918758567331	4.53575413350916	3.50445251580972	4.580306044726151	4.6116391923186395	3.66484110744605	3.6108644821577998	4.2154627607445	4.25895259390665	3.0068911233577102	3.4021646002705004	3.80964314697203	3.6778618056763195	4.39342170991811	3.7994230514392204	4.13440932914156	3.89397337875007	4.43037613777868	2.40314480699321	3.5206359099173703	4.411741675941309	4.79594600957784	4.81399275245419	4.91735229715532	4.404284719451571	5.011422620622651	4.47057506193322	5.052939800066951	5.042160758163	4.18660641932912	3.2950994693319497	3.56072448763297	4.32746279057019	5.048480105421159	3.9462195219416603	4.4047276784015095	4.8623736007423695	3.86053470378627	3.83506660216813	3.13686263691503	4.28987315249798	3.99347862008833	3.52718997941684	5.012338209635611	4.34039669260973	4.65730131853714	4.14980687576226	5.11172037137136	3.36292497425947	5.2023848989398305	3.9676237182221095	4.644964333680219	3.91375836604799	4.72946870640978	4.62798826942122	4.90825561389266	4.72385410010467	4.85529022701487	4.64867155945735	5.040270718841009	4.50128263574372	5.2364880097398	4.32069984023841	3.932819316645	4.784013516060889	4.39347726835844	4.96151240646396	3.4110014613512005	4.78994111820774	3.78593125843627	3.86476743185845	4.8110253934925495	3.9369320359422404	4.9824213764183805	4.0616687559248295	3.6485700237527596	5.16809067746163	3.65842002387576	4.84260727382493	4.00089924021029
hsa-let-7a-5p|+4|0	1.0086396090051999	2.0997664853870703	1.2476622809877098	1.81378982167766	1.7645229768771398	1.8509066844280702	1.6006591735569098	2.43509127292258	0.7264101803340091	1.84672814564063	1.78805062750012	2.35871027378783	2.18334308444775	1.35179549302183	1.98112858511342	2.58096740937189	1.88169231510778	1.6495328184470202	2.58418023322509	2.2608829888090898	1.81330760704289	1.02690517449761	2.54682165043084	1.65980802388023	2.49767593855691	1.7850535603902	1.79576831326975	1.80274940430477	2.48387544580311	2.00162160133948	1.7696092836983002	2.77985241958077	1.64356235822447	2.09856360643176	2.17534625324751	2.2726931459240003	1.8887164439037498	2.32767171524696	1.78286267984629	2.4825670428716298	2.4246365911187797	1.28786470323739	2.1855556448597198	1.7425081719313502	1.8345037529781698	2.1422976066571797	1.4601213073548	2.2332120643232	2.33706168122064	1.55934082512329	1.65283130993242	2.13100817938935	2.17166474146359	1.1888386803028501	1.45435905208102	1.3576458671172402	1.63543402085921	1.8989688769355402	2.17776473400013	2.00773351491566	1.2984296679999499	2.1842998842776797	0.9335004270079	1.76743802750325	2.4316251483189504	1.86247864091026	2.44808890791361	2.54426482330206	2.3416703518824	2.72752204580881	1.8571468093176398	2.33477712689425	2.9318560505858	2.4566463740949	1.52545142230674	1.34645673376275	2.11564014452476	2.1747300639708302	2.06509203621333	2.13531709624227	3.03305515936067	1.6697355813376498	1.7100408141297299	1.71099265814733	1.7198394222763798	1.8393327589402801	1.4968812246889498	2.8589694032720203	1.8058559117806	2.3244200854667403	2.19133719741304	2.5231086023772002	1.93616003760739	2.2890527049491496	1.50111646464268	2.1199998854497	1.6621406910246999	2.12034994625896	1.8246167194389702	2.93263995615335	1.78971875174909	2.2406588071038	1.80704152968723	2.6351359478979104	1.93864262237139	2.5782725649407796	2.3088231859872	1.45646891332349	2.48366033353191	2.29192575681837	2.59820343158258	1.08698835394694	2.26578245268457	1.6310194857729798	1.01265995207083	2.0651800756363503	1.101145612527	2.70576846552037	2.80114822343688	1.46633708453791	2.8387336675562103	1.31282519759162	2.09398818573686	1.1704579521873
hsa-let-7a-5p|-1|-1	4.8817104535792595	5.89077741309175	5.991385782930791	5.8023262510486	5.30966967969834	5.51595536357246	4.6431207233943494	4.03808047836143	4.66876043886111	4.98774010870056	4.974779339618281	5.3510798034233	5.181054919569309	4.06563380266424	5.00397052342403	5.07181773742368	5.59098270992604	4.038805064807759	5.69310234412954	5.1541996723273895	5.374907996846349	4.75174282027243	5.82069839933711	4.17775672311896	5.546395952108001	5.0476202259833	4.89917748407742	5.373081855823929	5.7441903405111505	5.381882018446929	5.636893972201119	5.7091436330899406	5.385009250714769	4.74826831514968	6.03033675882913	5.584560814386539	4.47304620592435	5.05833217846359	4.9298275048852	5.54373040343499	5.09608995979872	4.64545576504814	5.39553965160847	5.14320196688894	5.28704362384372	5.811124842605469	4.93607931353661	5.5972769707631205	5.0438510391780005	5.085899261290019	4.97052900592265	5.42794534988757	4.97809765292343	4.53489090194948	5.440320369723589	5.003588962051469	4.72367727909595	6.19186620724752	4.50147880186588	5.614953276677981	5.1416305522569195	5.359633521132941	5.95334894071211	4.237404175066771	5.54351040949829	6.1370281639511	5.414899453817131	5.51084824029389	6.35823378978368	5.011422620622651	5.56872777470767	5.543018117959679	6.1988441039468	5.89751894155543	5.45689214364179	4.4172355723794405	6.12719997675655	5.511764648999129	5.51047125265036	5.027313808616469	6.46278496024925	6.40551609028121	5.514647362508611	4.22524598907499	6.036701526276211	5.82720508975421	4.57774491443487	5.21421981429483	5.40491465571172	5.89014386370621	5.11505696447807	5.584156740488191	5.313547937974099	5.041409962557191	4.83082585308647	5.72726688852039	5.51539692114863	5.549227662527059	5.455400907694581	5.962880453085099	4.91677008632016	5.454520595572519	4.58180708399325	5.191351706134861	5.7377440690899695	6.23547534739968	6.57173660663535	4.33542198603225	5.499879477150789	5.46091190617602	5.98657170830491	3.70554497845446	5.91781100927224	4.9142162177698	4.62904444957453	5.60800877272862	4.87503941967903	6.357894015889389	4.58468363765779	5.97434794940008	5.148199687453361	5.570077319461269	4.81330303828004	4.78228401543292
hsa-let-7a-5p|-1|-2	3.76318586219808	5.215305838146491	5.27516088770477	4.81419351665724	4.659688619280731	4.654759446717731	4.17597766585551	3.6577603289425404	4.02432544874187	4.3710478044980094	4.479014649272321	4.53108607224951	4.56493354561158	4.37408876371024	4.619656240182709	4.90380554133242	4.63708839246406	3.48692559461383	4.89856581572859	4.46582518252596	4.5544599030470305	4.07985677028556	5.21515538607643	4.010619926694799	4.7058587152343	4.17984446151482	4.576886719857519	4.60483752919813	4.43782137707851	5.15737933915781	5.19287557783896	5.0785570613237	4.1523840229401205	4.62948620999186	5.22271684740302	4.643462367309731	3.42929295049442	4.659951443854269	4.035412794350201	5.15127388973231	4.63034836408268	3.96132931747594	4.6057795400160595	4.75601407728822	4.7771419383937594	5.08539616426076	4.58052571183035	5.05211819549529	5.10580300979892	3.97664056792476	4.1823754226109395	4.5677387491241905	4.47500577786663	4.289504620356549	4.5488668398475705	4.30392688587622	3.8702698276043903	5.778916695927791	3.94801658785389	5.29132428525372	4.9299862366733205	4.98211283888509	4.63154091226949	3.31193275046425	5.49025183744037	5.28094654935244	5.20356140976187	5.36466600655332	5.8904657020399105	4.7350453576033305	5.00450832824079	5.12159339354864	5.06831673037849	5.01906778098855	4.89528319481599	4.06499115958453	5.09394103792195	4.56183584494629	4.642028912145911	4.61910546809734	5.12793885172723	5.323729380382719	4.73262329953036	3.9500253916130204	5.4409173972881995	5.1485167224320705	3.98011987482248	4.93332370564018	4.22132561831033	4.73832275367384	4.29365946664176	4.87379263336567	4.59816341772047	4.0242962612057	5.95467466212394	4.80593170290762	4.369056387755379	4.72946870640978	4.676601006513111	4.73935489789899	4.530899350403519	4.7088144181914	4.059792171775371	3.94236552910423	4.53693768346721	5.13320889030738	5.22942915951666	3.7061913496333396	4.7363022492454805	4.942965938887959	4.8612481016444	3.2498346213170497	5.00610388162412	4.29764115846152	3.72372584352481	4.86457980886773	4.26159397483082	4.82731578688659	3.5916150611655198	5.06776570081411	4.43810424461954	4.3074885284220805	4.589594195480361	4.04529517564845
