	TCGA-N5-A4R8-01A	TCGA-N5-A4RA-01A	TCGA-N5-A4RD-01A	TCGA-N5-A4RF-01A	TCGA-N5-A4RJ-01A	TCGA-N5-A4RM-01A	TCGA-N5-A4RN-01A	TCGA-N5-A4RO-01A	TCGA-N5-A4RS-01A	TCGA-N5-A4RT-01A	TCGA-N5-A4RU-01A	TCGA-N5-A4RV-01A	TCGA-N5-A59E-01A	TCGA-N5-A59F-01A	TCGA-N6-A4V9-01A	TCGA-N6-A4VC-01A	TCGA-N6-A4VD-01A	TCGA-N6-A4VE-01A	TCGA-N6-A4VF-01A	TCGA-N6-A4VG-01A	TCGA-N7-A4Y0-01A	TCGA-N7-A4Y5-01A	TCGA-N7-A4Y8-01A	TCGA-N7-A59B-01A	TCGA-N8-A4PI-01A	TCGA-N8-A4PL-01A	TCGA-N8-A4PM-01A	TCGA-N8-A4PN-01A	TCGA-N8-A4PO-01A	TCGA-N8-A4PP-01A	TCGA-N8-A4PQ-01A	TCGA-N8-A56S-01A	TCGA-N9-A4PZ-01A	TCGA-N9-A4Q1-01A	TCGA-N9-A4Q3-01A	TCGA-N9-A4Q4-01A	TCGA-N9-A4Q7-01A	TCGA-N9-A4Q8-01A	TCGA-NA-A4QV-01A	TCGA-NA-A4QW-01A	TCGA-NA-A4QX-01A	TCGA-NA-A4QY-01A	TCGA-NA-A4R0-01A	TCGA-NA-A4R1-01A	TCGA-NA-A5I1-01A	TCGA-ND-A4W6-01A	TCGA-ND-A4WA-01A	TCGA-ND-A4WC-01A	TCGA-ND-A4WF-01A	TCGA-NF-A4WU-01A	TCGA-NF-A4WX-01A	TCGA-NF-A4X2-01A	TCGA-NF-A5CP-01A	TCGA-NG-A4VU-01A	TCGA-NG-A4VW-01A	TCGA-QM-A5NM-01A	TCGA-QN-A5NN-01A
hsa-let-7a-2-3p|0|0	6.15867280329298	3.06620001125427	3.5318915797016204	3.26300540981816	4.8862165693229995	2.51126331163323	4.07098673140556	3.74909826256644	3.2964980791423	5.714113214248461	4.35658066732668	3.8693480254191694	4.643769635567099	2.7705107678965097	4.13057115969682	2.55340647670539	3.73879214800433	4.416219778699929	4.7987186714644805	1.0942712091231999	3.5236113270033105	4.65214827209568	2.55987980103159	2.9087994044514605	3.96576954551858	2.9492455722988997	3.44637041986612	6.15314442720178	2.42984838407944	3.0167906319270896	4.99901114069986	4.39278288070678	1.87344075147121	3.84660675003924	3.81394977431528	5.042626622750929	0.0	2.2372550021401296	3.83979236383309	3.2511980415184505	4.38133265571077	3.8167317979209	4.12125078518512	4.37642168790174	2.56205686551937	2.49148482253801	3.3418674495514704	4.3492820507170205	5.284654901797	1.9395226141828898	4.05199501662369	4.67223030783221	3.2637726630313804	3.88585786217198	2.5589258553656498	2.64345475798777	3.89337597449506
hsa-let-7a-3p|0|+1	5.20567616808174	4.26560412528965	3.77398650636204	6.559693704658389	3.94264899860551	4.77842931986896	6.34748003274004	4.1106517639200195	4.20795820129063	4.9014724041759505	4.565637496612251	5.00536889232199	5.1436707290966	4.131853679754241	4.774074887229481	4.88614840348855	6.12532866261106	4.54302242243371	4.735539209999269	4.01625744325544	7.713153882161441	6.560422642028509	6.9021481709589505	5.0456550155231	5.72387815687801	4.49281729055441	4.8008362588192695	5.487184649115861	5.379901755556821	4.36401123631512	5.00956020543568	4.867078977577759	3.07404179247769	4.587160795785691	5.18823544027409	5.29834725037132	4.686622234652	5.82590934668071	3.6221606481503903	4.66514618520166	4.9858177047791505	3.68173172992118	4.71738785723849	4.88748440810642	3.5551221593810802	5.11902490842827	5.844179888543401	4.72594343084826	5.97652511257406	4.43024885897968	5.162140749495809	5.76066405525422	4.81775783381737	4.69812026079542	6.08957695408021	4.45897543749674	5.5686632040989
hsa-let-7a-3p|0|0	3.50356479933913	4.08581218356173	3.0923249601351204	4.81065382049934	3.03354928183394	3.3788419923259	3.85622934237121	3.1142066575398397	3.84876136677185	3.85815873281183	3.4676116986392005	3.9099145410551297	3.70035649303748	3.57235253603385	3.9934561464182097	5.23606175479875	4.96751247332427	4.3656401295998295	3.86448483103942	2.91198852840127	5.42631757006997	4.47920609002266	4.73178376783832	4.6711425103255495	3.42625047258856	3.22297127985583	3.9206829541424195	3.6369534729475297	3.9183000758479305	3.98758352009106	3.77324192103865	3.68145981689554	2.93736980099257	3.20938979424322	4.06694326712841	3.9531115419221603	5.00173192514486	4.58288103083666	3.4996511469872202	2.6901485873763002	3.46631745501817	2.17778327567434	4.2152491804444	3.48192612810896	2.8150684771452896	4.98502870836925	4.46894344385167	5.16852548880917	4.18514170959435	4.49215559223291	3.2669220734822404	4.8517684193960395	5.22352681554132	3.81125345563294	4.5246338886656705	3.6175385808262903	4.61032160755856
hsa-let-7a-5p|+1|0	1.74050305465799	1.70206740334236	1.57591032126706	2.10035924859038	1.95430303832843	1.8656891862334999	2.8163615103999704	1.37608630009215	2.39037098030603	2.92484018901734	2.57323201646316	2.1157695686645703	1.74536390280536	1.52534057079672	2.2664266837068103	3.83913772509527	1.7452045416095598	2.22584855666044	2.28565714554078	0.648489373696775	2.50254487126133	3.92622856612522	2.55987980103159	1.4971168560558399	2.7573008215763597	0.6209392391927621	2.32408823286309	2.74849723183777	2.66502000693865	2.4306352594723704	2.67755214759224	1.78056524851268	1.87344075147121	1.5962123889847601	1.4108505914714797	2.84375377604746	1.12345091878638	2.13002956306142	2.55313207033575	2.3952767912244104	1.51187269564679	2.09518939667526	1.93051605635939	2.6281666295566803	2.25503360083946	2.49148482253801	3.12193934298044	2.26320083138258	2.88686195313939	1.4082820257676398	1.8968413595794198	2.13054705213672	2.20430107912838	3.41755339431486	1.9244122085808	2.28912647626223	2.2940370210585
hsa-let-7a-5p|+3|0	1.74050305465799	2.2289176908129904	1.57591032126706	3.01474698977177	2.79291338569341	2.35432296215484	3.0769982894087797	1.69326878438585	3.11057353973633	2.66400844513343	2.0124744362017397	2.55148939760242	2.6806453849194902	2.5100419749594103	2.52710154348667	2.70477135568546	4.12655718108336	1.97903305303352	2.45210721860567	1.2743004324523401	4.01500106966528	4.1154308801848	3.0130773394413297	3.41070688409361	3.48453395559418	2.7328549807506204	2.83372107626068	2.66421502278134	3.04445482225221	1.00961856188561	2.5093531928992703	2.67652265911546	1.53749273164791	2.46308040926403	2.8101661134234797	2.61200688213231	1.90698345482793	2.6788884201255097	2.1022493067616	2.08344928670439	2.31270652077492	1.8145733065449599	2.91860293878547	1.9557257728508899	1.6207739628678	3.12200016048486	3.39198313842427	2.74433994016649	3.48472833633745	2.3269298745154803	2.50875347882285	2.72931162695567	3.2637726630313804	2.7197669825514303	3.38348285401816	2.59786034712748	3.4536330010333103
hsa-let-7a-5p|-1|-1	4.56283225246026	4.23453745128632	3.94457527712746	6.02780909330289	4.69927693675445	4.07609037498621	4.22238728902661	2.9451690125168697	4.38245098565447	3.2445622538560497	4.83148971513241	5.688428668140411	4.42420385116412	4.30636914418398	3.56055387994106	4.28589862927313	5.43774802669076	3.4979963733873	5.12264175687375	3.81281630451705	5.21599001720377	6.52748502667003	5.68924466430647	4.64134610297358	5.98841098739228	3.6512624441319597	4.31170554332778	4.56620620060734	4.96098333496169	2.67912794037021	4.51257210367165	4.67412431761712	3.1988793647079503	4.06358244302152	5.18823544027409	4.874674416425179	4.39488950723931	5.433487172254	2.9506128832186698	4.31599106162962	4.84684412772829	4.13880367747396	4.353964082329741	4.58693775114558	4.183424292621569	6.0111590274178806	6.68851117805763	4.3492820507170205	5.90613639356029	5.10099855549345	4.45178927407952	4.8517684193960395	5.19100852816712	4.67726702816245	5.11060795240512	5.02190461258974	5.79856159100385
hsa-let-7a-5p|-1|-2	2.8951418091786096	2.8372105016035003	2.2721392396917004	4.3735764665538195	3.23972714912588	1.97755261453444	2.49802240107279	2.36419287540821	3.39288675535624	1.93582002245624	3.3595116537167002	3.8965187118034397	2.87824354485856	3.4782148931501604	1.82410245114818	1.84696785708913	3.6057329140352405	2.6767625288432004	3.15393413380525	1.94021562475005	3.79012709466585	4.33437230237003	3.92083555732202	3.7823521800984	4.00612001923186	2.16870441178948	2.32408823286309	2.5747018782401003	3.2893528971562302	1.7504136965852901	2.9645444592066603	3.0841994484777002	2.0823356262127803	2.7568417075695497	3.63287361352507	3.21870287515339	3.32718540597785	3.79010527364532	2.00265469542618	2.5710712372250697	3.46631745501817	2.6523412807194	2.5658047294859196	2.21626020354208	2.36479639982995	4.715645480516651	4.98381879476559	3.2841104092598505	3.9627563136074	3.6798492933324702	2.96530858536226	3.36342285359762	3.9737606598461004	1.99280014421125	3.87082143220723	3.28497333466767	4.621806026985929
hsa-let-7a-5p|-1|0	5.59157726012961	5.33402346321009	4.75596781565302	7.51060400652364	4.58510035615845	5.33530008642216	4.985686911650019	4.583586010325	5.07704448504704	4.74133715605584	5.6901986541704	6.34762762901882	5.340809395351839	4.62466751996061	4.39295781549037	5.71764853710545	5.94427077753273	3.83190707765496	5.81902009534321	4.42162295887224	6.369287228423799	7.70535806869476	6.588135734305481	5.25688980752947	6.76997246692716	4.74513248285257	5.32668048310465	5.576361979695379	5.17420441511001	5.0185780922345495	5.8292002516226304	5.25663334000299	3.7812968749399	5.04720915278927	5.624001248762809	6.247899360679309	4.52368307559169	6.2150308627122905	3.02863951497295	4.88078405948402	5.346298268753491	4.88011638871192	4.58279531653167	5.83891698062678	5.824219195234781	5.947731865577261	6.9110538471118	4.746515153244	7.367307532014331	5.89166097601748	5.31803604801142	5.76813718090527	5.623473258932919	6.28053422034975	5.37640895760443	5.37264044431039	6.4921295630989
hsa-let-7a-5p|0|+1	6.79508223314322	5.7345508582895	8.187100222226	8.274174575111179	7.1283788598372695	8.516581617532411	8.9998215568171	5.86895291728671	8.487570230703879	7.33775976709804	6.871826398338669	8.4534209040916	7.572889121731991	8.1521463107203	8.73564920074283	6.988406404270299	9.93346049017155	6.2577407748601	8.54795594096327	5.5536555893237995	8.6564788021238	7.6010489748807695	9.18906764452852	9.076874852829869	8.63049963764028	7.9488244855598404	7.5450343017993	5.8343482539765095	9.70922084274599	5.85172924554986	7.101717949751871	7.97950804765304	7.87218242653288	7.02104019905588	7.53410502211326	6.09440951393276	8.53262136360353	9.30194780878539	7.1532607402226605	7.60822634656474	7.85269964681938	7.054413558016111	8.849301258007479	8.24280584871815	5.634522365711759	7.96076238624794	9.54877997198947	8.067052074965451	7.91690661866482	7.6004320617345895	7.09852858562595	7.943962919011769	8.52665834556801	6.17291926762743	9.78468931071148	9.87420517056899	9.53836599840442
hsa-let-7a-5p|0|+2	2.11007873934334	1.40000876559828	3.3192711946405	3.53894671246145	1.28548705453639	3.94461458662092	4.07098673140556	1.18682141208879	2.86384411906333	2.2533662064869198	1.3769736154170502	3.1568419138542003	2.32185596674162	3.2408424157790297	3.5211857395032	1.71050514735744	4.84000893677846	1.6810964760381397	3.37733348012042	0.888530129496854	3.66301481673973	1.94128772243989	4.43792497148165	4.00926089139931	3.6464624004564703	2.7900706727539597	2.02309661638953	1.33649937528463	3.9719107107577902	0.744665567051751	2.3852329965085497	2.27124138304114	2.6617742055991402	1.8034101490686298	1.80256889140946	1.04636522001324	3.5850785738115603	3.79010527364532	1.5873224711029899	2.6118655368906296	2.5265122871046297	2.2559036311522203	3.43851955072057	2.6281666295566803	0.811216854784932	2.60547554294627	3.98855280353644	3.2266962905779097	2.67742478542036	2.68599808757124	1.8968413595794198	2.60128107828407	3.45848740638709	1.0823843225521501	4.36252259959275	4.87673726713132	4.345262459385509
