	TCGA-RZ-AB0B-01A	TCGA-V3-A9ZX-01A	TCGA-V3-A9ZY-01A	TCGA-V4-A9E5-01A	TCGA-V4-A9E7-01A	TCGA-V4-A9E8-01A	TCGA-V4-A9E9-01A	TCGA-V4-A9EA-01A	TCGA-V4-A9EC-01A	TCGA-V4-A9ED-01A	TCGA-V4-A9EE-01A	TCGA-V4-A9EF-01A	TCGA-V4-A9EH-01A	TCGA-V4-A9EI-01A	TCGA-V4-A9EJ-01A	TCGA-V4-A9EK-01A	TCGA-V4-A9EL-01A	TCGA-V4-A9EM-01A	TCGA-V4-A9EO-01A	TCGA-V4-A9EQ-01A	TCGA-V4-A9ES-01A	TCGA-V4-A9ET-01A	TCGA-V4-A9EU-01A	TCGA-V4-A9EV-01A	TCGA-V4-A9EW-01A	TCGA-V4-A9EX-01A	TCGA-V4-A9EY-01A	TCGA-V4-A9EZ-01A	TCGA-V4-A9F0-01A	TCGA-V4-A9F1-01A	TCGA-V4-A9F2-01A	TCGA-V4-A9F3-01A	TCGA-V4-A9F4-01A	TCGA-V4-A9F5-01A	TCGA-V4-A9F7-01A	TCGA-V4-A9F8-01A	TCGA-VD-A8K7-01B	TCGA-VD-A8K8-01A	TCGA-VD-A8K9-01A	TCGA-VD-A8KA-01B	TCGA-VD-A8KB-01A	TCGA-VD-A8KD-01A	TCGA-VD-A8KE-01A	TCGA-VD-A8KF-01A	TCGA-VD-A8KG-01A	TCGA-VD-A8KH-01A	TCGA-VD-A8KI-01A	TCGA-VD-A8KJ-01A	TCGA-VD-A8KK-01A	TCGA-VD-A8KL-01A	TCGA-VD-A8KM-01A	TCGA-VD-A8KN-01A	TCGA-VD-A8KO-01A	TCGA-VD-AA8M-01A	TCGA-VD-AA8N-01A	TCGA-VD-AA8O-01A	TCGA-VD-AA8P-01A	TCGA-VD-AA8Q-01A	TCGA-VD-AA8R-01A	TCGA-VD-AA8S-01B	TCGA-VD-AA8T-01A	TCGA-WC-A87T-01A	TCGA-WC-A87U-01A	TCGA-WC-A87W-01A	TCGA-WC-A87Y-01A	TCGA-WC-A880-01A	TCGA-WC-A881-01A	TCGA-WC-A882-01A	TCGA-WC-A883-01A	TCGA-WC-A884-01A	TCGA-WC-A885-01A	TCGA-WC-A888-01A	TCGA-WC-A88A-01A	TCGA-WC-AA9A-01A	TCGA-WC-AA9E-01A	TCGA-YZ-A980-01A	TCGA-YZ-A982-01A	TCGA-YZ-A983-01A	TCGA-YZ-A984-01A	TCGA-YZ-A985-01A
hsa-let-7a-3p|0|+1	4.17181625607989	2.2864067614013197	1.6202108670408601	2.9208261854897004	3.9919869218710295	2.28738720873613	2.93699870536129	1.25266155084974	2.9692305596241098	2.6802712535254	3.21076995941968	3.33597242055925	1.75349217907926	3.15062254210961	2.16238717981284	2.2020585870944505	3.0354179228777403	0.49456557716205607	3.1156630969225496	3.56788645969635	3.8579058127901202	1.81932803588875	3.81333239360902	2.46944248929841	3.6071463290766204	3.89847592677348	2.33176998791848	2.60471954971761	4.73757689727062	3.79965359338396	3.32771796194445	2.13293227212203	2.12695860487001	4.11653256383742	2.11802012523555	3.9323946556370197	1.27156322687046	4.14361749519752	3.12610140355025	2.8683535232986497	3.3206992545396297	3.77903089655711	2.9021430159867	4.9683678347095	2.4888903141331897	4.23622377097175	3.40719480211466	3.05653242934229	3.33668816518159	4.44705711636542	2.52130473481692	2.5712598946403302	2.78491517774541	2.37000377406601	4.07233396932079	2.90973365212834	3.9202142391656603	3.01688168475159	3.2301863395051402	2.92023586118945	4.32594824029111	0.9028601971641469	2.4219545575082404	2.6339506147038	2.74438583430022	2.4271620850307403	2.6207184072503398	3.4916720640462797	2.85340585026109	2.71884584746001	2.9049797260004104	3.04588937513991	4.16757842983762	4.608197017964651	3.76848823709415	3.0563101424787003	3.67073338631711	3.18890807005717	3.09570150529958	2.84673249896088
hsa-let-7a-3p|0|0	2.34643696569177	1.2692280955768798	2.5459187652443	2.3527579304513	1.78581699663322	1.6402958448480702	1.88942659957933	1.25266155084974	2.57727999297025	1.40405836000374	2.7652128407006096	1.57424088012739	1.50826872681059	2.17069237592021	2.09060458627828	1.7659178380192102	2.45923967727679	1.5059082044755399	1.29896920356804	1.9618754478393798	3.2806983276255797	2.04012861136343	2.80234887734734	2.75806094821738	2.8663332653242497	2.9521463827042003	1.95664774204533	2.4062029277403503	3.62950992675811	2.99634374321998	1.32579058689171	2.0836761665631798	2.37191189530965	3.60692982248329	1.7915112482536701	3.0049130676692597	2.3903073812538396	4.927708257246549	3.5809705706642903	1.3648963824769802	3.74532161381162	4.68597370708976	2.8099975951397096	4.2170010488892595	2.59284343508285	3.62960559949041	3.11234166931669	2.5795179966757797	3.33668816518159	2.95108943560624	1.94283590552769	2.08362259550908	1.78867945710087	2.37000377406601	2.92462728613059	3.38639155973098	2.8821703183478498	2.1541988103304197	2.78654942797787	3.13420553606138	2.7980381186579706	0.430721687241783	2.68900992390805	2.1859892662369	2.7083629849339803	2.3603931720247004	1.1938604638869799	2.10238573479367	1.4746466498835098	2.1533537187046696	2.86269675545035	4.452231378668849	3.30987944320167	4.02764840043614	2.5085178727878903	1.33007451062052	1.6105275241943702	2.1319193753507597	1.3882303649284	1.52858975069323
hsa-let-7a-5p|+1|0	3.10878841209137	3.00928059168154	2.9844068590648902	1.79277155157222	2.85431903983298	3.48974902091563	3.3733759652539996	3.41679146526271	3.04355375529954	1.26977692970987	1.86222286101621	2.61876674188263	3.19681438612755	2.91971937254273	2.95155327504063	2.96394724377882	2.99527933924044	3.40722580971336	2.8494495304871297	3.6197833051589	2.3836390146207003	2.9651928628153197	2.80234887734734	3.36763775467026	2.8663332653242497	2.23130286720879	1.95664774204533	2.04538542858977	2.19390207306287	3.04233972431944	2.3975262891237796	4.11615834112673	2.613365312536	2.4824238735604904	2.6895383458151696	3.04268608811752	2.77266679784271	2.29673947536411	2.69675525208653	2.57333026952058	2.2242189850439904	1.7786951840564498	2.96045800558588	1.15186960375821	2.59284343508285	2.61609068173673	3.079250481864	2.95123880773901	2.06556953890255	3.39065001040836	3.2044149238366098	2.2988149481166897	2.1495777358837	2.9010690703770097	2.77385186629776	2.49144332465564	1.8435265193394301	2.32953011926003	3.02535372563834	2.54617353327004	1.85605892343673	3.2249330835241	2.4219545575082404	3.21478326778549	2.89620561205316	3.24996817279024	2.95607776385585	2.10238573479367	3.3068131904972007	3.37302245717443	3.0995900275285297	2.39201792763349	2.92897943649906	2.70674320032744	2.3128856546467005	3.0118648715764507	2.43313197526104	2.9571724934188395	2.25530116191727	1.98630198837225
hsa-let-7a-5p|+3|0	3.3398009901492296	4.04558123087085	6.31867091085804	2.6953993640648197	4.145012322191779	3.1884495218794	6.677070482930991	3.32023042625165	3.07932714472748	3.3129368235482097	2.56557887005046	4.557457837008339	3.06673306124893	3.0008632675946005	3.56854505610104	3.03610042294698	3.5605002387154703	5.510003366485599	2.6953230979128597	3.2322730384802996	3.1946849223692597	5.599036086520161	3.2342435516449797	2.5010451849630697	2.44035964964069	4.31561446352352	3.22598607869264	2.29566255246137	3.0833604732035798	2.7414032542574502	2.2530075944909798	3.38157920342768	5.029399629944191	3.38729137045804	2.47816022321355	3.6437641159252996	4.71585847027575	2.43933375493562	2.6561843858588197	2.7283701232263304	2.6006565194482203	2.77891900106996	2.2792872907993798	2.67284917211982	4.6139268070952895	3.7777481891335696	4.37892586369604	3.96711424124596	4.1570633764958105	4.363722235337979	2.26087130602216	5.45796910248263	2.9770890294246297	2.37000377406601	3.2443429324336703	5.139764559839571	2.99458217628075	2.09067722688253	1.66612098986007	2.8869035712667994	3.3961463864951895	2.2711221864682596	2.4219545575082404	3.09999517980488	2.69000855011146	2.96546249476389	4.825905900864179	1.30105147276447	2.36495427367342	3.25389978455589	7.07587308996982	2.7366511226315	4.38177785725655	3.18270185264364	2.3128856546467005	3.2600588915929003	2.77979087612097	3.38852101919397	3.9087144822374	4.167143669855
hsa-let-7a-5p|-1|-1	6.82644715260494	6.7526438420566794	4.94158502288338	5.10482794009835	6.673009103901101	7.863220368115	6.2696458591037	5.26061904190288	4.7370752556377	5.695012222873781	5.528505119958591	6.893315418461749	5.53376693546835	6.7872472418962	5.56982071747761	4.8977649012015405	6.868589963732069	5.36007808638467	6.0442540477964295	7.03996306885543	4.42828317168411	5.380633754522151	6.25685106501572	6.14550734565635	4.98920037859044	6.80564522765963	5.41896760352196	4.940844981649231	6.107119820889291	6.56346882395007	6.42420920881397	6.54846651220388	4.60325610203348	5.69372908347045	5.211300184581781	5.90143895483251	4.0338417043387995	5.26427748094204	5.398165759616259	4.52720146873772	4.31248050078673	4.75636587655546	5.18214118444181	5.034410830648519	5.19572021162845	5.4757598064238096	7.2101750986261	5.54457691755776	5.74943874928708	7.261324558842469	6.72702692251138	5.8132269535208705	4.434419677341929	5.12641505198823	6.289643638595639	5.21515832997229	5.46643409483153	4.78926184885881	4.75932727107904	4.88392979651485	5.13184701040421	4.29374279779344	3.8520132200032204	5.45421989550272	6.55257960626033	5.209442405820901	4.80943781437469	6.09482440416144	6.8250647802382005	5.8203360930406705	5.05458924825544	4.68847747132992	6.59669730914553	4.751744654402651	4.69459857129618	6.84632360511935	5.84117479507133	5.06509059959825	5.97125407877034	5.4445337231913795
hsa-let-7a-5p|-1|-2	5.6795843246578706	5.86964372270366	4.65529435096598	4.07760691956629	5.16758226079854	6.52976903603971	5.783917283153089	4.573877422858639	3.65447143500494	4.91483641480996	4.66811417740665	5.76554181978279	4.49883567660622	5.41247436628902	4.34612770733059	4.1215269009634605	5.98447237333101	5.18465887535677	4.67038037346559	5.61671938953279	3.23833254444002	4.55875492208084	5.442752476944751	5.3570620570152405	4.53224533114976	5.824031105554969	4.58812814933971	4.022207764113819	5.21253707268891	5.23681098942796	5.176178481895731	5.4248533543383495	4.0786744147139595	4.89128422724592	4.05743679965754	4.422436622399871	3.5368892052764904	4.454735649677111	4.43797299090105	3.3545067475774597	3.7038605604942503	4.5339639832829	3.5407825349417696	3.8764271726625896	4.15187655525792	4.18406159834484	6.26104397808359	4.16845882617277	4.93471515384555	5.63411690939643	5.943145464999599	5.273188367858809	4.01978259892099	4.03419281622775	5.26621069220546	5.06021248085147	4.21137091313706	3.29568904281727	3.84319231200087	3.5075673856640797	4.0635928693826004	3.3776106766607703	3.38466123138683	4.463729024713401	5.27646268646137	3.9172405885449795	4.01165467339001	4.58852419840369	5.29468863744271	4.80384594248367	4.22801302672066	4.18369920306458	5.2735460974457995	3.86873835079577	3.9478393061269106	5.4395029510413595	4.07401944295031	3.6441109119504302	4.91247422845971	4.49462543157328
hsa-let-7a-5p|-1|0	6.6903872140633895	6.5931978529353295	3.41678549340824	4.75581266763043	6.2309672157444504	7.38854032089025	4.852052041605269	4.53137506111529	4.63259647083184	5.19973061042072	5.40830216668489	6.73088857950639	4.854683707873191	6.92875641113428	5.04180367410763	4.15431753683369	6.7886489553409195	4.183776352274069	5.22932851166917	6.82467128602252	4.984340258203151	4.032943489058701	6.53337967821421	5.55070367442175	4.472922399086349	6.679757512391889	4.81182786238382	3.9141108936806397	5.979160535441201	6.5752502127869805	5.96633059064587	5.86100511668343	3.3256921292285497	5.3425038523614505	5.0445275768920705	5.47383335967228	3.01277439824375	5.43286969889055	4.45581183774791	4.04707591911954	3.78562434507238	4.02697607691588	4.4266207523048	4.8872907536213495	5.020387067829111	5.18863410663812	6.3504368474781705	4.96149303120191	5.30229983124168	6.3647835465073	6.29635720744513	4.6941485893122	3.56095140326567	4.80886766322374	5.80256072858605	4.2049886832717	4.83196678359037	4.4401072588682995	4.0466416678494195	4.62559151642789	4.86331000480008	4.2548358324078	3.5725761235523796	4.69224357940802	5.9087176561832795	4.85662494936663	3.2279973750862796	5.623948015863661	6.63369785565709	5.48163341385561	3.71312416718076	4.03582619241475	6.35450109557257	4.92330971728604	3.9137085724416	6.46048053801453	5.414793406813611	5.03563358148086	5.2247895544504805	4.54542177855621
hsa-let-7a-5p|0|+1	11.684870029795	11.300328051313901	9.47103476769309	11.2625418832216	12.536885338796301	11.9775258335185	10.7228870744036	10.976604982704401	10.6647164594879	10.906224826719699	10.2533916068696	12.0427624848632	11.3070596158674	10.8151178052714	11.2309289369835	10.948471508259802	11.2324712194347	9.37242739269151	10.7519001659072	12.6055964057524	12.722726791560001	10.606915046611402	11.552846300903699	11.136909610524098	10.4600102735974	10.580434608791501	11.2030814096123	11.317713158606901	11.517282450460698	10.859636349973	11.2467732476086	11.0537167690444	9.706866229717301	10.9268516332137	12.039098026772402	11.319645245155801	9.57069364787157	10.697973611176302	11.0531058156586	11.2749803372961	10.1024407417896	10.3442436801291	11.8976372920169	11.066205420671698	11.0003785702896	11.1424826281483	11.8141741694968	10.7045276199816	10.6736321529211	11.595136265256802	11.4218106075926	10.4933957826015	10.3335558210782	11.7577719193396	10.901833455536801	9.041130602273482	10.600030640944698	10.8992849533508	10.3215884782683	11.929940751813	11.181446670442801	11.2253622605442	10.1234000519718	11.025393689967101	10.8931202710252	11.9500421278154	10.204763022382801	11.405204051450902	11.492135326317301	11.1111681987554	10.4224352410744	9.63194415520003	11.5078947707444	11.0816875777407	11.2479544850925	11.203061870053698	11.9175887829179	10.9883139332566	10.7799036909374	10.476211669378001
hsa-let-7a-5p|0|+2	5.88968884693941	5.57109268206213	3.3693127097999196	5.2878950813500705	6.492224221762441	6.284078693609611	4.15813337699287	4.442418812326321	4.62050651889004	5.13360603277072	4.65810870283024	6.5170027941959905	5.550087679660111	5.17088415578021	5.0129684714783	5.14620481112563	5.67713727827683	2.83459931611103	4.8637009055304405	6.601943089997491	7.2508103143529805	4.163979223336891	6.516040145931011	5.14338815825308	4.22582099911168	5.0136285208921905	5.41896760352196	5.0470284526739695	5.88707986093954	5.50664000488965	5.440911593570879	4.99622542412289	3.3827058695536603	5.169372378031571	5.93398812671522	5.09676438323386	3.2457057255986697	5.35703669069112	4.31305359371118	4.66157414597233	4.21746726521564	4.70982142729165	6.32635882800599	5.567929656720049	4.820758741257009	5.38625363641858	5.716276767288719	4.8487421169214	5.0873683764142195	5.17779594261421	5.994112954540481	4.11802482992068	4.22310525903989	5.7791277506248795	5.273254811466571	2.49144332465564	4.61464523423627	5.0946583288438605	4.75932727107904	5.91409026844315	5.55373337637689	5.09698636687902	3.5725761235523796	4.17327600338105	5.13437041448342	5.73597941784888	3.72602317241809	5.3538980884618095	5.667221102140959	5.26461228121478	3.0995900275285297	3.5166755183700498	5.54642295250871	5.53926729046227	5.1842024189891704	5.7748544913952395	5.75758676691599	5.42456023527315	4.53024842661943	4.405776176599719
hsa-let-7a-5p|0|-1	14.914687028405499	14.637054509352	14.3228718248333	14.2593508293436	15.8953236340377	15.4465619796482	15.359975754121999	14.8505418644516	14.7227119016135	13.9382732228889	13.923752982945302	14.767858300689301	15.083723250957998	13.7611866293136	14.8259788710825	14.3595646480341	14.4107119096096	14.6043397308165	14.4924100465555	15.5796020940293	15.053066922819099	14.8729856697859	13.893735519077499	14.9408309898801	14.4943370787346	13.874100573348999	14.524546850044699	15.3370519751294	14.435317742424099	13.733361742932699	14.5560808047492	14.8135922303547	14.435670299489901	14.1512071912007	15.1457387158104	15.290003789421899	14.487599136716199	13.3999851395595	15.211691085704901	15.1109374417329	13.823358139727	14.0926871123648	14.831886532309802	13.6285040677926	14.454002753889698	14.321869998055199	15.579021000861099	14.0590736826726	13.9190003760599	16.0016469167895	15.036312256227902	14.712827403139801	14.2949051815517	15.039519683084302	14.4444652694857	14.2040115651137	14.2141398413081	14.4495771149699	13.687439940035699	14.605609154547999	14.491148728333199	14.577066597638302	13.9461168773054	14.7947247757775	14.227797693889599	15.2921480883869	14.7614035084585	14.7503363392296	15.3046910562375	14.476532444220801	15.0781330098524	13.6756444980918	14.868413081420801	14.433421163345	14.7817698356652	14.1619085847717	15.0976618181385	14.406458410436	14.4970667102473	14.178882708485599
